Date,open,high,low,close,volume
2022-01-01,2.4146,2.5306,2.3375,2.5184,569056.0
2022-01-02,2.5345,2.5808,2.4082,2.5524,829737.0
2022-01-03,2.5587,2.6575,2.4949,2.5635,965581.0
2022-01-04,2.5635,2.6011,2.4652,2.497,937642.0
2022-01-05,2.469,2.5822,2.2066,2.3262,987923.0
2022-01-06,2.3242,2.3904,2.2002,2.3512,1066941.0
2022-01-07,2.3643,2.419,2.1243,2.2238,890777.0
2022-01-08,2.1798,2.434,2.0462,2.131,694899.0
2022-01-09,2.1292,2.2429,2.0909,2.1532,967797.0
2022-01-10,2.1372,2.1921,1.9972,2.0716,915534.0
2022-01-11,2.0716,2.1628,2.031,2.114,1170987.0
2022-01-12,2.1457,2.2545,2.0619,2.2404,1097756.0
2022-01-13,2.2545,2.5242,2.2115,2.4336,919796.0
2022-01-14,2.3962,2.455,2.185,2.3182,1051751.0
2022-01-15,2.36,2.4169,2.338,2.3844,839349.0
2022-01-16,2.3728,2.455,2.3587,2.4305,1011145.0
2022-01-17,2.3587,2.4675,2.1058,2.233,661926.0
2022-01-18,2.2497,2.2813,2.121,2.1849,1027485.0
2022-01-19,2.1852,2.274,2.056,2.0992,596699.0
2022-01-20,2.0982,2.3007,2.035,2.0463,1227987.0
2022-01-21,2.03,2.143,1.7202,1.8475,1668882.0
2022-01-22,1.911,1.911,1.6294,1.8919,403.0
2022-01-23,1.8919,1.8919,1.8919,1.8919,0.0
2022-01-24,1.8919,1.8919,1.8919,1.8919,0.0
2022-01-25,1.751,1.751,1.5726,1.5726,99.0
2022-01-26,1.5726,1.5726,1.5726,1.5726,0.0
2022-01-27,1.5726,1.5726,1.5726,1.5726,0.0
2022-01-28,1.5726,1.5726,1.5726,1.5726,635.0
2022-01-29,1.5726,1.5726,1.5726,1.5726,0.0
2022-01-30,1.7136,1.7136,1.575,1.575,118.0
2022-01-31,1.575,1.6,1.575,1.6,3446.0
2022-02-01,1.6,1.6,1.6,1.6,0.0
2022-02-02,1.6,1.918,1.6,1.6,1316.0
2022-02-03,1.6005,1.6005,1.6005,1.6005,624.0
2022-02-04,1.691,1.918,1.691,1.918,414.0
2022-02-05,1.918,1.927,1.918,1.927,110.0
2022-02-06,1.7943,1.946,1.7943,1.946,1235.0
2022-02-07,1.946,1.946,1.946,1.946,0.0
2022-02-08,1.946,1.946,1.946,1.946,0.0
2022-02-09,1.946,1.946,1.946,1.946,141.0
2022-02-10,1.9363,1.9363,1.8055,1.8055,947.0
2022-02-11,1.8055,1.8055,1.8055,1.8055,141.0
2022-02-12,1.8055,1.8055,1.8055,1.8055,179.0
2022-02-13,1.8055,1.8055,1.8055,1.8055,0.0
2022-02-14,1.8055,1.8055,1.8055,1.8055,0.0
2022-02-15,1.8055,1.8055,1.8055,1.8055,0.0
2022-02-16,1.7949,1.8573,1.7696,1.8125,745342.0
2022-02-17,1.8125,1.8125,1.8125,1.8125,7572.0
