Date,open,high,low,close,volume
2022-01-01,253.56,266.84,230.39,266.84,6455.5
2022-01-02,255.98,267.05,254.03,254.03,4364.1
2022-01-03,261.34,283.95,253.62,266.98,8115.2
2022-01-04,267.78,269.52,231.0,252.87,9452.8
2022-01-05,252.68,277.8,215.54,230.88,5296.2
2022-01-06,230.46,231.98,214.36,222.08,6717.8
2022-01-07,220.64,222.48,200.8,211.6,11769.9
2022-01-08,212.0,231.01,200.78,211.97,9001.1
2022-01-09,212.7,233.52,199.2,218.25,8038.3
2022-01-10,208.64,213.94,188.44,200.41,14182.4
2022-01-11,200.41,225.0,187.82,213.79,14881.2
2022-01-12,213.7,221.72,212.22,218.85,9472.2
2022-01-13,218.85,221.75,207.74,209.2,14098.3
2022-01-14,207.74,227.21,190.0,224.25,12277.0
2022-01-15,222.86,261.71,217.64,239.14,10634.8
2022-01-16,236.25,257.2,224.1,242.73,11480.3
2022-01-17,241.14,250.0,226.34,226.34,823.9
2022-01-18,226.34,226.34,226.34,226.34,0.0
2022-01-19,226.34,226.34,226.34,226.34,0.0
2022-01-20,226.34,226.34,226.34,226.34,0.0
2022-01-21,226.34,226.34,226.34,226.34,0.0
2022-01-22,226.34,226.34,226.34,226.34,0.0
2022-01-23,226.34,226.34,226.34,226.34,0.0
2022-01-24,226.34,226.34,226.34,226.34,0.0
2022-01-25,226.34,226.34,226.34,226.34,0.0
2022-01-26,226.34,226.34,226.34,226.34,0.0
2022-01-27,226.34,226.34,226.34,226.34,0.0
2022-01-28,226.34,226.34,226.34,226.34,0.0
2022-01-29,226.34,226.34,226.34,226.34,0.0
2022-01-30,226.34,226.34,226.34,226.34,0.0
2022-01-31,226.34,226.34,226.34,226.34,0.0
2022-02-01,226.34,226.34,226.34,226.34,0.0
2022-02-02,226.34,226.34,226.34,226.34,0.0
2022-02-03,226.34,226.34,226.34,226.34,0.0
2022-02-04,226.34,226.34,226.34,226.34,0.0
2022-02-05,226.34,226.34,226.34,226.34,0.0
2022-02-06,226.34,226.34,226.34,226.34,0.0
2022-02-07,226.34,226.34,226.34,226.34,0.0
2022-02-08,226.34,226.34,226.34,226.34,0.0
2022-02-09,226.34,226.34,226.34,226.34,0.0
2022-02-10,226.34,226.34,226.34,226.34,0.0
2022-02-11,226.34,226.34,226.34,226.34,0.0
2022-02-12,226.34,226.34,226.34,226.34,0.0
2022-02-13,226.34,226.34,226.34,226.34,0.0
2022-02-14,226.34,226.34,226.34,226.34,0.0
2022-02-15,226.34,226.34,226.34,226.34,0.0
2022-02-16,226.34,226.34,226.34,226.34,0.0
2022-02-17,226.34,226.34,226.34,226.34,0.0
