Date,open,high,low,close,volume
2022-01-01,1.3031,1.43,1.2852,1.3294,1729432.0
2022-01-02,1.3852,1.425,1.22,1.3738,1383046.0
2022-01-03,1.3821,1.3876,1.25,1.3164,2273077.0
2022-01-04,1.3146,1.3582,1.25,1.3052,2789871.0
2022-01-05,1.3058,1.3572,1.112,1.2262,2088076.0
2022-01-06,1.2262,1.3374,1.1847,1.2832,2933798.0
2022-01-07,1.2798,1.32,1.078,1.2135,2467565.0
2022-01-08,1.2084,1.26,1.05,1.1854,1636688.0
2022-01-09,1.1901,1.2943,1.0942,1.1724,2621048.0
2022-01-10,1.1718,1.23,1.0,1.1133,2441613.0
2022-01-11,1.1133,1.2036,1.07,1.1908,2060741.0
2022-01-12,1.161,1.313,1.1238,1.24,2680135.0
2022-01-13,1.3046,1.3574,1.131,1.2332,2425536.0
2022-01-14,1.2332,1.3595,1.1077,1.2894,2975354.0
2022-01-15,1.2956,1.32,1.2,1.296,1009023.0
2022-01-16,1.296,1.55,1.29,1.4061,2479308.0
2022-01-17,1.4144,1.625,1.3376,1.5832,2177596.0
2022-01-18,1.5952,1.644,1.381,1.4552,3601005.0
2022-01-19,1.453,1.5395,1.304,1.3396,2202667.0
2022-01-20,1.3315,1.5496,1.2417,1.265,6351966.0
2022-01-21,1.263,1.3115,1.0438,1.1184,3362576.0
2022-01-22,1.1145,1.2023,0.9,1.0,1631507.0
2022-01-23,1.0,1.162,0.98,1.0721,749866.0
2022-01-24,1.0721,1.16,0.8757,1.084,713262.0
2022-01-25,1.084,1.084,1.01,1.0273,305878.0
2022-01-26,1.0292,1.116,1.0292,1.0349,103960.0
2022-01-27,1.035,1.13,1.001,1.001,223790.0
2022-01-28,1.05,1.0509,1.001,1.0409,328094.0
2022-01-29,1.0409,1.0845,1.006,1.0464,619081.0
2022-01-30,1.0464,1.1055,1.0,1.0095,491954.0
2022-01-31,1.067,1.1,1.0142,1.1,419104.0
2022-02-01,1.1,1.122,0.96,1.1219,281513.0
2022-02-02,1.0872,1.12,1.0328,1.0352,596554.0
2022-02-03,1.0352,1.0546,0.95,1.0545,1641991.0
2022-02-04,1.0545,1.1375,0.96,1.1375,553456.0
2022-02-05,1.1347,1.2545,1.1152,1.1326,243459.0
2022-02-06,1.14,1.14,1.102,1.102,179935.0
2022-02-07,1.0965,1.2056,1.0965,1.2,106563.0
2022-02-08,1.1992,1.3627,1.0589,1.087,263159.0
2022-02-09,1.087,1.2613,1.087,1.087,368289.0
2022-02-10,1.087,1.1869,1.087,1.087,38117.0
2022-02-11,1.087,1.17,1.049,1.1026,420731.0
2022-02-12,1.087,1.087,1.0628,1.0693,55179.0
2022-02-13,1.058,1.075,1.0483,1.0483,223737.0
2022-02-14,1.0483,1.0528,1.0282,1.0355,532453.0
2022-02-15,1.0011,1.1376,0.9843,1.1026,337294.0
2022-02-16,1.1071,1.1114,1.057,1.0935,2219197.0
2022-02-17,1.0935,1.0953,1.0562,1.078,417485.0
