Date,open,high,low,close,volume
2022-01-01,1.655,1.7641,1.5162,1.7351,1426058.2
2022-01-02,1.636,1.7514,1.6357,1.6791,1268169.8
2022-01-03,1.6781,1.8374,1.6215,1.7869,1329332.6
2022-01-04,1.7869,1.8374,1.6618,1.68,946254.5
2022-01-05,1.6737,1.8052,1.4549,1.5574,1796418.7
2022-01-06,1.5574,1.6074,1.4811,1.571,1248670.4
2022-01-07,1.5713,1.6102,1.3935,1.4459,1778307.4
2022-01-08,1.4298,1.4717,1.3172,1.3803,2092509.8
2022-01-09,1.381,1.4687,1.3296,1.3969,1509041.0
2022-01-10,1.4211,1.4512,1.3186,1.3749,1112916.2
2022-01-11,1.3687,1.4496,1.3186,1.4395,2041796.3
2022-01-12,1.431,1.5114,1.3168,1.4961,1843035.9
2022-01-13,1.5516,1.5516,1.3101,1.3524,1595737.9
2022-01-14,1.3578,1.4145,1.3187,1.3806,1452473.2
2022-01-15,1.391,1.4172,1.3545,1.384,2115373.5
2022-01-16,1.3771,1.4507,1.3527,1.4328,1763600.1
2022-01-17,1.4096,1.4521,1.3369,1.3562,1144424.0
2022-01-18,1.3431,1.4175,1.2753,1.3133,1637338.9
2022-01-19,1.3353,1.4179,1.2229,1.2622,2237054.8
2022-01-20,1.2688,1.423,1.152,1.1549,2267409.7
2022-01-21,1.1592,1.2855,0.9974,1.0283,2761749.0
2022-01-22,1.0232,1.064,0.9933,0.9933,519333.6
2022-01-23,0.9883,1.0565,0.9753,0.9802,1704.6
2022-01-24,0.9851,0.99,0.9851,0.99,1093.2
2022-01-25,0.99,0.99,0.99,0.99,0.0
2022-01-26,0.99,0.99,0.99,0.99,0.0
2022-01-27,0.91,0.9405,0.91,0.9405,2168.2
2022-01-28,0.91,0.9463,0.9055,0.9416,8236.1
2022-01-29,0.9416,0.9416,0.9416,0.9416,4779.0
2022-01-30,0.9416,0.9416,0.9416,0.9416,4067.5
2022-01-31,0.9416,0.9416,0.915,0.915,2320.1
2022-02-01,1.0,1.0,1.0,1.0,614.7
2022-02-02,1.0,1.0,1.0,1.0,461.1
2022-02-03,0.9253,0.9253,0.921,0.921,541.3
2022-02-04,0.9181,0.95,0.9181,0.95,1082.6
2022-02-05,0.95,0.95,0.95,0.95,0.0
2022-02-06,0.9547,0.9595,0.9547,0.9595,172.7
2022-02-07,0.9595,0.9595,0.9595,0.9595,209.5
2022-02-08,1.0,1.0378,1.0,1.0,5003.2
2022-02-09,1.0,1.0,1.0,1.0,2845.9
2022-02-10,1.038,1.038,1.0,1.0,6517.6
2022-02-11,1.014,1.038,0.9868,0.9868,40191.0
2022-02-12,0.9868,0.9868,0.915,0.9868,8399.0
2022-02-13,0.9868,0.9868,0.924,0.924,96.8
2022-02-14,0.924,0.9868,0.9055,0.9055,14014.9
2022-02-15,0.9064,0.9064,0.9064,0.9064,205.8
2022-02-16,0.906,1.038,0.874,0.9726,1676266.6
2022-02-17,0.975,1.0108,0.9319,0.9453,1130139.2
