Date,open,high,low,close,volume
2022-01-01,12.467,13.6,12.123,13.39,233659.0
2022-01-02,13.392,13.527,12.95,12.95,163505.8
2022-01-03,13.154,13.154,12.388,12.678,228078.4
2022-01-04,12.668,14.594,12.291,13.586,165366.9
2022-01-05,12.291,14.375,11.44,12.255,207604.4
2022-01-06,12.23,12.38,11.34,12.158,219033.7
2022-01-07,12.228,12.285,11.086,11.442,163885.9
2022-01-08,11.442,11.702,10.466,10.878,133782.6
2022-01-09,10.71,11.365,10.67,10.92,265788.8
2022-01-10,10.958,11.24,9.905,10.271,154574.3
2022-01-11,10.232,10.978,10.068,10.918,186808.7
2022-01-12,10.669,11.617,10.661,11.492,148874.4
2022-01-13,11.502,11.6,10.064,10.716,145838.3
2022-01-14,10.602,11.052,10.056,10.738,234128.8
2022-01-15,10.891,11.494,10.039,11.424,133024.7
2022-01-16,11.257,12.208,10.894,11.24,211522.3
2022-01-17,11.24,11.404,9.816,11.404,52272.7
2022-01-18,11.404,11.404,11.404,11.404,0.0
2022-01-19,11.404,11.404,11.404,11.404,0.0
2022-01-20,11.404,11.404,11.404,11.404,0.0
2022-01-21,11.404,11.404,11.404,11.404,0.0
2022-01-22,10.892,10.892,9.78,9.78,1012.5
2022-01-23,9.78,9.78,9.78,9.78,0.0
2022-01-24,9.78,9.78,9.78,9.78,0.0
2022-01-25,9.78,9.78,9.78,9.78,0.0
2022-01-26,9.78,9.78,9.78,9.78,0.0
2022-01-27,9.78,9.78,9.78,9.78,0.0
2022-01-28,9.78,9.78,9.78,9.78,0.0
2022-01-29,9.78,9.78,9.78,9.78,0.0
2022-01-30,9.78,9.78,9.78,9.78,0.0
2022-01-31,9.78,9.78,9.78,9.78,0.0
2022-02-01,9.78,9.78,9.78,9.78,0.0
2022-02-02,9.78,9.78,9.78,9.78,0.0
2022-02-03,9.78,9.78,9.78,9.78,0.0
2022-02-04,9.78,9.78,9.78,9.78,0.0
2022-02-05,9.78,9.78,9.78,9.78,0.0
2022-02-06,9.78,9.78,9.78,9.78,0.0
2022-02-07,9.78,9.78,9.78,9.78,0.0
2022-02-08,9.78,9.78,9.78,9.78,0.0
2022-02-09,9.78,9.78,9.78,9.78,0.0
2022-02-10,9.78,9.78,9.78,9.78,0.0
2022-02-11,9.78,9.78,9.78,9.78,0.0
2022-02-12,9.78,9.78,9.78,9.78,0.0
2022-02-13,9.78,9.78,9.78,9.78,0.0
2022-02-14,9.78,9.78,9.78,9.78,0.0
2022-02-15,9.78,9.78,9.78,9.78,0.0
2022-02-16,9.78,9.78,9.78,9.78,0.0
2022-02-17,9.78,9.78,9.78,9.78,0.0
