Date,open,high,low,close,volume
2022-01-01,0.6637,0.6907,0.6503,0.6634,1086602.0
2022-01-02,0.6907,0.7056,0.6634,0.7027,3544664.0
2022-01-03,0.6927,0.7521,0.6805,0.7094,3684746.0
2022-01-04,0.7043,0.7525,0.6895,0.6996,2682124.0
2022-01-05,0.6996,0.7296,0.599,0.6344,2406993.0
2022-01-06,0.6313,0.6329,0.59,0.6059,3933977.0
2022-01-07,0.605,0.6181,0.5406,0.5681,2705923.0
2022-01-08,0.5513,0.6181,0.5111,0.5253,2451267.0
2022-01-09,0.5253,0.5483,0.5206,0.5373,1379921.0
2022-01-10,0.5373,0.5591,0.4976,0.5167,5281278.0
2022-01-11,0.5148,0.5638,0.4976,0.5462,3714171.0
2022-01-12,0.5429,0.6356,0.5253,0.5895,4520697.0
2022-01-13,0.5895,0.6097,0.5356,0.5664,986443.0
2022-01-14,0.5679,0.5848,0.5392,0.5565,4339193.0
2022-01-15,0.5657,0.5987,0.5535,0.578,1788566.0
2022-01-16,0.5786,0.5991,0.5519,0.5695,2591702.0
2022-01-17,0.58,0.6118,0.5547,0.5651,1191275.0
2022-01-18,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-19,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-20,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-21,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-22,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-23,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-24,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-25,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-26,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-27,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-28,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-29,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-30,0.5651,0.5651,0.5651,0.5651,0.0
2022-01-31,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-01,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-02,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-03,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-04,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-05,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-06,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-07,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-08,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-09,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-10,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-11,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-12,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-13,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-14,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-15,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-16,0.5651,0.5651,0.5651,0.5651,0.0
2022-02-17,0.5651,0.5651,0.5651,0.5651,0.0
