Date,open,high,low,close,volume
2022-01-01,13.459,14.265,12.707,13.139,166268.3
2022-01-02,13.044,13.522,12.369,12.986,127386.0
2022-01-03,13.331,13.924,11.581,11.91,165919.3
2022-01-04,12.024,12.486,11.05,11.107,141682.0
2022-01-05,10.992,11.735,9.574,10.349,255577.8
2022-01-06,10.305,11.785,10.305,10.829,122424.5
2022-01-07,10.912,10.992,9.116,9.39,166320.4
2022-01-08,9.356,10.132,7.816,8.113,192041.7
2022-01-09,8.113,8.442,7.872,8.213,211963.3
2022-01-10,8.367,8.38,7.217,7.479,172227.6
2022-01-11,7.542,8.499,7.163,8.499,189000.4
2022-01-12,8.41,9.551,8.01,9.551,280425.0
2022-01-13,9.405,9.548,8.404,8.529,254655.9
2022-01-14,8.517,8.904,8.181,8.456,206311.6
2022-01-15,8.456,8.477,8.139,8.322,155462.3
2022-01-16,8.264,8.396,7.838,8.161,214083.4
2022-01-17,8.161,8.161,7.327,7.441,65054.3
2022-01-18,7.441,7.441,7.441,7.441,0.0
2022-01-19,7.441,7.441,7.441,7.441,0.0
2022-01-20,7.441,7.441,7.441,7.441,0.0
2022-01-21,7.441,7.441,7.441,7.441,0.0
2022-01-22,7.441,7.441,7.441,7.441,0.0
2022-01-23,7.441,7.441,7.441,7.441,0.0
2022-01-24,7.441,7.441,7.441,7.441,0.0
2022-01-25,7.441,7.441,7.441,7.441,0.0
2022-01-26,7.441,7.441,7.441,7.441,0.0
2022-01-27,7.441,7.441,7.441,7.441,0.0
2022-01-28,7.441,7.441,7.441,7.441,0.0
2022-01-29,7.441,7.441,7.441,7.441,0.0
2022-01-30,7.441,7.441,7.441,7.441,0.0
2022-01-31,7.441,7.441,7.441,7.441,0.0
2022-02-01,7.441,7.441,7.441,7.441,0.0
2022-02-02,7.441,7.441,7.441,7.441,0.0
2022-02-03,7.441,7.441,7.441,7.441,0.0
2022-02-04,7.441,7.441,7.441,7.441,0.0
2022-02-05,7.441,7.441,7.441,7.441,0.0
2022-02-06,7.441,7.441,7.441,7.441,0.0
2022-02-07,7.441,7.441,7.441,7.441,0.0
2022-02-08,7.441,7.441,7.441,7.441,0.0
2022-02-09,7.441,7.441,7.441,7.441,0.0
2022-02-10,7.441,7.441,7.441,7.441,0.0
2022-02-11,7.441,7.441,7.441,7.441,0.0
2022-02-12,7.441,7.441,7.441,7.441,0.0
2022-02-13,7.441,7.441,7.441,7.441,0.0
2022-02-14,7.441,7.441,7.441,7.441,0.0
2022-02-15,7.441,7.441,7.441,7.441,0.0
2022-02-16,7.441,7.441,7.441,7.441,0.0
2022-02-17,7.441,7.441,7.441,7.441,0.0
