Date,open,high,low,close,volume
2022-01-01,0.09773,0.10256,0.09528,0.10021,20370805.0
2022-01-02,0.10038,0.10504,0.09684,0.09954,16805224.0
2022-01-03,0.10213,0.10263,0.09726,0.09969,21522240.0
2022-01-04,0.10204,0.1036,0.09684,0.09836,23083014.0
2022-01-05,0.09823,0.10504,0.09374,0.09374,19056135.0
2022-01-06,0.09374,0.09374,0.08915,0.09204,15920733.0
2022-01-07,0.09261,0.09303,0.08689,0.08689,15977561.0
2022-01-08,0.08614,0.08919,0.08516,0.08516,22896162.0
2022-01-09,0.08514,0.08544,0.07984,0.08544,16480853.0
2022-01-10,0.08276,0.08719,0.07934,0.08031,22355969.0
2022-01-11,0.08031,0.0836,0.07859,0.08221,30409168.0
2022-01-12,0.08274,0.08838,0.08177,0.08772,22861701.0
2022-01-13,0.08681,0.08895,0.08266,0.08281,22794948.0
2022-01-14,0.0791,0.0865,0.07902,0.08583,22474483.0
2022-01-15,0.0865,0.08942,0.08181,0.08821,19170920.0
2022-01-16,0.08737,0.0895,0.08442,0.08611,29433147.0
2022-01-17,0.08611,0.08711,0.08109,0.08296,20358863.0
2022-01-18,0.08296,0.08648,0.07858,0.08123,22692838.0
2022-01-19,0.08123,0.08154,0.07589,0.07905,17427032.0
2022-01-20,0.07877,0.08264,0.07578,0.07578,22165158.0
2022-01-21,0.07578,0.07578,0.06083,0.06233,35429838.0
2022-01-22,0.06232,0.06326,0.05486,0.05561,1825879.0
2022-01-23,0.05493,0.05493,0.05489,0.05489,37385.0
2022-01-24,0.05489,0.05489,0.05489,0.05489,0.0
2022-01-25,0.05471,0.05471,0.05471,0.05471,4569.0
2022-01-26,0.06326,0.06346,0.06326,0.06346,24021.0
2022-01-27,0.06346,0.06346,0.06346,0.06346,0.0
2022-01-28,0.06346,0.06346,0.062,0.062,501163.0
2022-01-29,0.062,0.062,0.062,0.062,0.0
2022-01-30,0.062,0.062,0.062,0.062,0.0
2022-01-31,0.05934,0.05934,0.05934,0.05934,842.0
2022-02-01,0.05934,0.05934,0.05934,0.05934,0.0
2022-02-02,0.05934,0.05934,0.05934,0.05934,0.0
2022-02-03,0.05934,0.05934,0.05934,0.05934,0.0
2022-02-04,0.05934,0.05934,0.05934,0.05934,0.0
2022-02-05,0.07061,0.07069,0.07061,0.07069,9511.0
2022-02-06,0.07069,0.07239,0.07069,0.07239,153019.0
2022-02-07,0.07244,0.08968,0.07244,0.089,252883.0
2022-02-08,0.087,0.087,0.0856,0.0856,76427.0
2022-02-09,0.0864,0.087,0.0864,0.087,65246.0
2022-02-10,0.087,0.088,0.087,0.088,98505.0
2022-02-11,0.088,0.088,0.088,0.088,24952.0
2022-02-12,0.088,0.08815,0.08146,0.08146,54111.0
2022-02-13,0.08146,0.08146,0.08146,0.08146,0.0
2022-02-14,0.08146,0.08146,0.08146,0.08146,0.0
2022-02-15,0.08815,0.0891,0.08815,0.0891,141963.0
2022-02-16,0.0891,0.09366,0.088,0.08945,18125055.0
2022-02-17,0.09136,0.09243,0.08808,0.09023,8518552.0
