Date,open,high,low,close,volume
2022-01-01,59.152,66.71,59.152,66.71,32372.8
2022-01-02,66.155,66.87,58.741,60.216,48137.3
2022-01-03,60.19,61.302,57.176,59.714,41270.8
2022-01-04,60.166,68.904,58.958,62.914,20920.2
2022-01-05,62.952,64.035,53.126,56.353,25883.2
2022-01-06,56.392,57.1,53.061,55.21,36362.1
2022-01-07,54.416,56.541,48.156,49.53,29021.1
2022-01-08,48.181,51.24,45.29,47.925,32702.4
2022-01-09,47.668,52.04,47.562,50.196,31593.3
2022-01-10,50.208,52.72,43.702,46.38,52380.1
2022-01-11,46.38,48.569,45.148,48.219,36599.2
2022-01-12,48.62,51.945,48.224,51.08,32871.6
2022-01-13,52.074,54.115,48.224,49.434,38843.9
2022-01-14,49.546,53.064,47.697,50.32,46349.8
2022-01-15,50.32,53.071,49.304,49.885,52725.7
2022-01-16,50.835,50.915,48.165,49.359,40169.4
2022-01-17,48.165,49.788,45.094,47.18,3353.3
2022-01-18,47.18,47.18,47.18,47.18,0.0
2022-01-19,47.18,47.18,47.18,47.18,0.0
2022-01-20,47.18,47.18,47.18,47.18,0.0
2022-01-21,47.18,47.18,47.18,47.18,0.0
2022-01-22,47.18,47.18,47.18,47.18,0.0
2022-01-23,47.18,47.18,47.18,47.18,0.0
2022-01-24,47.18,47.18,47.18,47.18,0.0
2022-01-25,47.18,47.18,47.18,47.18,0.0
2022-01-26,47.18,47.18,47.18,47.18,0.0
2022-01-27,47.18,47.18,47.18,47.18,0.0
2022-01-28,47.18,47.18,47.18,47.18,0.0
2022-01-29,47.18,47.18,47.18,47.18,0.0
2022-01-30,47.18,47.18,47.18,47.18,0.0
2022-01-31,47.18,47.18,47.18,47.18,0.0
2022-02-01,47.18,47.18,47.18,47.18,0.0
2022-02-02,47.18,47.18,47.18,47.18,0.0
2022-02-03,47.18,47.18,47.18,47.18,0.0
2022-02-04,47.18,47.18,47.18,47.18,0.0
2022-02-05,47.18,47.18,47.18,47.18,0.0
2022-02-06,47.18,47.18,47.18,47.18,0.0
2022-02-07,47.18,47.18,47.18,47.18,0.0
2022-02-08,47.18,47.18,47.18,47.18,0.0
2022-02-09,47.18,47.18,47.18,47.18,0.0
2022-02-10,47.18,47.18,47.18,47.18,0.0
2022-02-11,43.964,43.964,43.951,43.951,46.2
2022-02-12,43.951,43.951,43.951,43.951,0.0
2022-02-13,43.951,43.951,43.951,43.951,0.0
2022-02-14,43.951,43.951,43.951,43.951,0.0
2022-02-15,43.951,43.951,43.951,43.951,0.0
2022-02-16,43.951,43.951,43.951,43.951,0.0
2022-02-17,43.951,43.951,43.951,43.951,0.0
