Date,open,high,low,close,volume
2022-01-01,0.6284,0.6663,0.6284,0.6639,3776944.0
2022-01-02,0.6638,0.6872,0.6384,0.6753,3221336.0
2022-01-03,0.6623,0.6951,0.6094,0.6631,2970683.0
2022-01-04,0.6509,0.7019,0.6362,0.6607,3118794.0
2022-01-05,0.6607,0.7062,0.6576,0.7062,2820039.0
2022-01-06,0.6576,0.6576,0.5751,0.5967,4065471.0
2022-01-07,0.5883,0.5989,0.5386,0.5731,446119.0
2022-01-08,0.5746,0.583,0.5157,0.5337,4318470.0
2022-01-09,0.5337,0.5704,0.5198,0.5622,4143899.0
2022-01-10,0.5601,0.5704,0.5097,0.5346,4286826.0
2022-01-11,0.5317,0.5599,0.5193,0.553,3777259.0
2022-01-12,0.5672,0.5898,0.565,0.5862,2465997.0
2022-01-13,0.5825,0.5912,0.5425,0.5462,4325579.0
2022-01-14,0.5462,0.5688,0.5192,0.5635,3544236.0
2022-01-15,0.5635,0.5795,0.5499,0.5616,2639722.0
2022-01-16,0.5614,0.5916,0.5499,0.5785,3691615.0
2022-01-17,0.5718,0.5802,0.5264,0.5417,4376459.0
2022-01-18,0.5271,0.5599,0.513,0.5397,5629268.0
2022-01-19,0.5361,0.5438,0.5137,0.5366,2975824.0
2022-01-20,0.5223,0.5383,0.5128,0.5234,521374.0
2022-01-21,0.5124,0.5124,0.4396,0.4479,2221252.0
2022-01-22,0.4396,0.4396,0.3714,0.3744,2443195.0
2022-01-23,0.3744,0.3744,0.3744,0.3744,0.0
2022-01-24,0.3744,0.3744,0.3707,0.3707,5200.0
2022-01-25,0.3707,0.3707,0.3697,0.3697,9213.0
2022-01-26,0.3697,0.3697,0.3697,0.3697,0.0
2022-01-27,0.3697,0.3697,0.3697,0.3697,0.0
2022-01-28,0.3697,0.3697,0.3697,0.3697,0.0
2022-01-29,0.3697,0.3697,0.3697,0.3697,0.0
2022-01-30,0.3697,0.3697,0.3697,0.3697,0.0
2022-01-31,0.3697,0.3697,0.3692,0.3692,3912.0
2022-02-01,0.3692,0.3692,0.3692,0.3692,0.0
2022-02-02,0.3692,0.3692,0.3692,0.3692,0.0
2022-02-03,0.3692,0.3809,0.3692,0.3692,155.0
2022-02-04,0.4318,0.4318,0.4318,0.4318,2183.0
2022-02-05,0.4525,0.4525,0.4525,0.4525,1729.0
2022-02-06,0.4525,0.4525,0.4525,0.4525,0.0
2022-02-07,0.454,0.454,0.454,0.454,482.0
2022-02-08,0.454,0.454,0.454,0.454,1120.0
2022-02-09,0.454,0.454,0.454,0.454,6440.0
2022-02-10,0.454,0.459,0.454,0.459,6987.0
2022-02-11,0.459,0.5472,0.459,0.5472,7111.0
2022-02-12,0.5472,0.5472,0.5472,0.5472,0.0
2022-02-13,0.5472,0.5472,0.5472,0.5472,0.0
2022-02-14,0.5472,0.5472,0.5472,0.5472,0.0
2022-02-15,0.5472,0.5472,0.5472,0.5472,0.0
2022-02-16,0.4583,0.475,0.4334,0.4593,3397648.0
2022-02-17,0.4524,0.4627,0.4388,0.45,1790654.0
