Date,open,high,low,close,volume
2022-01-01,32.022,36.86,30.299,36.148,47187.57
2022-01-02,36.148,38.414,34.211,35.547,96204.05
2022-01-03,35.686,42.0,34.13,39.166,93337.69
2022-01-04,39.294,43.954,37.491,42.186,58244.32
2022-01-05,41.7,42.13,34.844,38.74,67722.77
2022-01-06,38.66,41.426,34.59,40.308,43764.98
2022-01-07,40.706,44.765,38.406,38.594,62993.87
2022-01-08,38.341,40.362,34.0,35.74,82882.25
2022-01-09,35.81,38.113,34.088,34.895,75249.35
2022-01-10,34.895,38.14,32.946,37.946,76559.4
2022-01-11,37.838,42.0,35.68,38.835,63625.62
2022-01-12,42.0,42.63,38.44,40.122,41059.32
2022-01-13,40.122,42.073,37.538,37.637,82018.62
2022-01-14,37.443,41.32,36.66,40.434,86805.55
2022-01-15,40.401,41.69,39.0,39.325,71080.69
2022-01-16,39.09,43.87,38.812,43.496,58520.38
2022-01-17,43.726,44.546,37.948,39.136,55118.07
2022-01-18,39.098,40.106,36.22,38.389,86255.28
2022-01-19,38.342,38.81,35.334,36.934,74206.71
2022-01-20,37.446,44.948,36.934,39.173,58029.3
2022-01-21,39.173,41.132,31.054,34.642,88117.26
2022-01-22,34.642,34.684,29.013,29.522,19666.7
2022-01-23,33.224,34.535,33.224,34.535,1103.03
2022-01-24,34.535,34.535,31.633,31.633,2336.39
2022-01-25,35.11,36.376,34.5,35.41,1815.02
2022-01-26,35.41,35.489,34.448,34.621,924.65
2022-01-27,32.8,34.0,31.322,31.505,1284.36
2022-01-28,31.505,31.505,28.345,28.345,662.52
2022-01-29,28.345,29.553,28.345,28.826,446.63
2022-01-30,28.682,28.682,26.8,26.8,370.43
2022-01-31,26.8,27.2,25.998,27.2,1306.0
2022-02-01,29.061,29.3,29.061,29.3,815.75
2022-02-02,29.3,29.3,26.935,27.3,941.64
2022-02-03,27.3,29.23,25.976,28.73,1022.39
2022-02-04,28.73,30.745,28.73,30.745,484.51
2022-02-05,28.5,31.246,28.5,30.51,186.63
2022-02-06,30.51,31.85,30.112,30.3,867.78
2022-02-07,30.3,34.4,30.3,31.8,253.69
2022-02-08,31.8,31.8,30.0,30.0,970.1
2022-02-09,30.0,30.438,30.0,30.438,548.02
2022-02-10,30.438,30.8,29.26,30.587,1929.21
2022-02-11,30.587,30.823,29.027,29.027,1020.91
2022-02-12,27.099,29.027,27.099,27.1,6031.28
2022-02-13,27.1,27.1,27.1,27.1,1167.62
2022-02-14,27.1,27.1,24.3,27.099,2592.21
2022-02-15,27.099,28.75,27.099,28.266,134.87
2022-02-16,28.266,29.026,27.576,27.832,61117.17
2022-02-17,28.666,30.685,28.363,30.208,18759.18
