Date,open,high,low,close,volume
2022-01-01,1.602,1.6916,1.5968,1.6562,1478301.0
2022-01-02,1.6559,1.6975,1.5908,1.6508,1818262.0
2022-01-03,1.6232,1.7475,1.5345,1.6226,656240.0
2022-01-04,1.5345,1.6648,1.5334,1.583,1232281.0
2022-01-05,1.5912,1.6386,1.4742,1.4742,1053769.0
2022-01-06,1.4742,1.4742,1.3885,1.4188,972623.0
2022-01-07,1.4556,1.4692,1.351,1.3918,1058041.0
2022-01-08,1.3996,1.4236,1.2866,1.3394,1518577.0
2022-01-09,1.332,1.3642,1.308,1.3642,1340652.0
2022-01-10,1.3647,1.372,1.2468,1.3009,766919.0
2022-01-11,1.3009,1.4041,1.2355,1.3928,1410229.0
2022-01-12,1.3928,1.5166,1.3778,1.4922,1981731.0
2022-01-13,1.4922,1.5356,1.3882,1.392,1167465.0
2022-01-14,1.3778,1.4495,1.3584,1.4375,1641172.0
2022-01-15,1.4375,1.5333,1.388,1.445,1092676.0
2022-01-16,1.4327,1.4855,1.3615,1.4572,971608.0
2022-01-17,1.4572,1.4594,1.3138,1.3312,1668333.0
2022-01-18,1.3312,1.3372,1.2354,1.3158,1068443.0
2022-01-19,1.3142,1.3324,1.2334,1.265,1493669.0
2022-01-20,1.259,1.3334,1.2107,1.2107,1078386.0
2022-01-21,1.2107,1.215,1.07,1.07,1000484.0
2022-01-22,1.07,1.07,1.07,1.07,0.0
2022-01-23,1.07,1.07,0.972,0.972,2267.0
2022-01-24,0.972,0.972,0.972,0.972,0.0
2022-01-25,0.972,0.972,0.972,0.972,838.0
2022-01-26,0.968,0.968,0.933,0.933,54951.0
2022-01-27,0.933,0.933,0.933,0.933,0.0
2022-01-28,0.933,0.933,0.933,0.933,0.0
2022-01-29,0.933,0.933,0.933,0.933,0.0
2022-01-30,0.933,0.933,0.933,0.933,0.0
2022-01-31,0.9145,0.9145,0.9145,0.9145,44.0
2022-02-01,0.9145,0.9145,0.9145,0.9145,0.0
2022-02-02,0.9719,0.9729,0.9661,0.9677,2224.0
2022-02-03,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-04,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-05,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-06,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-07,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-08,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-09,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-10,0.9677,0.9677,0.9677,0.9677,0.0
2022-02-11,1.3102,1.3102,1.3102,1.3102,238.0
2022-02-12,1.0744,1.0744,1.0744,1.0744,29.0
2022-02-13,1.0744,1.0744,1.0744,1.0744,0.0
2022-02-14,1.0744,1.0744,1.0744,1.0744,0.0
2022-02-15,1.0744,1.0744,1.0715,1.0715,9307.0
2022-02-16,1.0914,1.1806,1.0715,1.116,1417698.0
2022-02-17,1.115,1.133,1.0722,1.0774,287162.0
