Date,open,high,low,close,volume
2022-01-01,111.19,119.506,109.0,113.49,4977.0
2022-01-02,114.464,119.525,112.03,113.051,11604.0
2022-01-03,113.085,114.126,105.0,107.996,19111.0
2022-01-04,108.048,115.955,103.157,103.374,22935.0
2022-01-05,103.012,106.642,94.193,98.437,23635.0
2022-01-06,98.437,98.437,87.238,95.686,1778.0
2022-01-07,95.046,97.2,84.95,86.878,17749.0
2022-01-08,87.308,89.575,80.032,83.794,23473.0
2022-01-09,83.77,91.89,76.5,89.189,31113.0
2022-01-10,89.286,91.89,81.06,85.08,24565.0
2022-01-11,84.82,91.13,78.0,89.84,30423.0
2022-01-12,90.42,100.0,87.96,96.32,20407.0
2022-01-13,96.32,99.16,88.88,88.88,21000.0
2022-01-14,89.25,92.21,86.84,90.53,33110.0
2022-01-15,90.19,94.58,88.89,92.86,26383.0
2022-01-16,92.73,96.03,91.38,92.76,17975.0
2022-01-17,91.37,93.27,85.11,87.01,29568.0
2022-01-18,86.96,88.92,83.36,86.41,23887.0
2022-01-19,86.41,87.26,82.43,83.76,13576.0
2022-01-20,83.9,91.57,82.71,82.71,18852.0
2022-01-21,82.71,82.71,63.68,65.25,26927.0
2022-01-22,65.45,67.76,52.5,57.74,4580.0
2022-01-23,57.74,68.46,57.74,57.74,328.0
2022-01-24,60.9,61.5,50.47,57.8,469.0
2022-01-25,74.87,75.11,70.0,75.11,102.0
2022-01-26,70.0,77.45,66.29,66.29,100.0
2022-01-27,66.29,66.61,57.8,57.8,307.0
2022-01-28,57.8,71.0,57.8,64.0,306.0
2022-01-29,64.0,77.55,64.0,77.55,157.0
2022-01-30,69.17,69.17,67.34,67.34,114.0
2022-01-31,65.6,67.34,65.6,67.34,190.0
2022-02-01,67.34,67.34,67.34,67.34,452.0
2022-02-02,67.34,67.34,67.34,67.34,57.0
2022-02-03,67.3,71.64,60.8,65.58,1186.0
2022-02-04,75.0,75.77,71.1,75.77,108.0
2022-02-05,78.2,78.3,78.2,78.2,67.0
2022-02-06,77.08,77.08,69.73,69.73,104.0
2022-02-07,70.9,75.77,70.9,75.77,50.0
2022-02-08,75.77,89.57,75.77,89.57,335.0
2022-02-09,89.57,90.25,89.57,90.25,84.0
2022-02-10,90.14,90.14,83.72,83.72,16.0
2022-02-11,83.72,83.72,83.72,83.72,0.0
2022-02-12,83.79,83.79,82.8,83.79,533.0
2022-02-13,83.79,83.79,82.8,82.8,224.0
2022-02-14,82.8,82.8,82.8,82.8,42.0
2022-02-15,82.8,86.14,82.45,82.45,144.0
2022-02-16,85.0,97.99,85.0,94.75,17361.0
2022-02-17,96.4,99.08,90.66,99.08,4833.0
