Date,open,high,low,close,volume
2022-01-01,94.19,101.0,90.89,94.47,16076.0
2022-01-02,94.47,97.02,93.27,94.34,24437.0
2022-01-03,95.4,98.33,92.62,94.97,28879.0
2022-01-04,94.76,97.31,92.47,93.17,21411.0
2022-01-05,93.17,98.34,74.97,79.71,27529.0
2022-01-06,79.82,81.35,70.0,79.44,33156.0
2022-01-07,78.45,80.53,70.48,73.49,14339.0
2022-01-08,73.49,76.26,68.19,69.2,12740.0
2022-01-09,71.61,74.55,68.62,72.31,25377.0
2022-01-10,72.16,73.41,64.74,67.6,27415.0
2022-01-11,69.27,73.78,67.3,73.1,38832.0
2022-01-12,73.1,79.2,70.41,77.22,25662.0
2022-01-13,77.22,79.48,72.55,72.55,17945.0
2022-01-14,72.76,76.21,70.81,73.19,32823.0
2022-01-15,74.28,76.67,72.82,76.19,33062.0
2022-01-16,75.6,83.05,74.11,79.12,26360.0
2022-01-17,81.36,88.51,72.41,76.98,38633.0
2022-01-18,76.76,77.86,69.93,73.85,19387.0
2022-01-19,73.8,77.99,70.15,72.04,27848.0
2022-01-20,71.98,76.19,68.57,68.8,34361.0
2022-01-21,68.8,72.59,57.49,58.71,31076.0
2022-01-22,58.71,59.76,50.0,50.0,8179.0
2022-01-23,57.85,57.85,57.85,57.85,4.0
2022-01-24,50.0,52.0,42.18,42.18,94.0
2022-01-25,50.18,51.09,50.18,51.09,518.0
2022-01-26,51.09,60.08,51.09,60.08,696.0
2022-01-27,47.74,49.87,47.5,49.87,221.0
2022-01-28,42.18,42.18,42.18,42.18,535.0
2022-01-29,41.97,41.97,41.97,41.97,9.0
2022-01-30,54.6,59.09,53.67,53.67,298.0
2022-01-31,53.94,53.94,47.5,47.5,40.0
2022-02-01,52.4,52.4,52.4,52.4,162.0
2022-02-02,52.4,52.4,52.4,52.4,0.0
2022-02-03,50.6,50.6,46.44,46.44,293.0
2022-02-04,47.0,47.0,46.44,46.44,279.0
2022-02-05,46.44,46.44,46.44,46.44,0.0
2022-02-06,64.71,67.06,63.82,64.87,460.0
2022-02-07,68.1,76.54,64.87,69.05,125.0
2022-02-08,69.05,69.05,63.87,63.87,109.0
2022-02-09,63.87,67.0,63.87,64.25,144.0
2022-02-10,69.53,69.53,64.25,64.25,7.0
2022-02-11,64.25,64.25,64.25,64.25,0.0
2022-02-12,64.25,64.25,64.25,64.25,1.0
2022-02-13,64.25,64.25,64.25,64.25,2.0
2022-02-14,64.25,64.25,57.22,57.37,114.0
2022-02-15,61.38,61.66,61.38,61.38,40.0
2022-02-16,61.38,66.05,61.32,64.86,28499.0
2022-02-17,63.12,64.87,57.37,61.48,20537.0
