Date,open,high,low,close,volume
2022-01-01,1.076,1.1407,1.076,1.1325,1722689.0
2022-01-02,1.1325,1.1522,1.0998,1.145,1792445.0
2022-01-03,1.1384,1.1768,1.114,1.1356,2162465.0
2022-01-04,1.1356,1.1866,1.0996,1.1468,1639802.0
2022-01-05,1.1468,1.233,1.0425,1.0726,1716491.0
2022-01-06,1.0631,1.0835,1.0212,1.057,739925.0
2022-01-07,1.0546,1.0704,0.9451,0.9715,2126659.0
2022-01-08,0.968,0.98,0.8952,0.922,529297.0
2022-01-09,0.9193,0.958,0.904,0.9319,1869015.0
2022-01-10,0.9291,0.9595,0.8386,0.868,2725577.0
2022-01-11,0.8772,0.9332,0.8655,0.9185,1555381.0
2022-01-12,0.916,0.9809,0.8969,0.9748,2515716.0
2022-01-13,0.9748,0.989,0.8969,0.9446,2179128.0
2022-01-14,0.9446,1.0048,0.8969,0.9975,1552242.0
2022-01-15,0.9963,1.0056,0.9711,0.9906,2953745.0
2022-01-16,0.9862,0.9912,0.956,0.977,1935922.0
2022-01-17,0.9599,0.981,0.8969,0.95,14986.0
2022-01-18,0.8969,0.8969,0.8969,0.8969,360.0
2022-01-19,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-20,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-21,0.8969,0.8969,0.8969,0.8969,16316.0
2022-01-22,0.8969,0.8969,0.8969,0.8969,20.0
2022-01-23,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-24,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-25,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-26,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-27,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-28,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-29,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-30,0.8969,0.8969,0.8969,0.8969,0.0
2022-01-31,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-01,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-02,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-03,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-04,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-05,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-06,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-07,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-08,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-09,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-10,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-11,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-12,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-13,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-14,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-15,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-16,0.8969,0.8969,0.8969,0.8969,0.0
2022-02-17,0.8969,0.8969,0.8969,0.8969,0.0
