Date,open,high,low,close,volume
2022-01-01,17.622,18.828,16.544,18.756,116043.2
2022-01-02,18.828,19.736,18.468,19.57,129021.0
2022-01-03,19.591,19.978,18.373,19.192,125370.1
2022-01-04,18.845,20.441,18.373,19.395,87496.6
2022-01-05,19.284,19.75,16.655,17.535,152596.4
2022-01-06,17.5,18.385,16.645,17.79,86261.7
2022-01-07,17.756,19.874,16.794,17.786,92048.1
2022-01-08,17.442,18.674,17.236,17.888,83285.7
2022-01-09,17.812,18.888,17.081,18.556,127824.7
2022-01-10,18.438,18.92,16.946,17.225,137598.4
2022-01-11,17.345,18.967,16.835,17.574,167307.0
2022-01-12,17.713,18.0,17.434,17.856,81762.4
2022-01-13,18.015,18.971,17.176,17.186,108853.1
2022-01-14,17.216,17.935,16.906,17.32,141610.1
2022-01-15,17.314,18.054,17.166,17.778,87839.0
2022-01-16,17.534,18.062,17.126,17.328,87015.6
2022-01-17,17.328,18.315,15.79,16.066,127943.1
2022-01-18,16.066,16.262,15.34,15.934,154543.2
2022-01-19,15.924,16.316,15.308,15.56,94262.4
2022-01-20,15.53,16.791,14.626,14.716,158115.7
2022-01-21,14.716,14.726,12.452,12.846,118996.8
2022-01-22,13.488,13.488,13.488,13.488,36.7
2022-01-23,13.488,13.488,13.488,13.488,0.0
2022-01-24,13.488,13.488,13.488,13.488,0.0
2022-01-25,13.488,13.488,13.488,13.488,0.0
2022-01-26,13.488,13.488,13.488,13.488,0.0
2022-01-27,13.488,13.488,13.488,13.488,0.0
2022-01-28,13.488,13.488,13.488,13.488,0.0
2022-01-29,13.488,13.488,13.488,13.488,0.0
2022-01-30,13.488,13.488,13.488,13.488,0.0
2022-01-31,13.488,13.488,13.488,13.488,0.0
2022-02-01,13.488,13.488,13.488,13.488,0.0
2022-02-02,13.488,13.488,13.488,13.488,0.0
2022-02-03,13.488,13.488,13.488,13.488,0.0
2022-02-04,13.488,13.488,13.488,13.488,0.0
2022-02-05,13.96,14.13,13.96,14.13,108.6
2022-02-06,14.284,14.287,14.284,14.287,65.1
2022-02-07,14.287,15.02,14.287,15.02,174.0
2022-02-08,15.02,15.855,15.02,15.855,580.1
2022-02-09,15.855,15.855,15.855,15.855,0.0
2022-02-10,15.776,15.776,15.776,15.776,2.5
2022-02-11,15.776,15.776,15.776,15.776,0.0
2022-02-12,15.776,15.776,15.776,15.776,0.0
2022-02-13,15.776,15.776,15.776,15.776,0.0
2022-02-14,15.776,15.776,15.776,15.776,0.0
2022-02-15,15.776,15.776,15.776,15.776,0.0
2022-02-16,15.642,15.698,14.892,15.159,101711.3
2022-02-17,15.178,15.544,14.833,14.833,35043.7
