Date,open,high,low,close,volume
2022-01-01,5.0154,5.1816,5.0037,5.1722,305318.7
2022-01-02,5.1905,5.3188,5.0935,5.2678,390257.7
2022-01-03,5.2678,5.5794,5.1385,5.5386,485915.3
2022-01-04,5.5546,5.9736,5.31,5.6676,173401.9
2022-01-05,5.6676,6.9896,5.6054,6.2464,436273.3
2022-01-06,6.2514,6.3934,5.631,5.8386,429921.1
2022-01-07,5.8054,5.8462,5.1552,5.2554,454993.7
2022-01-08,5.2916,5.5316,4.7574,4.928,563393.7
2022-01-09,4.928,5.183,4.8758,5.183,409798.8
2022-01-10,5.183,5.4077,4.7938,4.9,587600.5
2022-01-11,5.0284,5.2009,4.8934,5.1413,482332.2
2022-01-12,5.1456,5.8435,4.8924,5.625,402613.1
2022-01-13,5.619,6.0967,5.551,5.821,297028.3
2022-01-14,5.821,6.0665,5.5295,5.6866,517446.9
2022-01-15,5.6298,5.914,5.525,5.6966,430199.1
2022-01-16,5.7488,5.8956,5.6192,5.6774,426717.2
2022-01-17,5.6798,5.8206,4.8891,5.2956,287757.3
2022-01-18,5.4451,5.4455,4.8874,5.0612,490507.4
2022-01-19,5.0675,5.1212,4.8848,4.8971,425016.9
2022-01-20,4.9012,5.2034,4.8765,5.2034,322818.3
2022-01-21,4.9014,4.9014,3.8608,3.964,382386.6
2022-01-22,3.964,4.0879,3.8554,3.8554,127814.5
2022-01-23,3.8554,3.8554,3.8554,3.8554,0.0
2022-01-24,3.8554,3.8554,3.8554,3.8554,0.0
2022-01-25,3.8554,3.8554,3.8554,3.8554,0.0
2022-01-26,3.8554,3.8554,3.8554,3.8554,0.0
2022-01-27,3.8554,3.8554,3.8554,3.8554,0.0
2022-01-28,3.8554,3.8554,3.839,3.839,2442.3
2022-01-29,3.839,3.839,3.839,3.839,0.0
2022-01-30,3.839,3.839,3.839,3.839,0.0
2022-01-31,3.839,3.839,3.839,3.839,0.0
2022-02-01,3.839,3.839,3.839,3.839,0.0
2022-02-02,3.839,3.839,3.839,3.839,43.3
2022-02-03,3.839,3.839,3.839,3.839,0.0
2022-02-04,3.839,3.839,3.839,3.839,0.0
2022-02-05,3.9963,4.0035,3.9963,4.0035,2126.2
2022-02-06,4.0035,4.0035,4.0035,4.0035,0.0
2022-02-07,4.3824,4.384,4.3824,4.384,269.5
2022-02-08,4.384,4.384,4.384,4.384,167.4
2022-02-09,4.384,4.3921,4.0149,4.3921,953.1
2022-02-10,4.3921,4.3921,4.3921,4.3921,0.0
2022-02-11,4.3921,4.3921,4.3921,4.3921,239.5
2022-02-12,4.21,4.21,4.21,4.21,63.8
2022-02-13,4.3921,4.3921,4.3921,4.3921,68.8
2022-02-14,4.3921,4.4424,4.3681,4.4424,715.4
2022-02-15,4.4465,4.792,4.4465,4.792,231.3
2022-02-16,4.5434,5.0302,4.3667,4.8328,260907.9
2022-02-17,4.8182,5.2674,4.7754,4.9436,265514.4
