Date,open,high,low,close,volume
2022-01-01,1.201,1.2743,1.1825,1.2525,1392781.3
2022-01-02,1.2525,1.3152,1.2213,1.2971,1192895.1
2022-01-03,1.3047,1.3478,1.2182,1.2796,1205742.9
2022-01-04,1.3064,1.4004,1.2145,1.3204,1919303.4
2022-01-05,1.3115,1.3335,1.1214,1.1742,1167166.8
2022-01-06,1.2407,1.2526,1.1076,1.1755,1711877.2
2022-01-07,1.1939,1.1939,1.039,1.0782,2034988.4
2022-01-08,1.085,1.0975,1.0384,1.0384,1796211.0
2022-01-09,1.1007,1.1036,0.9961,1.0303,1031964.5
2022-01-10,1.0301,1.1036,0.9405,0.9954,2500441.8
2022-01-11,1.0011,1.1083,0.9836,1.0481,2347678.6
2022-01-12,1.0531,1.1227,1.0463,1.1138,1746550.6
2022-01-13,1.1138,1.1237,1.0019,1.0398,2313349.2
2022-01-14,1.0398,1.0761,1.0091,1.0526,2230074.8
2022-01-15,1.0526,1.1214,1.0089,1.0698,2221169.1
2022-01-16,1.064,1.1214,1.0077,1.0475,1785412.1
2022-01-17,1.0534,1.128,0.9936,1.0066,1714241.5
2022-01-18,1.0111,1.0267,0.968,1.0001,2629837.8
2022-01-19,1.002,1.031,0.9511,0.9583,2046377.1
2022-01-20,0.9535,1.0315,0.9022,0.9026,3114181.9
2022-01-21,0.9064,0.9289,0.7816,0.8117,2984397.4
2022-01-22,0.8117,0.8128,0.7796,0.8128,5230.3
2022-01-23,0.8181,0.8181,0.7793,0.7793,810.5
2022-01-24,0.7793,0.7793,0.7793,0.7793,179.5
2022-01-25,0.8253,0.8259,0.7793,0.7793,3208.0
2022-01-26,0.7793,0.8261,0.7792,0.8261,3027.5
2022-01-27,0.8261,0.8269,0.7777,0.8269,10865.6
2022-01-28,0.8269,0.8321,0.7762,0.8279,9494.5
2022-01-29,0.8279,0.8279,0.8279,0.8279,0.0
2022-01-30,0.8279,0.8279,0.8279,0.8279,0.0
2022-01-31,0.8756,0.8756,0.8756,0.8756,111.0
2022-02-01,0.8756,0.8756,0.8756,0.8756,119.0
2022-02-02,0.8756,0.8756,0.8756,0.8756,0.0
2022-02-03,0.8756,0.8756,0.8756,0.8756,0.0
2022-02-04,0.8756,0.8756,0.8756,0.8756,0.0
2022-02-05,0.8756,0.8756,0.8756,0.8756,0.0
2022-02-06,0.8756,0.8756,0.8756,0.8756,0.0
2022-02-07,0.9945,0.9945,0.9945,0.9945,1028.1
2022-02-08,0.9945,0.9945,0.9945,0.9945,0.0
2022-02-09,0.9945,0.9945,0.9945,0.9945,0.0
2022-02-10,0.939,0.939,0.939,0.939,502.7
2022-02-11,0.939,0.939,0.939,0.939,0.0
2022-02-12,0.939,0.939,0.939,0.939,0.0
2022-02-13,0.939,0.939,0.939,0.939,0.0
2022-02-14,0.939,0.939,0.939,0.939,0.0
2022-02-15,0.939,0.939,0.939,0.939,0.0
2022-02-16,0.84,0.8568,0.8136,0.8307,2564227.1
2022-02-17,0.8494,0.8528,0.8082,0.8186,1581394.6
