Date,open,high,low,close,volume
2022-01-01,430.44,457.58,419.0,444.99,172295.664
2022-01-02,445.14,488.12,439.8,447.72,174432.808
2022-01-03,447.69,447.81,431.51,434.46,165238.797
2022-01-04,434.65,439.5,425.76,426.96,234747.936
2022-01-05,426.99,432.37,367.41,399.06,275685.637
2022-01-06,399.49,402.49,387.26,399.78,281517.042
2022-01-07,399.86,401.43,354.33,388.63,380863.458
2022-01-08,388.57,391.56,339.36,372.95,340612.373
2022-01-09,373.02,380.94,368.13,376.81,269341.979
2022-01-10,376.93,378.48,322.22,363.63,343925.367
2022-01-11,363.52,374.89,361.78,369.73,258457.477
2022-01-12,369.91,402.54,344.89,383.76,470839.585
2022-01-13,383.74,393.5,368.14,377.42,251612.634
2022-01-14,377.39,418.5,350.0,385.39,194399.456
2022-01-15,385.36,392.98,383.29,390.64,165432.321
2022-01-16,390.66,393.32,355.9,388.14,152223.249
2022-01-17,388.06,400.99,338.09,380.76,186750.397
2022-01-18,380.58,398.33,372.76,381.31,238523.085
2022-01-19,381.31,400.0,360.1,368.84,231815.03
2022-01-20,369.08,384.01,356.28,358.01,200215.178
2022-01-21,357.73,360.0,307.37,315.25,320984.27
2022-01-22,314.65,332.52,264.28,291.95,611313.363
2022-01-23,291.79,306.67,269.18,302.59,453694.33
2022-01-24,302.54,318.78,253.77,292.44,606310.167
2022-01-25,292.5,310.37,257.53,291.53,272819.298
2022-01-26,291.63,314.78,270.42,288.98,352105.075
2022-01-27,289.17,295.06,262.01,289.92,284597.104
2022-01-28,289.75,309.52,254.6,296.82,334827.552
2022-01-29,296.82,301.95,291.49,298.7,198617.375
2022-01-30,298.89,302.07,287.6,289.99,189876.258
2022-01-31,289.99,302.0,250.89,284.88,223363.008
2022-02-01,284.95,290.91,277.0,287.72,212182.591
2022-02-02,287.89,298.2,276.29,278.09,273702.414
2022-02-03,277.94,282.36,246.92,280.88,244098.158
2022-02-04,281.2,306.9,263.59,306.26,247738.32
2022-02-05,306.28,355.9,302.59,320.5,198622.768
2022-02-06,320.39,330.6,307.9,324.78,187407.705
2022-02-07,324.77,356.02,317.64,343.07,191750.131
2022-02-08,342.94,355.73,324.97,335.3,255721.319
2022-02-09,335.59,347.6,328.4,346.02,165767.66
2022-02-10,346.11,362.77,312.78,340.59,221181.476
2022-02-11,340.86,349.04,295.15,320.83,194024.56
2022-02-12,320.56,350.0,291.5,329.86,180141.966
2022-02-13,329.95,349.8,296.1,333.81,167488.611
2022-02-14,333.78,337.49,303.0,330.32,163997.41
2022-02-15,330.35,344.7,320.16,343.17,133191.619
2022-02-16,343.14,343.41,329.03,334.29,146116.947
2022-02-17,334.46,336.31,324.52,327.89,62242.373
