Date,open,high,low,close,volume
2022-01-01,514.76,521.82,514.1,521.0,1820.68
2022-01-02,523.28,532.88,518.8,531.69,3666.12
2022-01-03,525.34,532.45,514.98,514.98,997.14
2022-01-04,514.98,534.01,504.26,507.61,3847.11
2022-01-05,507.61,513.58,492.62,493.8,2708.56
2022-01-06,491.68,493.8,458.76,478.86,3186.87
2022-01-07,472.72,473.28,439.09,447.92,4290.21
2022-01-08,445.46,458.82,416.88,431.02,4502.54
2022-01-09,430.16,444.71,417.82,439.18,2756.51
2022-01-10,438.3,445.74,406.99,425.22,5864.35
2022-01-11,423.76,454.36,418.2,449.54,1194.3
2022-01-12,449.24,489.42,449.24,485.76,4220.31
2022-01-13,487.04,488.28,466.65,474.56,4028.89
2022-01-14,474.56,489.76,469.42,472.36,1968.46
2022-01-15,472.36,501.22,472.36,500.43,1939.73
2022-01-16,497.83,503.61,489.4,497.85,3886.32
2022-01-17,483.25,486.45,468.16,476.02,4140.75
2022-01-18,475.72,480.18,457.16,471.96,4014.45
2022-01-19,471.88,471.96,453.89,470.62,3289.67
2022-01-20,468.96,478.14,438.26,440.36,3280.57
2022-01-21,423.22,433.26,422.8,424.08,2555.96
2022-01-22,424.08,424.08,380.72,383.34,1235.53
2022-01-23,383.34,383.34,383.34,383.34,0.0
2022-01-24,383.13,389.8,380.31,389.8,19.44
2022-01-25,389.8,389.8,389.8,389.8,0.0
2022-01-26,389.8,389.8,380.31,380.31,2.14
2022-01-27,380.31,380.31,380.31,380.31,0.0
2022-01-28,380.31,380.31,380.31,380.31,0.0
2022-01-29,380.31,380.31,380.31,380.31,0.0
2022-01-30,380.31,380.31,380.31,380.31,0.0
2022-01-31,380.31,380.31,380.31,380.31,0.0
2022-02-01,380.31,380.31,380.31,380.31,0.0
2022-02-02,380.31,380.31,380.31,380.31,0.0
2022-02-03,380.31,380.31,380.31,380.31,0.0
2022-02-04,380.31,380.31,380.31,380.31,0.0
2022-02-05,380.31,380.31,380.31,380.31,0.0
2022-02-06,380.31,380.31,380.31,380.31,0.0
2022-02-07,380.31,380.31,380.31,380.31,0.0
2022-02-08,380.31,380.31,380.31,380.31,0.0
2022-02-09,380.31,380.31,380.31,380.31,0.0
2022-02-10,380.31,380.31,380.31,380.31,0.0
2022-02-11,380.31,380.31,380.31,380.31,0.0
2022-02-12,380.31,380.31,380.31,380.31,0.0
2022-02-13,380.31,380.31,380.31,380.31,0.0
2022-02-14,380.31,380.31,380.31,380.31,0.0
2022-02-15,380.31,380.31,380.31,380.31,0.0
2022-02-16,429.2,432.38,427.84,431.68,495.03
2022-02-17,431.54,432.44,422.6,422.6,1593.32
