Date,open,high,low,close,volume
2022-01-01,511.76,570.789,468.338,527.4,233629.52
2022-01-02,527.402,580.401,474.551,531.322,840939.9
2022-01-03,531.19,578.01,481.1,512.01,1142957.5
2022-01-04,512.022,520.0,476.6,507.442,2035601.59
2022-01-05,507.35,516.062,457.972,473.83,934599.6
2022-01-06,473.68,500.846,459.228,472.95,1471645.03
2022-01-07,473.01,496.0,404.0,451.79,1420943.51
2022-01-08,451.79,460.0,406.0,429.81,1838963.64
2022-01-09,429.912,475.519,387.734,438.448,2025709.45
2022-01-10,438.488,445.672,394.912,425.07,1916263.12
2022-01-11,425.01,480.0,411.625,463.22,1369226.59
2022-01-12,463.06,520.0,439.716,487.166,490986.92
2022-01-13,487.628,489.098,466.608,475.064,871875.87
2022-01-14,475.362,526.395,431.519,489.788,562440.64
2022-01-15,490.052,540.0,446.509,494.58,260715.65
2022-01-16,494.55,532.5,484.43,498.62,384039.17
2022-01-17,498.44,508.0,431.306,475.25,548426.84
2022-01-18,475.17,479.6,419.314,471.206,1147773.96
2022-01-19,471.21,517.0,422.84,462.212,508802.32
2022-01-20,461.81,494.483,417.314,440.608,841228.91
2022-01-21,440.025,461.524,374.23,383.71,1516806.51
2022-01-22,384.16,389.32,324.638,358.492,544345.66
2022-01-23,358.468,422.513,329.05,384.104,237812.44
2022-01-24,384.3,384.336,313.221,371.21,262036.11
2022-01-25,371.51,399.0,326.895,384.838,390246.66
2022-01-26,384.82,402.158,341.279,374.952,954453.56
2022-01-27,374.77,393.29,331.8,390.114,407349.38
2022-01-28,389.498,414.0,350.0,385.74,357154.25
2022-01-29,385.73,400.0,379.0,389.136,1772661.56
2022-01-30,389.34,389.43,372.78,377.65,355515.29
2022-01-31,377.228,385.342,340.0,374.358,731333.71
2022-02-01,373.98,393.0,373.91,384.51,576636.6
2022-02-02,384.092,396.0,366.318,367.54,425349.3
2022-02-03,367.358,380.0,359.708,371.74,768220.74
2022-02-04,371.9,399.632,369.44,399.53,1237471.25
2022-02-05,399.578,430.85,396.552,413.776,3885814.71
2022-02-06,413.862,422.0,400.0,419.918,2486169.43
2022-02-07,420.23,438.784,384.584,433.07,2242243.42
2022-02-08,433.298,461.66,385.0,407.884,2310647.23
2022-02-09,407.92,427.75,407.384,422.68,2875343.69
2022-02-10,422.82,434.91,410.01,414.632,6817872.06
2022-02-11,414.64,440.264,362.122,400.17,1190059.78
2022-02-12,399.91,407.06,364.71,403.298,3096245.43
2022-02-13,403.59,420.0,364.71,397.9,1947109.51
2022-02-14,397.91,408.0,364.71,403.31,1397507.21
2022-02-15,403.37,450.0,381.24,432.182,841061.89
2022-02-16,432.32,450.0,391.14,427.392,877983.0
2022-02-17,427.68,450.0,402.3,423.532,24963.34
