Date,open,high,low,close,volume
2022-01-01,3.215,3.4062,3.1664,3.2965,28537.0
2022-01-02,3.2965,3.4198,3.2965,3.39,14516.0
2022-01-03,3.4094,3.4504,3.3445,3.4211,37366.0
2022-01-04,3.4305,3.4815,3.3604,3.419,24965.0
2022-01-05,3.413,3.572,3.1536,3.1726,26915.0
2022-01-06,3.2905,3.3254,3.1262,3.1262,8328.0
2022-01-07,3.1798,3.3464,2.9891,3.164,50347.0
2022-01-08,3.1006,3.1784,2.97,3.1324,12821.0
2022-01-09,3.0966,3.2097,3.0485,3.191,21572.0
2022-01-10,3.1944,3.2036,3.1006,3.1425,7255.0
2022-01-11,3.181,3.2264,3.0942,3.1165,19244.0
2022-01-12,3.2255,3.2998,2.94,3.2305,27389.0
2022-01-13,3.3096,3.314,3.1252,3.314,22605.0
2022-01-14,3.1424,3.1825,3.057,3.1825,16139.0
2022-01-15,3.1825,3.2367,2.94,3.2212,11072.0
2022-01-16,3.2212,3.314,3.1545,3.2297,17630.0
2022-01-17,3.1692,3.1942,3.1692,3.188,4672.0
2022-01-18,3.188,3.188,3.188,3.188,0.0
2022-01-19,3.188,3.188,3.188,3.188,0.0
2022-01-20,3.188,3.188,3.188,3.188,0.0
2022-01-21,3.188,3.188,3.188,3.188,0.0
2022-01-22,3.188,3.188,3.188,3.188,0.0
2022-01-23,3.188,3.188,3.188,3.188,0.0
2022-01-24,3.188,3.188,3.188,3.188,0.0
2022-01-25,3.188,3.188,3.188,3.188,0.0
2022-01-26,3.188,3.188,3.188,3.188,0.0
2022-01-27,3.188,3.188,3.188,3.188,0.0
2022-01-28,3.188,3.188,3.188,3.188,0.0
2022-01-29,3.188,3.188,3.188,3.188,0.0
2022-01-30,3.188,3.188,3.188,3.188,0.0
2022-01-31,3.188,3.188,3.188,3.188,0.0
2022-02-01,3.188,3.188,3.188,3.188,0.0
2022-02-02,3.188,3.188,3.188,3.188,0.0
2022-02-03,3.188,3.188,3.188,3.188,0.0
2022-02-04,3.188,3.188,3.188,3.188,0.0
2022-02-05,3.188,3.188,3.188,3.188,0.0
2022-02-06,3.188,3.188,3.188,3.188,0.0
2022-02-07,3.188,3.188,3.188,3.188,0.0
2022-02-08,3.188,3.188,3.188,3.188,0.0
2022-02-09,3.188,3.188,3.188,3.188,0.0
2022-02-10,3.188,3.188,3.188,3.188,0.0
2022-02-11,3.188,3.188,3.188,3.188,0.0
2022-02-12,3.188,3.188,3.188,3.188,0.0
2022-02-13,3.188,3.188,3.188,3.188,0.0
2022-02-14,3.188,3.188,3.188,3.188,0.0
2022-02-15,3.188,3.188,3.188,3.188,0.0
2022-02-16,3.188,3.188,3.188,3.188,0.0
2022-02-17,3.188,3.188,3.188,3.188,0.0
