Date,open,high,low,close,volume
2022-01-01,46210.08,51915.9,46209.03,47749.75,45963.284
2022-01-02,52101.05,52101.05,46484.02,47311.11,62731.901
2022-01-03,47305.52,47554.85,45740.17,46442.3,57311.894
2022-01-04,46442.31,47520.86,45346.16,45868.79,59044.761
2022-01-05,46032.78,47052.96,42501.87,43450.98,67498.997
2022-01-06,43436.14,43862.64,42439.83,43093.35,72942.683
2022-01-07,43097.81,43179.1,40662.78,41803.07,63179.334
2022-01-08,41803.06,42306.25,40487.84,41682.26,73624.926
2022-01-09,41683.27,42820.41,41229.92,41858.34,73269.487
2022-01-10,41857.97,42429.07,39689.74,41830.86,73139.991
2022-01-11,41830.86,43157.49,41291.42,42730.86,74133.216
2022-01-12,42733.2,44319.08,42430.88,43917.21,72123.243
2022-01-13,43920.91,44424.6,42332.22,42566.06,72255.121
2022-01-14,42570.32,43495.47,41757.95,43084.66,71261.732
2022-01-15,43081.91,43976.01,42530.86,43096.82,70751.224
2022-01-16,43097.5,43621.24,42616.17,43094.87,72025.063
2022-01-17,43095.63,43271.0,41516.12,42221.72,73215.61
2022-01-18,42227.29,42680.2,41232.32,42370.54,73262.077
2022-01-19,42379.53,42713.85,41021.61,41671.01,73222.697
2022-01-20,41671.0,43510.2,40485.61,40724.0,73205.753
2022-01-21,40711.32,41097.74,35449.55,36487.93,67099.096
2022-01-22,36475.32,36798.64,34095.44,35073.09,74732.171
2022-01-23,35078.61,36632.47,34499.23,36270.31,74526.177
2022-01-24,36269.8,37509.78,32975.71,36696.4,75529.607
2022-01-25,36692.74,37551.39,35689.86,36963.59,74469.82
2022-01-26,36995.22,38957.41,36116.31,36813.75,74734.07
2022-01-27,36824.4,37447.28,35473.37,37188.27,75543.948
2022-01-28,37165.79,38034.13,36170.95,37732.61,75299.95
2022-01-29,37736.59,38718.64,37272.04,38161.05,72019.556
2022-01-30,38161.2,38408.78,37383.36,37919.19,72033.637
2022-01-31,37911.38,38814.1,36629.72,38492.43,72988.107
2022-02-01,38492.43,39255.48,38001.79,38725.12,74528.818
2022-02-02,38719.54,38879.37,36646.75,36911.26,74173.96
2022-02-03,36911.26,37356.72,36207.71,37275.05,73432.441
2022-02-04,37333.49,41735.1,36923.45,41584.22,73236.103
2022-02-05,41578.95,41943.33,40962.9,41415.39,71383.506
2022-02-06,41431.55,42655.69,41120.51,42401.61,67934.445
2022-02-07,42409.54,44549.94,41656.99,43860.84,73847.831
2022-02-08,43856.8,45481.13,42711.42,44078.08,71370.044
2022-02-09,44078.07,44905.61,43068.42,44420.86,72961.862
2022-02-10,44420.86,45796.3,43174.78,43524.59,73465.199
2022-02-11,43516.82,43948.97,42016.55,42407.84,72825.312
2022-02-12,42398.99,43019.8,41744.05,42239.38,72450.513
2022-02-13,42239.24,42772.52,41760.54,42072.64,70792.385
2022-02-14,42077.01,42892.78,41576.35,42548.83,72326.163
2022-02-15,42565.13,44762.1,42451.86,44569.02,72728.629
2022-02-16,44577.97,44580.53,43286.98,43906.7,71794.717
2022-02-17,43895.6,44195.06,42958.73,43303.59,30893.399
