Date,open,high,low,close,volume
2022-01-01,316.1,316.1,316.1,316.1,0.0
2022-01-02,316.1,316.1,316.1,316.1,0.0
2022-01-03,316.1,316.1,316.1,316.1,0.0
2022-01-04,316.1,316.1,316.1,316.1,0.0
2022-01-05,316.1,316.1,316.1,316.1,0.0
2022-01-06,316.1,316.1,316.1,316.1,0.0
2022-01-07,316.1,316.1,316.1,316.1,0.0
2022-01-08,316.1,316.1,316.1,316.1,0.0
2022-01-09,316.1,316.1,316.1,316.1,0.0
2022-01-10,316.1,316.1,316.1,316.1,0.0
2022-01-11,316.1,316.1,316.1,316.1,0.0
2022-01-12,316.1,316.1,316.1,316.1,0.0
2022-01-13,316.1,316.1,316.1,316.1,0.0
2022-01-14,316.1,316.1,316.1,316.1,0.0
2022-01-15,316.1,316.1,316.1,316.1,0.0
2022-01-16,316.1,316.1,316.1,316.1,0.0
2022-01-17,316.1,316.1,316.1,316.1,0.0
2022-01-18,316.1,316.1,316.1,316.1,0.0
2022-01-19,316.1,316.1,316.1,316.1,0.0
2022-01-20,316.1,316.1,316.1,316.1,0.0
2022-01-21,316.1,316.1,316.1,316.1,0.0
2022-01-22,316.1,316.1,316.1,316.1,0.0
2022-01-23,316.1,316.1,316.1,316.1,0.0
2022-01-24,316.1,316.1,316.1,316.1,0.0
2022-01-25,316.1,316.1,316.1,316.1,0.0
2022-01-26,316.1,316.1,316.1,316.1,0.0
2022-01-27,316.1,316.1,316.1,316.1,0.0
2022-01-28,316.1,316.1,316.1,316.1,0.0
2022-01-29,316.1,316.1,316.1,316.1,0.0
2022-01-30,316.1,316.1,316.1,316.1,0.0
2022-01-31,316.1,316.1,316.1,316.1,0.0
2022-02-01,316.1,316.1,316.1,316.1,0.0
2022-02-02,316.1,316.1,316.1,316.1,0.0
2022-02-03,316.1,316.1,316.1,316.1,0.0
2022-02-04,316.1,316.1,316.1,316.1,0.0
2022-02-05,316.1,316.1,316.1,316.1,0.0
2022-02-06,316.1,316.1,316.1,316.1,0.0
2022-02-07,316.1,316.1,316.1,316.1,0.0
2022-02-08,316.1,316.1,316.1,316.1,0.0
2022-02-09,316.1,316.1,316.1,316.1,0.0
2022-02-10,316.1,316.1,316.1,316.1,0.0
2022-02-11,316.1,316.1,316.1,316.1,0.0
2022-02-12,316.1,316.1,316.1,316.1,0.0
2022-02-13,316.1,316.1,316.1,316.1,0.0
2022-02-14,316.1,316.1,316.1,316.1,0.0
2022-02-15,316.1,316.1,316.1,316.1,0.0
2022-02-16,316.1,316.1,316.1,316.1,0.0
2022-02-17,316.1,316.1,316.1,316.1,0.0
