Date,open,high,low,close,volume
2022-01-01,40279.3,42008.0,38865.8,41963.0,50.92
2022-01-02,41994.5,47462.3,41824.4,45783.4,58.954
2022-01-03,45762.1,49875.9,45408.8,49844.4,56.192
2022-01-04,49888.6,50939.7,38866.5,43278.0,47.864
2022-01-05,43301.1,47594.4,40056.9,40680.5,65.538
2022-01-06,40687.7,40860.8,38451.0,38451.8,38.906
2022-01-07,38451.8,38773.0,34008.5,34474.7,70.281
2022-01-08,34486.3,36265.8,34296.4,35429.3,77.417
2022-01-09,35424.1,39858.2,33777.7,39808.3,64.207
2022-01-10,39816.9,45841.1,39760.9,45818.3,67.817
2022-01-11,45828.4,48027.5,38320.4,41185.0,65.731
2022-01-12,41200.0,44672.6,40625.1,43881.3,66.318
2022-01-13,43891.7,44469.7,39368.6,43956.9,46.364
2022-01-14,43956.9,45498.7,35203.9,41871.9,57.904
2022-01-15,41871.9,44191.5,40662.3,43642.3,40.147
2022-01-16,43628.3,44203.1,35629.5,39268.5,20.052
2022-01-17,35868.6,40954.3,35868.6,40931.4,55.953
2022-01-18,40914.0,43075.3,39551.5,42431.2,70.62
2022-01-19,42633.7,43500.0,39906.4,41243.1,63.536
2022-01-20,41085.5,42176.2,39906.4,41512.7,52.651
2022-01-21,41636.4,41650.5,37418.0,41219.4,70.659
2022-01-22,40713.4,41522.4,39258.5,41520.0,24.102
2022-01-23,41520.0,41520.0,41520.0,41520.0,0.0
2022-01-24,41520.0,41520.0,41520.0,41520.0,0.0
2022-01-25,41520.0,41520.0,41520.0,41520.0,0.0
2022-01-26,40611.0,40611.0,40611.0,40611.0,1.0
2022-01-27,36854.4,36968.8,35868.6,35868.6,10.632
2022-01-28,35868.6,35868.6,35868.6,35868.6,0.0
2022-01-29,35868.6,35868.6,35868.6,35868.6,0.0
2022-01-30,35868.6,35868.6,35868.6,35868.6,0.0
2022-01-31,35868.6,35868.6,35868.6,35868.6,0.0
2022-02-01,35868.6,35868.6,35868.6,35868.6,0.0
2022-02-02,35868.6,35868.6,35868.6,35868.6,0.0
2022-02-03,35868.6,35868.6,35868.6,35868.6,0.0
2022-02-04,36868.6,36868.6,35600.0,35600.0,2.93
2022-02-05,35600.0,35600.0,35600.0,35600.0,0.0
2022-02-06,35600.0,35600.0,35600.0,35600.0,0.0
2022-02-07,36868.6,41528.1,36868.6,41528.1,1.418
2022-02-08,43000.0,45200.0,43000.0,45200.0,0.401
2022-02-09,41026.0,43453.1,41026.0,43453.1,1.818
2022-02-10,43453.1,43453.1,43453.1,43453.1,0.03
2022-02-11,43453.1,43453.1,43453.1,43453.1,0.015
2022-02-12,43453.1,43453.1,43453.1,43453.1,0.0
2022-02-13,43453.1,43453.1,43453.1,43453.1,0.0
2022-02-14,43453.1,43453.1,43453.1,43453.1,0.0
2022-02-15,43453.1,43453.1,43453.1,43453.1,0.0
2022-02-16,43453.1,44146.2,38373.1,38373.1,41.548
2022-02-17,38399.2,38680.1,35988.7,36795.9,28.693
