Date,open,high,low,close,volume
2022-01-01,2.4414,2.5184,2.4305,2.4305,597775.0
2022-01-02,2.5152,2.5274,2.41,2.463,1126687.0
2022-01-03,2.4472,2.531,2.3008,2.3658,885258.0
2022-01-04,2.371,2.649,2.3225,2.5278,841629.0
2022-01-05,2.5278,2.8446,2.298,2.45,748488.0
2022-01-06,2.4496,2.4798,2.3262,2.417,622952.0
2022-01-07,2.3936,2.6085,2.2712,2.5344,1197507.0
2022-01-08,2.5344,2.6045,2.2882,2.3216,812174.0
2022-01-09,2.3264,2.382,2.2342,2.3692,431570.0
2022-01-10,2.3225,2.3813,2.075,2.2384,1009716.0
2022-01-11,2.2667,2.468,2.1894,2.434,829743.0
2022-01-12,2.434,2.5712,2.4122,2.5256,865361.0
2022-01-13,2.5105,2.5496,2.2992,2.2992,1006122.0
2022-01-14,2.3024,2.4952,2.2707,2.432,532179.0
2022-01-15,2.432,2.5198,2.3844,2.4075,978549.0
2022-01-16,2.3938,2.4784,2.3484,2.4405,865437.0
2022-01-17,2.4048,2.4664,2.2212,2.2572,859581.0
2022-01-18,2.2572,2.359,2.189,2.3085,743048.0
2022-01-19,2.3068,2.4188,2.1695,2.205,741515.0
2022-01-20,2.2016,2.4168,2.1888,2.1888,278010.0
2022-01-21,2.1888,2.1888,1.8062,1.856,1239546.0
2022-01-22,1.8471,1.9015,1.5724,1.6428,556988.0
2022-01-23,1.6428,1.6428,1.5416,1.5416,15135.0
2022-01-24,1.5416,1.5416,1.5416,1.5416,0.0
2022-01-25,1.5416,1.5416,1.5416,1.5416,0.0
2022-01-26,1.5416,1.5416,1.5416,1.5416,0.0
2022-01-27,1.5416,1.5416,1.5416,1.5416,0.0
2022-01-28,1.5416,1.5416,1.5416,1.5416,0.0
2022-01-29,1.631,1.631,1.631,1.631,36.0
2022-01-30,1.6535,1.6535,1.6535,1.6535,36.0
2022-01-31,1.6535,1.6535,1.6535,1.6535,0.0
2022-02-01,1.6535,1.6535,1.6535,1.6535,0.0
2022-02-02,1.6865,1.6903,1.6839,1.6884,16135.0
2022-02-03,1.6884,1.6884,1.6884,1.6884,0.0
2022-02-04,1.6884,1.6884,1.6884,1.6884,0.0
2022-02-05,1.8422,1.852,1.7544,1.852,1485.0
2022-02-06,1.852,1.852,1.815,1.815,1500.0
2022-02-07,1.7982,1.7982,1.7544,1.7544,1661.0
2022-02-08,1.7544,1.7544,1.7544,1.7544,0.0
2022-02-09,1.7544,1.7544,1.7544,1.7544,0.0
2022-02-10,2.0324,2.0324,1.85,1.92,178.0
2022-02-11,2.0324,2.0324,1.92,1.92,847.0
2022-02-12,1.92,1.92,1.92,1.92,0.0
2022-02-13,1.92,1.92,1.92,1.92,0.0
2022-02-14,1.92,1.92,1.92,1.92,911.0
2022-02-15,1.92,1.92,1.92,1.92,0.0
2022-02-16,1.92,1.92,1.69,1.8184,905103.0
2022-02-17,1.8184,1.8388,1.759,1.7781,646510.0
