Date,open,high,low,close,volume
2022-01-01,5.241,5.348,4.828,5.101,335291.8
2022-01-02,5.161,5.34,5.008,5.161,335146.0
2022-01-03,5.161,5.311,4.697,5.028,314962.5
2022-01-04,5.028,5.704,5.028,5.199,243910.9
2022-01-05,5.303,5.981,5.278,5.456,329568.4
2022-01-06,5.273,5.293,4.685,4.928,402928.1
2022-01-07,4.928,5.031,4.353,4.682,377005.8
2022-01-08,4.681,4.962,4.366,4.566,389949.8
2022-01-09,4.566,4.811,4.306,4.607,477894.5
2022-01-10,4.628,4.824,4.131,4.471,536819.3
2022-01-11,4.442,4.552,4.19,4.552,218289.3
2022-01-12,4.549,5.169,4.525,4.931,389831.0
2022-01-13,5.03,5.384,4.815,4.999,385418.8
2022-01-14,4.999,5.182,4.796,5.08,305195.5
2022-01-15,5.08,5.384,4.847,5.054,340840.1
2022-01-16,5.054,5.068,4.81,4.959,198797.5
2022-01-17,4.962,5.069,4.5,4.765,502283.2
2022-01-18,4.577,4.69,4.247,4.366,355833.5
2022-01-19,4.398,4.557,4.12,4.181,316748.6
2022-01-20,4.162,4.557,4.102,4.102,433193.5
2022-01-21,4.102,4.187,3.487,3.639,273643.9
2022-01-22,3.621,3.849,3.227,3.235,80079.6
2022-01-23,3.542,3.553,3.542,3.553,878.3
2022-01-24,3.235,3.235,3.202,3.202,1066.1
2022-01-25,3.202,3.202,3.202,3.202,0.0
2022-01-26,3.202,3.202,3.187,3.187,193.7
2022-01-27,3.187,3.187,3.178,3.178,575.4
2022-01-28,3.178,3.178,3.178,3.178,0.0
2022-01-29,3.178,3.178,3.178,3.178,79.3
2022-01-30,3.178,3.178,3.178,3.178,0.0
2022-01-31,3.178,3.178,3.178,3.178,0.0
2022-02-01,3.192,3.192,3.164,3.164,1402.7
2022-02-02,3.163,3.163,3.163,3.163,396.0
2022-02-03,3.163,3.163,3.163,3.163,0.0
2022-02-04,3.163,3.163,3.163,3.163,0.0
2022-02-05,3.163,3.163,3.157,3.157,334.2
2022-02-06,3.157,3.157,3.157,3.157,0.0
2022-02-07,3.157,3.157,3.157,3.157,0.0
2022-02-08,3.157,3.157,3.157,3.157,0.0
2022-02-09,3.157,3.157,3.157,3.157,30.2
2022-02-10,3.157,3.157,3.157,3.157,0.0
2022-02-11,3.157,3.157,3.157,3.157,79.9
2022-02-12,3.157,3.157,3.157,3.157,0.0
2022-02-13,3.157,3.157,3.157,3.157,0.0
2022-02-14,3.157,3.157,3.157,3.157,0.0
2022-02-15,3.26,3.26,3.157,3.157,42.4
2022-02-16,3.26,3.32,2.931,2.968,348891.1
2022-02-17,2.977,3.136,2.924,3.046,227429.9
