Date,open,high,low,close,volume
2022-01-01,0.8387,0.9452,0.8028,0.9299,1741118.0
2022-01-02,0.9222,0.9711,0.8689,0.8822,1452962.0
2022-01-03,0.7897,0.8815,0.7884,0.8815,3424337.0
2022-01-04,0.834,0.9218,0.7884,0.8725,1527946.0
2022-01-05,0.8559,0.8899,0.7081,0.7575,2359654.0
2022-01-06,0.7575,0.7735,0.71,0.7735,2220947.0
2022-01-07,0.7662,0.7692,0.6346,0.7211,2687006.0
2022-01-08,0.7181,0.7652,0.6559,0.6876,1687609.0
2022-01-09,0.6876,0.7264,0.6551,0.704,3210371.0
2022-01-10,0.704,0.7371,0.6324,0.6665,2786768.0
2022-01-11,0.6589,0.7537,0.6324,0.7506,3164760.0
2022-01-12,0.7504,0.8686,0.7338,0.7721,600863.0
2022-01-13,0.7887,0.8013,0.7406,0.75,2685409.0
2022-01-14,0.7406,0.8133,0.658,0.7576,2677447.0
2022-01-15,0.7733,0.9134,0.7532,0.8667,3008856.0
2022-01-16,0.8667,0.9004,0.8166,0.8826,904426.0
2022-01-17,0.8849,0.928,0.849,0.928,14704.0
2022-01-18,0.928,0.928,0.928,0.928,0.0
2022-01-19,0.928,0.928,0.928,0.928,0.0
2022-01-20,0.928,0.928,0.928,0.928,0.0
2022-01-21,0.928,0.928,0.928,0.928,0.0
2022-01-22,0.7291,0.7291,0.592,0.592,13189.0
2022-01-23,0.592,0.592,0.592,0.592,0.0
2022-01-24,0.592,0.592,0.592,0.592,0.0
2022-01-25,0.592,0.592,0.592,0.592,0.0
2022-01-26,0.592,0.592,0.592,0.592,0.0
2022-01-27,0.592,0.592,0.592,0.592,0.0
2022-01-28,0.592,0.592,0.592,0.592,0.0
2022-01-29,0.592,0.592,0.592,0.592,0.0
2022-01-30,0.592,0.592,0.592,0.592,0.0
2022-01-31,0.592,0.592,0.592,0.592,0.0
2022-02-01,0.592,0.592,0.592,0.592,0.0
2022-02-02,0.592,0.592,0.592,0.592,0.0
2022-02-03,0.592,0.592,0.592,0.592,0.0
2022-02-04,0.592,0.592,0.592,0.592,0.0
2022-02-05,0.592,0.592,0.592,0.592,0.0
2022-02-06,0.592,0.592,0.592,0.592,0.0
2022-02-07,0.592,0.592,0.592,0.592,0.0
2022-02-08,0.592,0.592,0.592,0.592,0.0
2022-02-09,0.592,0.592,0.592,0.592,0.0
2022-02-10,0.592,0.592,0.592,0.592,0.0
2022-02-11,0.592,0.592,0.592,0.592,0.0
2022-02-12,0.592,0.592,0.592,0.592,0.0
2022-02-13,0.592,0.592,0.592,0.592,0.0
2022-02-14,0.592,0.592,0.592,0.592,0.0
2022-02-15,0.592,0.592,0.592,0.592,0.0
2022-02-16,0.592,0.592,0.592,0.592,0.0
2022-02-17,0.592,0.592,0.592,0.592,0.0
