Date,open,high,low,close,volume
2022-01-01,199.69,210.48,197.34,210.28,165619.98
2022-01-02,210.28,211.97,202.3,210.5,335230.16
2022-01-03,210.28,224.92,197.7,220.21,113224.518
2022-01-04,220.35,236.51,214.35,223.33,465239.992
2022-01-05,223.2,247.8,196.86,204.01,250583.789
2022-01-06,203.87,205.88,191.96,204.11,256569.22
2022-01-07,203.94,204.94,185.88,195.99,582690.598
2022-01-08,195.99,198.61,180.78,187.94,252570.089
2022-01-09,187.95,200.45,186.28,193.8,214545.709
2022-01-10,193.8,197.3,175.33,183.53,253841.082
2022-01-11,183.52,192.6,180.99,190.09,163079.444
2022-01-12,190.13,199.52,189.76,196.53,160478.255
2022-01-13,196.58,205.92,186.06,186.43,163478.894
2022-01-14,186.8,193.24,182.69,190.22,225227.842
2022-01-15,190.3,199.2,189.11,190.38,243408.387
2022-01-16,190.33,192.41,186.28,191.21,138858.068
2022-01-17,191.19,191.84,177.71,181.49,296815.071
2022-01-18,181.38,183.78,173.46,180.21,188507.011
2022-01-19,180.4,181.09,166.53,168.03,202713.173
2022-01-20,167.92,186.0,160.48,161.41,97597.485
2022-01-21,161.53,162.97,135.2,139.07,392326.879
2022-01-22,139.05,141.68,110.34,122.95,214235.067
2022-01-23,122.94,130.81,121.2,128.38,80372.34
2022-01-24,128.15,128.27,109.9,124.78,901919.234
2022-01-25,124.58,130.0,121.46,126.74,257477.743
2022-01-26,126.9,137.1,122.72,125.1,114507.433
2022-01-27,125.36,129.69,118.54,123.24,145129.441
2022-01-28,123.33,125.82,118.45,122.48,296284.771
2022-01-29,122.53,126.82,121.72,124.03,268178.51
2022-01-30,124.11,124.45,116.49,117.83,325618.311
2022-01-31,117.73,122.91,112.79,121.86,249543.943
2022-02-01,121.78,129.76,121.34,126.21,327054.224
2022-02-02,126.12,131.13,119.24,119.94,406136.217
2022-02-03,119.88,124.95,116.82,124.39,295204.616
2022-02-04,124.68,135.39,123.71,135.32,292044.077
2022-02-05,135.32,142.21,132.32,136.11,263571.53
2022-02-06,136.25,143.15,127.0,140.85,330112.682
2022-02-07,141.07,149.38,136.29,149.38,123562.62
2022-02-08,149.29,151.4,136.19,146.79,228766.937
2022-02-09,146.91,148.38,140.6,144.97,207173.741
2022-02-10,145.05,153.91,126.26,133.31,224269.141
2022-02-11,133.24,137.74,123.15,125.48,132963.91
2022-02-12,125.57,131.12,113.32,127.68,440740.777
2022-02-13,127.83,130.03,122.49,124.21,154204.191
2022-02-14,124.13,127.54,120.8,126.06,214768.71
2022-02-15,125.88,136.67,125.85,136.12,281409.272
2022-02-16,136.1,137.75,129.35,135.87,275843.013
2022-02-17,135.89,137.86,130.55,131.8,120760.887
