Date,open,high,low,close,volume
2022-01-01,0.35452,0.38995,0.354,0.38798,4032862.0
2022-01-02,0.38798,0.38942,0.37534,0.37534,4627521.0
2022-01-03,0.38894,0.39788,0.37986,0.39788,2867756.0
2022-01-04,0.38965,0.42175,0.37918,0.39438,6078931.0
2022-01-05,0.39378,0.4269,0.34832,0.37042,3888005.0
2022-01-06,0.3672,0.3752,0.34585,0.37167,6574031.0
2022-01-07,0.36988,0.4049,0.33262,0.33778,5466784.0
2022-01-08,0.33778,0.34509,0.3054,0.31558,3929998.0
2022-01-09,0.32872,0.34086,0.32226,0.33264,5839248.0
2022-01-10,0.33138,0.341,0.30165,0.30165,4812019.0
2022-01-11,0.3124,0.33935,0.30934,0.33668,7629862.0
2022-01-12,0.33657,0.35416,0.31,0.35342,5869939.0
2022-01-13,0.35342,0.36276,0.32924,0.33088,5536232.0
2022-01-14,0.31,0.36298,0.30164,0.33466,7641322.0
2022-01-15,0.33466,0.34615,0.32172,0.34148,6431299.0
2022-01-16,0.34148,0.35572,0.32163,0.34103,4771290.0
2022-01-17,0.34103,0.3944,0.33414,0.38876,4202070.0
2022-01-18,0.38854,0.42004,0.37938,0.40996,2991659.0
2022-01-19,0.4104,0.41408,0.36524,0.3671,6612196.0
2022-01-20,0.36668,0.40178,0.36422,0.37054,6822510.0
2022-01-21,0.36939,0.40178,0.28528,0.29299,6428780.0
2022-01-22,0.29299,0.30767,0.253,0.25658,2423419.0
2022-01-23,0.25553,0.29529,0.25553,0.29529,17987.0
2022-01-24,0.29529,0.29529,0.29529,0.29529,0.0
2022-01-25,0.2287,0.28379,0.2287,0.28379,23955.0
2022-01-26,0.29529,0.29552,0.26525,0.26525,21216.0
2022-01-27,0.26525,0.26525,0.26525,0.26525,0.0
2022-01-28,0.26392,0.3407,0.26392,0.33257,5912.0
2022-01-29,0.33423,0.3416,0.30718,0.30718,2500.0
2022-01-30,0.30872,0.33202,0.30872,0.33202,224.0
2022-01-31,0.33368,0.33368,0.33202,0.33202,1505.0
2022-02-01,0.33202,0.33202,0.33202,0.33202,0.0
2022-02-02,0.315,0.315,0.315,0.315,60.0
2022-02-03,0.315,0.315,0.30913,0.30913,20171.0
2022-02-04,0.30913,0.30913,0.30913,0.30913,0.0
2022-02-05,0.3035,0.3035,0.3035,0.3035,329.0
2022-02-06,0.30502,0.30502,0.30502,0.30502,95.0
2022-02-07,0.32163,0.32163,0.32163,0.32163,19216.0
2022-02-08,0.32163,0.32163,0.32163,0.32163,2131.0
2022-02-09,0.32163,0.32163,0.32163,0.32163,0.0
2022-02-10,0.32163,0.32163,0.32163,0.32163,0.0
2022-02-11,0.32163,0.32163,0.32163,0.32163,0.0
2022-02-12,0.32163,0.32163,0.32163,0.32163,0.0
2022-02-13,0.32163,0.32163,0.32163,0.32163,0.0
2022-02-14,0.2669,0.2669,0.2669,0.2669,10115.0
2022-02-15,0.2669,0.2669,0.2669,0.2669,0.0
2022-02-16,0.2942,0.2988,0.27684,0.28885,5527038.0
2022-02-17,0.28464,0.29083,0.27636,0.27764,3110861.0
