Date,open,high,low,close,volume
2022-01-01,5.363,6.327,5.363,6.23,374383.7
2022-01-02,6.229,6.516,5.921,6.041,335601.5
2022-01-03,5.983,6.775,5.707,6.547,422550.0
2022-01-04,6.547,6.696,6.033,6.033,303432.9
2022-01-05,6.054,6.493,5.483,5.578,195406.4
2022-01-06,5.522,5.669,5.044,5.464,367634.7
2022-01-07,5.379,5.48,4.705,4.955,396308.9
2022-01-08,5.191,5.277,4.468,4.655,295227.1
2022-01-09,4.418,4.896,4.405,4.606,504241.0
2022-01-10,4.541,4.896,4.123,4.278,457460.1
2022-01-11,4.366,4.896,4.127,4.541,442616.8
2022-01-12,4.661,5.278,4.548,4.938,609772.5
2022-01-13,4.861,5.204,4.737,4.985,404591.5
2022-01-14,4.985,5.669,4.536,5.669,220541.3
2022-01-15,5.372,5.611,5.043,5.514,448732.4
2022-01-16,5.31,5.627,4.675,5.142,381430.9
2022-01-17,5.142,5.246,4.743,4.801,102834.5
2022-01-18,4.801,4.801,4.801,4.801,0.0
2022-01-19,4.801,4.801,4.801,4.801,0.0
2022-01-20,4.801,4.801,4.743,4.743,406.0
2022-01-21,4.743,4.743,4.743,4.743,0.0
2022-01-22,4.743,4.743,4.743,4.743,0.0
2022-01-23,4.743,4.743,4.743,4.743,0.0
2022-01-24,4.743,4.743,4.743,4.743,0.0
2022-01-25,4.743,4.743,4.743,4.743,0.0
2022-01-26,4.743,4.743,4.743,4.743,0.0
2022-01-27,4.743,4.743,4.743,4.743,0.0
2022-01-28,4.743,4.743,4.743,4.743,0.0
2022-01-29,4.743,4.743,4.743,4.743,0.0
2022-01-30,4.743,4.743,4.743,4.743,0.0
2022-01-31,4.743,4.743,4.743,4.743,0.0
2022-02-01,4.743,4.743,4.743,4.743,0.0
2022-02-02,4.743,4.743,4.743,4.743,0.0
2022-02-03,4.743,4.743,4.743,4.743,0.0
2022-02-04,4.743,4.743,4.743,4.743,0.0
2022-02-05,4.743,4.743,4.743,4.743,0.0
2022-02-06,4.743,4.743,4.743,4.743,0.0
2022-02-07,4.743,4.743,4.743,4.743,0.0
2022-02-08,4.743,4.743,4.743,4.743,0.0
2022-02-09,4.743,4.743,4.743,4.743,0.0
2022-02-10,4.743,4.743,4.743,4.743,0.0
2022-02-11,4.743,4.743,4.743,4.743,0.0
2022-02-12,4.743,4.743,4.743,4.743,0.0
2022-02-13,4.743,4.743,4.743,4.743,0.0
2022-02-14,4.743,4.743,4.743,4.743,0.0
2022-02-15,4.743,4.743,4.743,4.743,0.0
2022-02-16,4.743,4.743,4.743,4.743,0.0
2022-02-17,4.743,4.743,4.743,4.743,0.0
