Date,open,high,low,close,volume
2022-01-01,1.695,1.828,1.563,1.781,1658856.0
2022-01-02,1.781,1.836,1.612,1.749,1337689.0
2022-01-03,1.807,1.889,1.584,1.622,1050406.0
2022-01-04,1.704,1.797,1.563,1.738,882727.0
2022-01-05,1.722,1.829,1.577,1.577,464242.0
2022-01-06,1.563,1.617,1.388,1.501,1146830.0
2022-01-07,1.501,1.584,1.39,1.458,1339286.0
2022-01-08,1.478,1.551,1.382,1.382,500454.0
2022-01-09,1.382,1.551,1.354,1.382,666241.0
2022-01-10,1.354,1.409,1.268,1.378,1142067.0
2022-01-11,1.293,1.486,1.249,1.471,1692822.0
2022-01-12,1.42,1.574,1.317,1.459,1551329.0
2022-01-13,1.53,1.635,1.349,1.499,1642378.0
2022-01-14,1.426,1.55,1.366,1.477,1298960.0
2022-01-15,1.55,1.623,1.405,1.502,1588766.0
2022-01-16,1.575,1.639,1.365,1.544,1286014.0
2022-01-17,1.511,1.606,1.417,1.541,295979.0
2022-01-18,1.541,1.541,1.541,1.541,0.0
2022-01-19,1.541,1.541,1.541,1.541,0.0
2022-01-20,1.541,1.541,1.541,1.541,0.0
2022-01-21,1.541,1.541,1.541,1.541,0.0
2022-01-22,1.541,1.541,1.541,1.541,0.0
2022-01-23,1.541,1.541,1.541,1.541,0.0
2022-01-24,1.541,1.541,1.541,1.541,0.0
2022-01-25,1.541,1.541,1.541,1.541,0.0
2022-01-26,1.541,1.541,1.541,1.541,0.0
2022-01-27,1.541,1.541,1.541,1.541,0.0
2022-01-28,1.541,1.541,1.541,1.541,0.0
2022-01-29,1.541,1.541,1.541,1.541,0.0
2022-01-30,1.541,1.541,1.541,1.541,0.0
2022-01-31,1.541,1.541,1.541,1.541,0.0
2022-02-01,1.541,1.541,1.541,1.541,0.0
2022-02-02,1.541,1.541,1.541,1.541,0.0
2022-02-03,1.541,1.541,1.541,1.541,0.0
2022-02-04,1.541,1.541,1.541,1.541,0.0
2022-02-05,1.541,1.541,1.541,1.541,0.0
2022-02-06,1.541,1.541,1.541,1.541,0.0
2022-02-07,1.541,1.541,1.541,1.541,0.0
2022-02-08,1.541,1.541,1.541,1.541,0.0
2022-02-09,1.541,1.541,1.541,1.541,0.0
2022-02-10,1.541,1.541,1.541,1.541,0.0
2022-02-11,1.541,1.541,1.541,1.541,0.0
2022-02-12,1.541,1.541,1.541,1.541,0.0
2022-02-13,1.541,1.541,1.541,1.541,0.0
2022-02-14,1.541,1.541,1.541,1.541,0.0
2022-02-15,1.541,1.541,1.541,1.541,0.0
2022-02-16,1.541,1.541,1.541,1.541,0.0
2022-02-17,1.541,1.541,1.541,1.541,0.0
