Date,open,high,low,close,volume
2022-01-01,0.6861,0.7225,0.6842,0.7197,2034813.0
2022-01-02,0.7028,0.7218,0.6996,0.7175,3712927.0
2022-01-03,0.7175,0.7231,0.6685,0.6827,1010343.0
2022-01-04,0.6799,0.745,0.6681,0.7085,1879498.0
2022-01-05,0.71,0.7619,0.6361,0.6361,3034648.0
2022-01-06,0.6361,0.6595,0.6308,0.6521,797303.0
2022-01-07,0.652,0.6531,0.589,0.6067,3913200.0
2022-01-08,0.6294,0.63,0.5582,0.5811,3208260.0
2022-01-09,0.5789,0.6302,0.5736,0.5921,4050210.0
2022-01-10,0.5819,0.6063,0.5477,0.5477,2427904.0
2022-01-11,0.5477,0.5869,0.5431,0.5715,3380560.0
2022-01-12,0.5876,0.6839,0.5799,0.6776,3596881.0
2022-01-13,0.7419,0.7795,0.6978,0.7001,2898278.0
2022-01-14,0.7028,0.7316,0.6753,0.7117,2109195.0
2022-01-15,0.7105,0.7322,0.6762,0.6819,2867564.0
2022-01-16,0.6819,0.6879,0.6445,0.6564,3582961.0
2022-01-17,0.6574,0.6574,0.6434,0.6434,14921.0
2022-01-18,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-19,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-20,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-21,0.6434,0.6434,0.6434,0.6434,760.0
2022-01-22,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-23,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-24,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-25,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-26,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-27,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-28,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-29,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-30,0.6434,0.6434,0.6434,0.6434,0.0
2022-01-31,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-01,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-02,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-03,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-04,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-05,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-06,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-07,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-08,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-09,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-10,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-11,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-12,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-13,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-14,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-15,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-16,0.6434,0.6434,0.6434,0.6434,0.0
2022-02-17,0.6434,0.6434,0.6434,0.6434,0.0
