Date,open,high,low,close,volume
2022-01-01,133.7,139.36,133.67,138.02,280620.32
2022-01-02,138.02,143.23,136.32,142.1,317711.317
2022-01-03,142.11,142.93,136.36,139.15,344980.6
2022-01-04,139.22,139.82,133.62,134.59,356390.244
2022-01-05,134.59,137.0,117.04,122.42,461353.661
2022-01-06,122.57,125.31,118.04,124.53,563875.525
2022-01-07,124.42,133.45,115.61,132.77,745420.128
2022-01-08,132.77,146.26,131.68,141.82,696836.058
2022-01-09,142.01,156.58,140.49,152.89,592945.986
2022-01-10,153.0,154.68,140.0,148.16,651847.116
2022-01-11,148.04,156.12,141.13,141.67,531177.642
2022-01-12,141.69,144.65,138.49,143.38,778654.461
2022-01-13,143.44,144.74,126.64,141.31,490130.435
2022-01-14,141.3,146.75,139.1,141.18,383106.544
2022-01-15,141.17,142.49,138.63,141.46,288713.886
2022-01-16,141.43,142.86,136.51,137.35,319524.943
2022-01-17,137.41,138.24,132.79,135.71,340967.663
2022-01-18,135.71,136.99,127.32,130.55,401536.653
2022-01-19,130.48,131.97,116.06,126.63,410491.812
2022-01-20,126.72,133.7,120.62,121.32,385031.174
2022-01-21,121.32,122.26,102.74,105.91,748079.601
2022-01-22,105.74,107.58,85.55,97.32,1272065.141
2022-01-23,97.04,100.89,93.0,99.59,642512.306
2022-01-24,99.36,100.24,80.68,90.42,783514.263
2022-01-25,90.49,92.34,87.85,89.34,493649.972
2022-01-26,89.54,99.21,88.37,92.89,571268.31
2022-01-27,92.91,94.14,87.17,91.68,498149.87
2022-01-28,91.57,96.04,89.76,95.51,445099.988
2022-01-29,95.53,97.88,93.39,96.33,283497.47
2022-01-30,96.62,98.08,92.0,92.91,296962.627
2022-01-31,92.76,94.97,88.32,94.26,330513.177
2022-02-01,94.26,97.56,93.77,97.08,299113.595
2022-02-02,97.33,99.43,92.16,93.01,351695.047
2022-02-03,92.92,95.27,90.34,95.1,337215.85
2022-02-04,95.17,103.12,94.3,103.01,322131.009
2022-02-05,102.97,106.52,101.28,103.57,314742.588
2022-02-06,103.63,108.97,102.49,108.62,329994.444
2022-02-07,108.65,116.93,105.92,115.92,354655.514
2022-02-08,115.87,119.41,109.45,112.54,445067.848
2022-02-09,112.76,118.19,110.22,114.94,333402.879
2022-02-10,114.87,117.5,109.88,111.78,466625.093
2022-02-11,111.61,114.58,102.64,104.03,492206.167
2022-02-12,103.98,106.61,100.07,103.96,355377.917
2022-02-13,103.98,105.88,100.73,102.02,363425.622
2022-02-14,101.93,104.69,98.67,103.76,379253.193
2022-02-15,103.7,109.88,103.61,109.24,325813.553
2022-02-16,109.27,116.14,106.02,115.34,403088.889
2022-02-17,115.23,118.68,113.66,114.5,223769.112
