Date,open,high,low,close,volume
2022-01-01,0.813,0.92,0.767,0.827,1279618.8
2022-01-02,0.851,1.007,0.792,0.865,2438993.3
2022-01-03,0.885,1.017,0.813,0.955,2606929.1
2022-01-04,0.868,0.994,0.817,0.919,1912880.7
2022-01-05,0.905,1.039,0.812,0.878,3060956.8
2022-01-06,0.861,0.906,0.792,0.863,1198159.8
2022-01-07,0.805,0.904,0.755,0.863,1707752.2
2022-01-08,0.783,0.906,0.722,0.781,3005395.6
2022-01-09,0.722,0.844,0.701,0.701,1587336.2
2022-01-10,0.74,0.825,0.652,0.733,3652548.9
2022-01-11,0.732,0.801,0.65,0.713,3054642.0
2022-01-12,0.713,0.813,0.687,0.772,1313372.3
2022-01-13,0.813,0.872,0.705,0.716,1730225.5
2022-01-14,0.746,0.853,0.69,0.76,3364073.3
2022-01-15,0.774,0.865,0.741,0.757,2559838.2
2022-01-16,0.831,0.872,0.717,0.775,2441479.4
2022-01-17,0.775,0.876,0.713,0.804,2137170.0
2022-01-18,0.746,0.847,0.702,0.772,2185666.8
2022-01-19,0.777,0.801,0.662,0.747,1870775.2
2022-01-20,0.729,0.813,0.675,0.709,3494944.5
2022-01-21,0.703,0.747,0.6,0.6,1891513.4
2022-01-22,0.6,0.631,0.438,0.438,1229284.7
2022-01-23,0.438,0.438,0.438,0.438,0.0
2022-01-24,0.438,0.438,0.438,0.438,0.0
2022-01-25,0.45,0.45,0.45,0.45,2283.1
2022-01-26,0.45,0.45,0.45,0.45,0.0
2022-01-27,0.45,0.45,0.45,0.45,18504.1
2022-01-28,0.45,0.45,0.45,0.45,36186.7
2022-01-29,0.45,0.45,0.45,0.45,0.0
2022-01-30,0.45,0.45,0.45,0.45,0.0
2022-01-31,0.45,0.45,0.45,0.45,0.0
2022-02-01,0.492,0.492,0.492,0.492,5081.3
2022-02-02,0.492,0.492,0.492,0.492,0.0
2022-02-03,0.492,0.492,0.492,0.492,49072.6
2022-02-04,0.54,0.542,0.54,0.542,3446.4
2022-02-05,0.542,0.542,0.542,0.542,0.0
2022-02-06,0.542,0.542,0.542,0.542,0.0
2022-02-07,0.542,0.542,0.542,0.542,0.0
2022-02-08,0.644,0.644,0.577,0.644,1854.3
2022-02-09,0.542,0.644,0.542,0.542,11245.4
2022-02-10,0.542,0.542,0.542,0.542,0.0
2022-02-11,0.695,0.695,0.695,0.695,315.6
2022-02-12,0.695,0.695,0.695,0.695,0.0
2022-02-13,0.695,0.695,0.695,0.695,0.0
2022-02-14,0.695,0.695,0.695,0.695,0.0
2022-02-15,0.695,0.695,0.695,0.695,0.0
2022-02-16,0.568,0.603,0.486,0.574,2725130.2
2022-02-17,0.506,0.577,0.471,0.494,1796623.1
