Date,open,high,low,close,volume
2022-01-01,0.17142,0.17494,0.166,0.17348,10703277.0
2022-01-02,0.1717,0.18144,0.17066,0.17488,16823830.0
2022-01-03,0.17488,0.17596,0.16732,0.17068,15414029.0
2022-01-04,0.1704,0.1729,0.16549,0.16926,14575709.0
2022-01-05,0.16887,0.17326,0.135,0.1601,15605949.0
2022-01-06,0.15934,0.16228,0.15373,0.16036,12998612.0
2022-01-07,0.16024,0.17197,0.14712,0.15529,18769848.0
2022-01-08,0.15516,0.17003,0.136,0.15142,13424611.0
2022-01-09,0.15061,0.16517,0.14498,0.14498,10887350.0
2022-01-10,0.15,0.1544,0.12938,0.14284,19486805.0
2022-01-11,0.12895,0.1815,0.12895,0.15406,14701210.0
2022-01-12,0.1511,0.1723,0.15063,0.16318,19117237.0
2022-01-13,0.16318,0.1906,0.15018,0.17221,11034127.0
2022-01-14,0.17236,0.20867,0.161,0.18406,12717500.0
2022-01-15,0.17968,0.19983,0.17952,0.18524,12581063.0
2022-01-16,0.18496,0.18771,0.17696,0.18304,8158722.0
2022-01-17,0.18304,0.18304,0.155,0.17116,15082048.0
2022-01-18,0.17116,0.18068,0.1581,0.16552,10423818.0
2022-01-19,0.16536,0.177,0.1538,0.16223,16237480.0
2022-01-20,0.16182,0.17586,0.1453,0.15557,18808354.0
2022-01-21,0.15557,0.16635,0.13917,0.14246,15660062.0
2022-01-22,0.14168,0.1455,0.11989,0.12275,7917219.0
2022-01-23,0.13048,0.153,0.1248,0.135,455636.0
2022-01-24,0.13886,0.14,0.12346,0.1365,293610.0
2022-01-25,0.13444,0.13677,0.13153,0.13677,56699.0
2022-01-26,0.13677,0.16523,0.13677,0.14058,280154.0
2022-01-27,0.14023,0.1435,0.13595,0.13595,139471.0
2022-01-28,0.14075,0.1417,0.13707,0.13713,79999.0
2022-01-29,0.13852,0.14297,0.13737,0.14198,218410.0
2022-01-30,0.14003,0.14234,0.137,0.137,57162.0
2022-01-31,0.13626,0.14,0.13043,0.13875,410473.0
2022-02-01,0.13875,0.144,0.13875,0.13875,225344.0
2022-02-02,0.13931,0.13955,0.13875,0.13875,176775.0
2022-02-03,0.13875,0.13875,0.13402,0.13565,367334.0
2022-02-04,0.13565,0.145,0.13565,0.145,77685.0
2022-02-05,0.145,0.14704,0.13565,0.14704,157564.0
2022-02-06,0.147,0.1535,0.14327,0.15338,329104.0
2022-02-07,0.15338,0.15757,0.14327,0.146,555844.0
2022-02-08,0.16201,0.16201,0.146,0.16,353822.0
2022-02-09,0.16,0.16617,0.146,0.15952,272592.0
2022-02-10,0.15952,0.17535,0.15605,0.17302,10469.0
2022-02-11,0.17302,0.17302,0.1521,0.1521,59975.0
2022-02-12,0.1521,0.1521,0.146,0.14627,454070.0
2022-02-13,0.14627,0.1552,0.13822,0.148,772680.0
2022-02-14,0.14503,0.14795,0.14141,0.145,90291.0
2022-02-15,0.13188,0.14622,0.13188,0.14622,74243.0
2022-02-16,0.15161,0.15161,0.1458,0.1501,7783533.0
2022-02-17,0.1501,0.15059,0.14552,0.1482,7670185.0
