Date,open,high,low,close,volume
2022-01-01,26.919,28.635,26.798,28.62,78039.8
2022-01-02,28.65,33.0,26.78,29.65,140263.4
2022-01-03,29.65,33.3,28.615,30.158,98834.2
2022-01-04,30.158,30.598,28.678,28.678,108857.5
2022-01-05,30.19,30.32,25.194,26.842,65244.6
2022-01-06,25.256,29.042,24.995,26.778,69172.8
2022-01-07,26.738,26.856,23.186,25.134,96360.6
2022-01-08,25.367,25.5,22.548,23.93,98347.9
2022-01-09,23.0,25.339,23.0,24.63,106897.9
2022-01-10,24.636,25.6,20.662,23.826,107874.3
2022-01-11,23.796,26.027,23.466,25.605,65965.7
2022-01-12,25.59,30.161,24.094,27.338,92331.0
2022-01-13,27.265,30.234,23.679,25.69,93056.4
2022-01-14,25.821,30.28,23.198,27.776,89398.4
2022-01-15,27.776,29.16,25.904,27.849,98558.9
2022-01-16,27.584,28.472,25.274,27.736,92475.7
2022-01-17,27.736,27.89,25.274,26.776,38849.5
2022-01-18,26.776,26.776,26.776,26.776,0.0
2022-01-19,26.776,26.776,26.776,26.776,0.0
2022-01-20,26.776,26.776,26.776,26.776,0.0
2022-01-21,26.35,26.35,26.196,26.196,365.6
2022-01-22,26.196,26.196,18.5,18.5,74.5
2022-01-23,18.5,18.5,18.5,18.5,0.0
2022-01-24,18.5,18.5,18.5,18.5,0.0
2022-01-25,18.5,18.5,18.5,18.5,0.0
2022-01-26,18.5,18.5,18.5,18.5,0.0
2022-01-27,18.5,18.5,18.5,18.5,0.0
2022-01-28,18.5,18.5,18.5,18.5,0.0
2022-01-29,18.5,18.5,18.5,18.5,0.0
2022-01-30,18.5,18.5,18.5,18.5,0.0
2022-01-31,18.5,18.5,18.5,18.5,0.0
2022-02-01,18.5,18.5,18.5,18.5,0.0
2022-02-02,18.5,18.5,18.5,18.5,0.0
2022-02-03,18.5,18.5,18.5,18.5,0.0
2022-02-04,18.5,18.5,18.5,18.5,0.0
2022-02-05,18.5,18.5,18.5,18.5,0.0
2022-02-06,18.5,18.5,18.5,18.5,0.0
2022-02-07,18.5,18.5,18.5,18.5,0.0
2022-02-08,18.5,18.5,18.5,18.5,0.0
2022-02-09,18.5,18.5,18.5,18.5,0.0
2022-02-10,18.5,18.5,18.5,18.5,0.0
2022-02-11,18.5,18.5,18.5,18.5,0.0
2022-02-12,18.5,18.5,18.5,18.5,0.0
2022-02-13,18.5,18.5,18.5,18.5,0.0
2022-02-14,18.5,18.5,18.5,18.5,0.0
2022-02-15,18.5,18.5,18.5,18.5,0.0
2022-02-16,18.5,18.5,18.5,18.5,0.0
2022-02-17,18.5,18.5,18.5,18.5,0.0
