Date,open,high,low,close,volume
2022-01-01,8.098,8.719,7.83,8.53,329227.2
2022-01-02,8.505,8.89,8.237,8.787,224530.5
2022-01-03,8.72,8.731,8.126,8.356,287748.0
2022-01-04,8.356,8.698,8.03,8.299,183378.8
2022-01-05,8.272,9.188,7.42,7.824,232924.5
2022-01-06,7.82,7.975,7.289,7.593,195300.0
2022-01-07,7.759,7.779,6.776,7.106,213150.1
2022-01-08,7.135,7.349,6.445,6.683,285324.1
2022-01-09,6.775,7.003,6.576,6.785,315743.6
2022-01-10,6.396,7.141,5.968,6.404,305409.7
2022-01-11,6.454,7.206,6.37,7.08,279435.7
2022-01-12,7.14,7.894,7.048,7.691,402358.5
2022-01-13,7.719,8.315,7.523,7.658,253688.1
2022-01-14,7.657,8.034,7.491,7.755,297618.9
2022-01-15,7.671,8.129,7.399,7.948,348498.7
2022-01-16,7.905,8.13,7.564,7.714,314658.7
2022-01-17,7.66,7.744,7.261,7.261,49839.3
2022-01-18,7.261,7.261,7.261,7.261,0.0
2022-01-19,7.261,7.261,7.261,7.261,0.0
2022-01-20,7.261,7.261,7.261,7.261,0.0
2022-01-21,8.13,8.13,8.13,8.13,0.9
2022-01-22,8.13,8.13,8.13,8.13,0.0
2022-01-23,8.13,8.13,8.13,8.13,0.0
2022-01-24,6.403,6.403,6.403,6.403,151.9
2022-01-25,6.403,6.403,6.368,6.368,426.8
2022-01-26,6.368,6.368,6.368,6.368,0.0
2022-01-27,6.368,6.368,6.368,6.368,0.0
2022-01-28,6.368,6.368,6.368,6.368,0.0
2022-01-29,6.368,6.368,6.368,6.368,0.0
2022-01-30,6.368,6.368,6.368,6.368,0.0
2022-01-31,6.368,6.368,6.368,6.368,0.0
2022-02-01,6.368,6.368,6.368,6.368,0.0
2022-02-02,6.368,6.368,6.368,6.368,0.0
2022-02-03,6.368,6.368,6.368,6.368,0.0
2022-02-04,6.368,6.368,6.368,6.368,0.0
2022-02-05,6.368,6.368,6.368,6.368,0.0
2022-02-06,6.368,6.368,6.368,6.368,0.0
2022-02-07,6.368,6.368,6.368,6.368,0.0
2022-02-08,6.368,6.368,6.368,6.368,0.0
2022-02-09,6.368,6.368,6.368,6.368,0.0
2022-02-10,6.368,6.368,6.368,6.368,0.0
2022-02-11,6.368,6.368,6.368,6.368,0.0
2022-02-12,6.368,6.368,6.368,6.368,0.0
2022-02-13,6.368,6.368,6.368,6.368,0.0
2022-02-14,6.368,6.368,6.368,6.368,0.0
2022-02-15,6.368,6.368,6.368,6.368,0.0
2022-02-16,6.368,6.368,6.368,6.368,0.0
2022-02-17,6.368,6.368,6.368,6.368,0.0
