Date,open,high,low,close,volume
2022-01-01,238.42,245.31,232.78,245.31,7738.7
2022-01-02,244.91,261.61,236.87,239.19,7219.1
2022-01-03,240.84,244.26,235.98,241.44,7473.2
2022-01-04,237.96,245.42,229.79,235.65,8961.5
2022-01-05,235.61,250.74,198.79,213.22,7949.0
2022-01-06,213.0,229.99,200.01,212.24,10903.2
2022-01-07,210.84,210.94,193.64,196.11,9105.4
2022-01-08,180.38,202.31,180.38,189.69,10289.4
2022-01-09,190.5,203.37,180.38,198.22,10362.1
2022-01-10,197.62,200.87,185.77,190.91,10520.4
2022-01-11,191.99,211.62,188.98,204.83,11807.6
2022-01-12,204.97,220.13,204.33,215.55,14127.3
2022-01-13,213.28,220.25,192.41,199.6,10515.0
2022-01-14,199.6,204.19,191.16,200.14,12987.3
2022-01-15,198.59,207.0,190.5,200.08,11545.5
2022-01-16,200.79,205.26,192.77,194.99,7693.1
2022-01-17,195.25,196.45,183.04,187.72,13272.5
2022-01-18,187.1,201.39,172.1,179.48,13429.0
2022-01-19,175.16,182.18,170.51,174.3,8765.2
2022-01-20,172.3,189.82,171.73,183.43,7042.0
2022-01-21,173.6,173.6,135.68,138.65,19701.3
2022-01-22,138.65,142.8,124.93,124.93,7015.0
2022-01-23,126.46,139.15,124.88,124.88,165.8
2022-01-24,124.88,124.88,108.68,108.68,134.5
2022-01-25,152.9,152.9,152.9,152.9,6.6
2022-01-26,159.49,163.23,148.0,148.11,75.1
2022-01-27,145.0,145.0,141.28,141.52,18.0
2022-01-28,142.28,142.28,142.28,142.28,53.8
2022-01-29,142.28,142.28,142.28,142.28,0.0
2022-01-30,142.28,142.28,142.28,142.28,9.3
2022-01-31,142.28,142.28,142.28,142.28,3.5
2022-02-01,142.28,163.41,142.28,163.41,106.8
2022-02-02,163.41,163.41,163.41,163.41,0.0
2022-02-03,128.0,128.0,128.0,128.0,0.6
2022-02-04,126.0,126.0,126.0,126.0,8.8
2022-02-05,128.0,163.41,128.0,163.41,14.4
2022-02-06,163.41,170.19,163.41,170.19,40.8
2022-02-07,165.53,189.88,165.53,182.05,74.1
2022-02-08,182.96,182.96,171.52,171.52,45.5
2022-02-09,171.52,171.52,171.52,171.52,0.0
2022-02-10,201.39,201.6,192.6,192.6,5.3
2022-02-11,178.0,214.98,178.0,214.98,47.0
2022-02-12,190.85,198.68,186.74,195.34,46.7
2022-02-13,198.5,203.27,198.5,198.5,2.8
2022-02-14,203.27,203.27,202.79,203.27,19.9
2022-02-15,203.27,203.27,203.27,203.27,5.9
2022-02-16,203.27,203.27,185.04,189.92,6009.1
2022-02-17,189.94,194.83,186.95,190.03,5349.9
