Date,open,high,low,close,volume
2022-01-01,2.5758,2.6788,2.5681,2.5765,819986.0
2022-01-02,2.6979,2.8806,2.5612,2.7233,737777.0
2022-01-03,2.8675,2.955,2.5,2.7924,1013405.0
2022-01-04,2.7956,2.862,2.47,2.682,1238937.0
2022-01-05,2.685,2.7515,2.2648,2.4512,769383.0
2022-01-06,2.43,2.789,2.2514,2.5625,831541.0
2022-01-07,2.565,2.5905,2.2444,2.3764,881799.0
2022-01-08,2.3924,2.3954,2.1858,2.2528,427117.0
2022-01-09,2.3066,2.3648,2.235,2.2918,658807.0
2022-01-10,2.2938,2.3675,2.0795,2.1732,859376.0
2022-01-11,2.2809,2.3694,2.1388,2.3075,1261133.0
2022-01-12,2.31,2.5866,2.2055,2.5145,826328.0
2022-01-13,2.5204,2.5956,2.3336,2.3785,982065.0
2022-01-14,2.3718,2.4557,2.204,2.4015,994557.0
2022-01-15,2.4015,2.5969,2.3085,2.3085,218431.0
2022-01-16,2.5969,2.5972,2.203,2.5212,598074.0
2022-01-17,2.5074,2.543,2.2895,2.3298,858453.0
2022-01-18,2.2848,2.3384,2.1894,2.2712,492886.0
2022-01-19,2.2838,2.3956,2.202,2.258,883412.0
2022-01-20,2.202,2.3588,2.1965,2.1965,513054.0
2022-01-21,2.1965,2.1965,1.6802,1.7308,1325443.0
2022-01-22,1.7264,1.7596,1.47,1.47,285229.0
2022-01-23,1.656,1.656,1.656,1.656,300.0
2022-01-24,1.656,1.656,1.656,1.656,541.0
2022-01-25,1.656,1.656,1.656,1.656,0.0
2022-01-26,1.656,1.656,1.656,1.656,74.0
2022-01-27,1.656,1.656,1.656,1.656,266.0
2022-01-28,1.656,1.656,1.499,1.499,6430.0
2022-01-29,1.656,1.7656,1.656,1.7656,60660.0
2022-01-30,1.7568,1.7664,1.7565,1.7664,2600.0
2022-01-31,1.7664,1.7676,1.7664,1.7676,979.0
2022-02-01,1.7676,2.024,1.7676,2.024,7682.0
2022-02-02,2.024,2.024,2.024,2.024,0.0
2022-02-03,2.024,2.024,2.024,2.024,0.0
2022-02-04,1.7907,1.7907,1.7907,1.7907,277.0
2022-02-05,1.8941,2.025,1.8941,2.025,2637.0
2022-02-06,1.7908,1.7908,1.7908,1.7908,270.0
2022-02-07,1.7908,2.0067,1.7908,2.0067,2738.0
2022-02-08,2.0067,2.0067,1.7982,1.7982,14393.0
2022-02-09,2.0843,2.0843,2.0811,2.0811,47.0
2022-02-10,2.0707,2.0707,2.0707,2.0707,55.0
2022-02-11,2.0707,2.0707,2.0707,2.0707,0.0
2022-02-12,2.0707,2.0707,2.0707,2.0707,0.0
2022-02-13,1.8,1.8,1.8,1.8,570.0
2022-02-14,1.8,1.8042,1.8,1.8042,897.0
2022-02-15,1.8042,1.8042,1.8042,1.8042,1762.0
2022-02-16,1.8042,2.0118,1.8042,1.9518,1036041.0
2022-02-17,2.0058,2.0064,1.864,1.8884,237820.0
