Date,open,high,low,close,volume
2022-01-01,3.2,3.213,2.944,2.99,512429.3
2022-01-02,3.129,3.328,2.988,3.214,738921.0
2022-01-03,3.209,3.368,3.072,3.258,672710.3
2022-01-04,3.16,3.329,3.058,3.143,728135.3
2022-01-05,3.227,3.329,2.752,2.87,756366.8
2022-01-06,2.922,3.163,2.63,2.947,1347169.4
2022-01-07,2.947,3.058,2.558,2.922,752117.6
2022-01-08,2.873,3.027,2.607,2.714,982324.0
2022-01-09,2.725,2.97,2.6,2.831,1068135.9
2022-01-10,2.766,2.953,2.547,2.742,967447.7
2022-01-11,2.731,2.909,2.589,2.809,1061379.6
2022-01-12,2.793,3.0,2.627,2.918,886271.5
2022-01-13,2.915,3.002,2.721,2.726,1046322.6
2022-01-14,2.794,3.004,2.56,2.901,672122.0
2022-01-15,2.887,3.03,2.718,2.837,939673.5
2022-01-16,2.946,3.097,2.707,2.95,1334844.0
2022-01-17,2.929,3.1,2.707,2.863,964059.5
2022-01-18,2.863,3.003,2.659,2.776,546745.7
2022-01-19,2.872,2.924,2.615,2.681,937464.5
2022-01-20,2.785,2.986,2.568,2.697,1039146.1
2022-01-21,2.674,2.731,2.29,2.431,1154771.4
2022-01-22,2.395,2.487,2.0,2.0,460422.1
2022-01-23,2.475,2.489,2.173,2.173,26402.0
2022-01-24,2.181,2.489,2.001,2.086,8328.0
2022-01-25,2.188,2.355,2.183,2.195,92610.2
2022-01-26,2.195,2.517,2.195,2.195,26053.5
2022-01-27,2.245,2.245,2.195,2.195,21490.0
2022-01-28,2.195,2.225,2.195,2.195,23452.8
2022-01-29,2.195,2.551,2.195,2.365,35996.9
2022-01-30,2.349,2.349,2.318,2.336,13307.4
2022-01-31,2.32,2.35,2.24,2.32,65524.7
2022-02-01,2.341,2.341,2.129,2.337,97884.6
2022-02-02,2.339,2.632,2.296,2.309,62834.4
2022-02-03,2.285,2.296,2.228,2.292,116413.5
2022-02-04,2.294,2.465,2.283,2.465,57353.6
2022-02-05,2.465,2.513,2.283,2.488,46137.7
2022-02-06,2.488,2.736,2.283,2.488,101458.7
2022-02-07,2.488,2.8,2.488,2.688,82574.2
2022-02-08,2.68,2.738,2.551,2.63,33943.4
2022-02-09,2.649,2.681,2.633,2.68,6670.0
2022-02-10,2.658,2.717,2.583,2.583,23217.9
2022-02-11,2.52,2.565,2.387,2.387,1271.0
2022-02-12,2.411,2.417,2.343,2.406,10235.8
2022-02-13,2.421,2.422,2.378,2.378,3784.9
2022-02-14,2.372,2.388,2.334,2.336,74648.2
2022-02-15,2.366,2.525,2.33,2.524,102117.6
2022-02-16,2.52,2.65,2.374,2.593,583838.1
2022-02-17,2.504,2.625,2.251,2.519,312478.3
