Date,open,high,low,close,volume
2022-01-01,34.112,34.914,33.91,34.914,87097.52
2022-01-02,34.862,35.91,32.0,35.361,68303.92
2022-01-03,35.588,35.683,31.22,34.751,73656.25
2022-01-04,34.751,35.036,33.889,34.214,55454.08
2022-01-05,34.193,34.705,30.0,31.92,59448.91
2022-01-06,31.876,34.756,28.428,31.818,46980.34
2022-01-07,31.615,31.845,29.29,30.464,105880.6
2022-01-08,30.484,31.09,28.515,29.388,101419.07
2022-01-09,29.378,30.318,28.0,29.84,70979.68
2022-01-10,29.694,30.32,27.19,28.346,94770.18
2022-01-11,28.554,31.71,27.524,29.7,77593.39
2022-01-12,29.7,31.305,28.45,31.17,95779.79
2022-01-13,31.18,32.16,30.181,30.181,91020.29
2022-01-14,30.181,34.69,30.063,32.024,107363.01
2022-01-15,31.8,34.26,31.48,32.89,65875.83
2022-01-16,32.89,33.251,31.934,32.302,56441.75
2022-01-17,32.302,33.35,30.153,31.059,76521.38
2022-01-18,31.016,36.0,30.405,32.795,108041.2
2022-01-19,32.436,36.0,30.654,31.0,101312.86
2022-01-20,31.0,33.4,28.629,29.262,82597.13
2022-01-21,29.39,29.873,25.258,25.976,82131.39
2022-01-22,25.976,25.996,20.795,23.784,1409.79
2022-01-23,25.84,26.024,23.691,24.531,9268.39
2022-01-24,24.181,24.531,22.279,24.531,7343.23
2022-01-25,24.531,25.0,23.531,23.679,4470.34
2022-01-26,23.531,23.6,23.531,23.6,127.65
2022-01-27,23.6,25.0,23.2,23.2,5466.22
2022-01-28,23.2,23.2,23.2,23.2,10156.66
2022-01-29,23.2,27.0,23.2,25.308,2440.74
2022-01-30,27.905,27.905,25.19,25.19,2970.76
2022-01-31,25.19,25.555,25.139,25.466,1239.42
2022-02-01,25.466,28.55,25.466,28.55,672.99
2022-02-02,28.872,30.0,25.466,27.236,11500.84
2022-02-03,28.115,28.99,26.56,27.757,979.19
2022-02-04,27.85,29.494,27.772,29.494,4641.13
2022-02-05,29.421,29.599,28.73,28.73,353.08
2022-02-06,29.163,29.577,29.163,29.163,349.89
2022-02-07,31.0,31.0,31.0,31.0,7.4
2022-02-08,32.229,33.011,31.0,31.543,964.67
2022-02-09,31.543,31.543,31.543,31.543,29.2
2022-02-10,31.543,31.543,31.543,31.543,0.0
2022-02-11,35.201,36.28,31.543,35.287,2636.73
2022-02-12,35.287,35.287,31.513,31.513,3846.73
2022-02-13,31.513,31.513,31.513,31.513,375.89
2022-02-14,32.765,32.765,28.727,31.987,904.52
2022-02-15,30.781,32.964,30.781,32.964,417.1
2022-02-16,32.876,32.939,31.528,32.331,36331.73
2022-02-17,32.284,32.979,30.684,31.605,24278.24
