Date,open,high,low,close,volume
2022-01-01,3677.6,4123.08,3356.65,3767.49,110094.519
2022-01-02,3767.88,4130.0,3457.36,3829.87,137724.923
2022-01-03,3829.87,3850.78,3572.77,3761.53,126515.98
2022-01-04,3761.91,4226.84,3467.77,3790.7,154430.51
2022-01-05,3790.7,4171.47,3116.61,3534.99,231227.005
2022-01-06,3535.06,3861.84,2982.77,3407.51,292704.405
2022-01-07,3407.51,3552.2,2800.0,3200.58,338092.708
2022-01-08,3200.58,3440.59,2874.3,3080.07,314094.287
2022-01-09,3080.12,3440.59,3001.0,3150.98,259738.011
2022-01-10,3151.01,3440.59,2702.87,3085.53,319938.886
2022-01-11,3085.5,3440.59,2775.06,3236.95,249237.989
2022-01-12,3239.34,3679.98,2928.45,3370.88,245747.328
2022-01-13,3371.44,3552.2,2932.97,3244.04,217520.929
2022-01-14,3240.82,3623.99,2948.36,3307.5,222519.435
2022-01-15,3307.79,3667.44,2948.36,3327.0,178783.04
2022-01-16,3326.15,3667.44,2950.0,3346.84,180077.591
2022-01-17,3346.55,3552.2,2879.94,3209.39,231169.96
2022-01-18,3209.07,3440.59,2793.18,3160.12,245683.431
2022-01-19,3160.12,3437.0,2764.71,3082.51,260843.8
2022-01-20,3082.82,3442.0,2837.0,3004.45,226263.551
2022-01-21,3004.45,3332.48,2304.66,2570.17,402578.74
2022-01-22,2570.38,2850.0,2105.0,2412.8,544004.235
2022-01-23,2412.35,2775.0,2200.0,2540.22,361530.071
2022-01-24,2540.22,2751.55,1993.0,2440.74,505384.033
2022-01-25,2441.37,2665.09,2189.65,2456.59,391507.261
2022-01-26,2456.51,2900.0,2190.22,2461.11,397325.892
2022-01-27,2461.25,2751.55,2110.0,2425.5,397153.272
2022-01-28,2425.37,2771.55,2141.56,2545.54,394149.096
2022-01-29,2545.54,2850.0,2320.59,2598.36,274418.001
2022-01-30,2598.2,2850.0,2400.0,2603.02,252195.538
2022-01-31,2602.62,2950.0,2271.89,2686.14,310361.816
2022-02-01,2685.69,2940.0,2500.24,2788.44,305235.792
2022-02-02,2787.9,3057.79,2400.0,2681.44,311361.515
2022-02-03,2681.35,2900.0,2470.0,2692.62,308390.751
2022-02-04,2692.07,3227.77,2600.0,2994.37,307202.974
2022-02-05,2994.01,3332.48,2751.55,3014.0,253238.244
2022-02-06,3013.14,3100.0,2883.6,3054.91,188438.804
2022-02-07,3054.83,3200.0,2991.5,3138.97,251332.511
2022-02-08,3139.28,3485.71,2800.0,3115.04,281750.086
2022-02-09,3115.92,3350.0,2980.0,3243.19,248360.734
2022-02-10,3243.55,3549.08,3050.0,3071.95,298194.463
2022-02-11,3071.76,3250.0,2775.29,2927.7,330504.555
2022-02-12,2927.42,3227.77,2689.52,2917.33,274929.905
2022-02-13,2917.98,3150.0,2720.0,2871.08,220978.817
2022-02-14,2871.08,3188.47,2720.0,2929.3,272315.825
2022-02-15,2929.59,3450.0,2800.0,3183.68,240698.901
2022-02-16,3183.76,3440.59,3028.4,3122.44,245052.202
2022-02-17,3122.85,3350.0,3020.0,3070.93,98273.38
