Date,open,high,low,close,volume
2022-01-01,34.505,35.809,34.255,35.14,74221.5
2022-01-02,35.909,38.621,34.278,38.621,53632.0
2022-01-03,38.235,38.235,34.442,35.116,86944.5
2022-01-04,35.136,38.169,34.365,36.07,55538.8
2022-01-05,36.07,38.215,31.121,33.204,55971.1
2022-01-06,33.204,33.506,32.142,33.096,74666.7
2022-01-07,33.044,33.068,30.0,31.512,69998.8
2022-01-08,31.568,31.872,28.562,29.382,64134.9
2022-01-09,29.501,30.906,29.246,30.233,50128.0
2022-01-10,30.108,30.576,26.481,28.215,72123.8
2022-01-11,28.12,29.42,26.455,29.078,72197.5
2022-01-12,28.914,32.008,28.432,30.862,71720.0
2022-01-13,30.675,31.35,28.415,28.526,57781.2
2022-01-14,28.384,29.781,28.182,29.694,84644.6
2022-01-15,29.694,30.596,28.018,30.336,84834.9
2022-01-16,29.724,31.51,27.66,30.428,73635.5
2022-01-17,30.428,30.602,28.572,29.058,71556.1
2022-01-18,29.162,29.403,27.612,28.528,76336.1
2022-01-19,28.528,28.666,27.21,27.665,94427.5
2022-01-20,27.557,28.712,26.05,26.05,91379.4
2022-01-21,26.22,26.606,21.364,22.012,86387.4
2022-01-22,21.902,22.022,21.228,21.23,567.0
2022-01-23,21.23,21.23,21.228,21.23,105.4
2022-01-24,21.228,21.228,21.112,21.112,133.4
2022-01-25,21.112,21.112,18.108,18.108,140.0
2022-01-26,18.108,18.108,18.108,18.108,0.0
2022-01-27,18.108,21.23,18.108,21.23,782.2
2022-01-28,21.23,21.23,21.23,21.23,41.1
2022-01-29,21.23,21.23,21.23,21.23,50.1
2022-01-30,21.124,21.23,20.48,20.48,299.5
2022-01-31,20.48,21.23,20.48,21.23,205.4
2022-02-01,21.23,21.23,20.48,20.48,467.7
2022-02-02,21.23,21.23,20.48,21.116,2101.6
2022-02-03,20.193,21.23,20.193,20.193,4875.1
2022-02-04,21.23,21.23,20.193,20.193,143.4
2022-02-05,21.23,21.23,20.193,21.23,787.8
2022-02-06,20.193,21.23,20.193,21.23,739.7
2022-02-07,21.23,23.279,21.23,21.55,357.8
2022-02-08,21.611,27.01,21.55,21.55,107.6
2022-02-09,21.55,24.533,21.55,24.365,95.0
2022-02-10,24.489,24.489,24.487,24.487,32.4
2022-02-11,24.487,24.487,20.193,20.193,94.8
2022-02-12,20.193,20.193,20.193,20.193,0.0
2022-02-13,20.37,20.938,20.193,20.193,5608.0
2022-02-14,18.5,20.423,18.5,20.423,72.3
2022-02-15,20.158,20.158,20.158,20.158,16.6
2022-02-16,20.158,23.519,20.158,23.01,53463.7
2022-02-17,23.13,23.46,22.708,22.754,25839.7
