Date,open,high,low,close,volume
2022-01-01,0.3575,0.3807,0.3442,0.3807,5435471.0
2022-01-02,0.3747,0.3833,0.3615,0.3781,7618650.0
2022-01-03,0.3801,0.3997,0.3735,0.3988,5453662.0
2022-01-04,0.388,0.4121,0.3696,0.3974,6111931.0
2022-01-05,0.3956,0.4132,0.3429,0.3601,3323209.0
2022-01-06,0.3581,0.3793,0.3358,0.3474,8385918.0
2022-01-07,0.3496,0.3605,0.3207,0.3207,3507195.0
2022-01-08,0.3201,0.3427,0.3003,0.3091,4943928.0
2022-01-09,0.3091,0.3282,0.3002,0.321,6012861.0
2022-01-10,0.3239,0.334,0.3076,0.3209,4438112.0
2022-01-11,0.3162,0.3408,0.3088,0.3394,5989445.0
2022-01-12,0.3382,0.3537,0.3085,0.3434,5841945.0
2022-01-13,0.3547,0.3618,0.3313,0.3399,5326896.0
2022-01-14,0.3322,0.3485,0.326,0.3463,4213300.0
2022-01-15,0.359,0.3627,0.3258,0.3446,4004510.0
2022-01-16,0.3446,0.3553,0.3248,0.333,4784228.0
2022-01-17,0.3553,0.3627,0.3076,0.3129,6653598.0
2022-01-18,0.3151,0.3309,0.3043,0.3271,3254044.0
2022-01-19,0.3249,0.3367,0.3001,0.3001,8605184.0
2022-01-20,0.302,0.3253,0.296,0.296,7957612.0
2022-01-21,0.296,0.2988,0.2496,0.2575,7308432.0
2022-01-22,0.2575,0.2632,0.2446,0.247,1931606.0
2022-01-23,0.247,0.247,0.247,0.247,0.0
2022-01-24,0.247,0.247,0.247,0.247,0.0
2022-01-25,0.247,0.247,0.2459,0.2459,4048.0
2022-01-26,0.2459,0.2459,0.2459,0.2459,0.0
2022-01-27,0.2459,0.2459,0.2459,0.2459,0.0
2022-01-28,0.2589,0.2589,0.2589,0.2589,4091.0
2022-01-29,0.2459,0.2459,0.2459,0.2459,43.0
2022-01-30,0.2459,0.2459,0.2459,0.2459,0.0
2022-01-31,0.2459,0.2459,0.2459,0.2459,0.0
2022-02-01,0.2589,0.2632,0.2459,0.2459,16990.0
2022-02-02,0.2632,0.2639,0.2459,0.2459,29306.0
2022-02-03,0.2459,0.2459,0.2459,0.2459,12680.0
2022-02-04,0.2639,0.2648,0.2639,0.2648,12680.0
2022-02-05,0.2459,0.2648,0.2459,0.2648,6490.0
2022-02-06,0.2648,0.2648,0.2648,0.2648,0.0
2022-02-07,0.276,0.276,0.276,0.276,786.0
2022-02-08,0.276,0.276,0.276,0.276,2403.0
2022-02-09,0.276,0.276,0.276,0.276,12755.0
2022-02-10,0.276,0.276,0.276,0.276,12481.0
2022-02-11,0.276,0.288,0.276,0.288,22629.0
2022-02-12,0.288,0.288,0.288,0.288,0.0
2022-02-13,0.288,0.288,0.288,0.288,0.0
2022-02-14,0.288,0.288,0.288,0.288,0.0
2022-02-15,0.288,0.288,0.288,0.288,0.0
2022-02-16,0.272,0.2787,0.2503,0.2732,5714689.0
2022-02-17,0.2717,0.2787,0.2508,0.2626,2100206.0
