Date,open,high,low,close,volume
2022-01-01,2.2568,2.5924,2.2485,2.5919,1101480.0
2022-01-02,2.5866,2.6046,2.2922,2.4821,833256.0
2022-01-03,2.513,2.87,2.3662,2.8581,840237.0
2022-01-04,2.87,3.2,2.8014,2.8708,519092.0
2022-01-05,2.8781,3.1607,2.558,2.951,789826.0
2022-01-06,2.9359,3.1656,2.6406,2.6423,781488.0
2022-01-07,2.8964,2.8976,2.6134,2.6299,775533.0
2022-01-08,2.6134,2.89,2.1666,2.3511,601337.0
2022-01-09,2.3511,2.5255,2.233,2.4077,488245.0
2022-01-10,2.25,2.4713,2.07,2.2378,1195180.0
2022-01-11,2.2318,2.607,2.1781,2.607,1040746.0
2022-01-12,2.5871,3.2066,2.5001,3.2066,652928.0
2022-01-13,2.9433,3.1526,2.7654,2.9782,742115.0
2022-01-14,2.9485,3.2009,2.7871,2.9632,610468.0
2022-01-15,2.9632,3.1814,2.81,3.0117,1154368.0
2022-01-16,2.9424,3.4006,2.76,3.2713,264811.0
2022-01-17,3.2713,3.3815,2.61,2.921,993927.0
2022-01-18,2.9157,3.06,2.7,2.959,802130.0
2022-01-19,2.8,3.0492,2.6,2.7767,1024202.0
2022-01-20,2.7767,3.285,2.6,2.6575,300092.0
2022-01-21,2.6778,2.7281,2.144,2.2895,727098.0
2022-01-22,2.266,2.4907,1.8605,2.08,389119.0
2022-01-23,1.9263,2.3698,1.9263,2.0735,16695.0
2022-01-24,2.2285,2.3,1.8714,2.3,16194.0
2022-01-25,2.3115,2.458,2.2092,2.3626,32023.0
2022-01-26,2.5804,2.5804,2.2092,2.26,22767.0
2022-01-27,2.26,2.35,2.0655,2.12,31228.0
2022-01-28,2.1,2.12,1.9753,2.058,29399.0
2022-01-29,2.058,2.28,2.0551,2.189,22893.0
2022-01-30,2.0535,2.1907,2.014,2.014,10813.0
2022-01-31,2.01,2.0694,1.8,1.9806,25945.0
2022-02-01,1.9806,2.108,1.9806,2.108,14678.0
2022-02-02,2.108,2.108,1.9241,1.9241,4674.0
2022-02-03,1.8809,2.098,1.8701,1.8701,8351.0
2022-02-04,1.9325,2.1543,1.9185,2.1133,4025.0
2022-02-05,2.0636,2.1713,2.05,2.1385,9487.0
2022-02-06,2.1385,2.32,2.05,2.32,19364.0
2022-02-07,2.1337,2.5,2.05,2.3352,21757.0
2022-02-08,2.3572,2.3572,2.1968,2.1968,4176.0
2022-02-09,2.1968,2.5,2.1139,2.2607,4335.0
2022-02-10,2.2607,2.2607,2.114,2.1954,2493.0
2022-02-11,2.2085,2.24,1.92,1.997,8364.0
2022-02-12,1.997,2.0974,1.8609,1.8661,2707.0
2022-02-13,1.9184,1.966,1.9184,1.966,809.0
2022-02-14,1.8519,1.96,1.8321,1.8321,5446.0
2022-02-15,1.8321,2.03,1.8321,2.0125,2895.0
2022-02-16,2.0697,2.1229,1.9881,2.0623,829503.0
2022-02-17,2.0875,2.0999,2.01,2.0484,261313.0
