Date,open,high,low,close,volume
2022-01-01,0.45002,0.46584,0.44059,0.46234,5459094.0
2022-01-02,0.46049,0.46122,0.45117,0.45738,5131499.0
2022-01-03,0.45579,0.45852,0.43216,0.44149,4877503.0
2022-01-04,0.43854,0.44411,0.42023,0.42919,3346744.0
2022-01-05,0.42392,0.43829,0.38,0.38,4455400.0
2022-01-06,0.38,0.4,0.35678,0.38103,3983961.0
2022-01-07,0.38264,0.38264,0.33828,0.34442,5700717.0
2022-01-08,0.33875,0.35357,0.30768,0.31362,5445966.0
2022-01-09,0.31438,0.34404,0.3105,0.32696,5952000.0
2022-01-10,0.32702,0.32841,0.28999,0.30637,7655900.0
2022-01-11,0.30645,0.32527,0.297,0.32029,7898854.0
2022-01-12,0.31846,0.36538,0.31846,0.35901,4021343.0
2022-01-13,0.35767,0.37,0.3248,0.32547,4637704.0
2022-01-14,0.32641,0.33381,0.31724,0.32492,6110881.0
2022-01-15,0.31964,0.35014,0.31805,0.33548,8987495.0
2022-01-16,0.33525,0.33825,0.32253,0.32816,4127009.0
2022-01-17,0.32825,0.32895,0.30028,0.30874,6954899.0
2022-01-18,0.30381,0.31297,0.29077,0.29114,4823555.0
2022-01-19,0.29114,0.30144,0.27719,0.27773,2548771.0
2022-01-20,0.27757,0.29426,0.27236,0.27822,4726388.0
2022-01-21,0.26143,0.26505,0.20288,0.21595,12563308.0
2022-01-22,0.21508,0.22157,0.17643,0.17643,2627012.0
2022-01-23,0.19172,0.19172,0.18331,0.18331,73070.0
2022-01-24,0.19655,0.19655,0.17004,0.182,23988.0
2022-01-25,0.182,0.1847,0.182,0.1847,38375.0
2022-01-26,0.1847,0.221,0.1847,0.216,30401.0
2022-01-27,0.216,0.216,0.216,0.216,42233.0
2022-01-28,0.216,0.216,0.191,0.191,65500.0
2022-01-29,0.191,0.191,0.191,0.191,0.0
2022-01-30,0.19669,0.19669,0.191,0.191,9741.0
2022-01-31,0.182,0.183,0.182,0.183,83819.0
2022-02-01,0.19746,0.20525,0.19746,0.20525,59343.0
2022-02-02,0.1992,0.20118,0.183,0.183,13694.0
2022-02-03,0.183,0.1835,0.183,0.183,39625.0
2022-02-04,0.19746,0.19746,0.19746,0.19746,15292.0
2022-02-05,0.26265,0.278,0.25274,0.278,99258.0
2022-02-06,0.29084,0.33264,0.29084,0.33238,81812.0
2022-02-07,0.31438,0.357,0.30541,0.357,139293.0
2022-02-08,0.35281,0.35281,0.31312,0.3407,24759.0
2022-02-09,0.3818,0.3818,0.34072,0.34072,12549.0
2022-02-10,0.369,0.369,0.34072,0.3458,18412.0
2022-02-11,0.34142,0.34142,0.30541,0.30541,6173.0
2022-02-12,0.30541,0.32,0.29841,0.32,443064.0
2022-02-13,0.32,0.32,0.27823,0.27823,120637.0
2022-02-14,0.27823,0.27823,0.27823,0.27823,23361.0
2022-02-15,0.28723,0.36071,0.28723,0.34146,52452.0
2022-02-16,0.34146,0.34587,0.3262,0.33053,92029.0
2022-02-17,0.33053,0.33053,0.33053,0.33053,43921.0
