Date,open,high,low,close,volume
2022-01-01,12.318,14.099,11.632,13.625,136109.2
2022-01-02,14.174,15.169,13.975,14.779,167857.9
2022-01-03,14.797,15.195,13.449,13.809,107898.4
2022-01-04,13.809,15.87,13.285,15.87,35177.4
2022-01-05,14.885,15.474,12.604,13.36,69171.5
2022-01-06,13.36,13.511,11.631,13.028,64227.6
2022-01-07,13.019,13.336,11.539,11.986,111337.9
2022-01-08,11.525,12.374,10.443,10.535,85858.5
2022-01-09,10.532,11.669,10.166,11.283,251687.3
2022-01-10,11.283,11.746,10.192,10.662,262734.3
2022-01-11,11.229,11.265,10.484,11.054,225893.7
2022-01-12,11.219,12.109,11.218,11.925,206721.1
2022-01-13,11.965,12.259,11.068,11.084,218285.7
2022-01-14,10.998,11.176,10.529,10.898,181771.6
2022-01-15,10.898,12.295,10.528,11.168,157531.7
2022-01-16,11.168,11.451,10.805,11.368,180398.4
2022-01-17,11.368,11.517,10.803,11.103,13807.1
2022-01-18,11.103,11.103,11.103,11.103,0.0
2022-01-19,11.103,11.103,11.103,11.103,0.0
2022-01-20,11.103,11.103,11.103,11.103,0.0
2022-01-21,10.803,10.803,10.797,10.797,330.4
2022-01-22,10.797,10.797,8.962,8.962,1171.9
2022-01-23,8.962,8.962,8.962,8.962,0.0
2022-01-24,8.962,8.962,8.962,8.962,0.0
2022-01-25,8.962,8.962,8.962,8.962,0.0
2022-01-26,8.962,8.962,8.962,8.962,0.0
2022-01-27,8.962,8.962,8.962,8.962,0.0
2022-01-28,8.962,8.962,8.962,8.962,0.0
2022-01-29,8.962,8.962,8.962,8.962,0.0
2022-01-30,8.962,8.962,8.962,8.962,0.0
2022-01-31,8.962,8.962,8.962,8.962,0.0
2022-02-01,8.962,8.962,8.962,8.962,0.0
2022-02-02,8.962,8.962,8.962,8.962,0.0
2022-02-03,8.961,8.961,8.918,8.918,1570.5
2022-02-04,8.918,8.918,8.918,8.918,0.0
2022-02-05,8.918,8.918,8.918,8.918,0.0
2022-02-06,8.918,8.918,8.918,8.918,0.0
2022-02-07,8.918,8.918,8.918,8.918,0.0
2022-02-08,8.918,8.918,8.918,8.918,0.0
2022-02-09,8.918,8.918,8.918,8.918,0.0
2022-02-10,8.918,8.918,8.918,8.918,0.0
2022-02-11,8.918,8.918,8.918,8.918,0.0
2022-02-12,8.918,8.918,8.918,8.918,0.0
2022-02-13,8.918,8.918,8.918,8.918,0.0
2022-02-14,8.918,8.918,8.918,8.918,0.0
2022-02-15,8.918,8.918,8.918,8.918,0.0
2022-02-16,8.918,8.918,8.918,8.918,0.0
2022-02-17,8.918,8.918,8.918,8.918,0.0
