Date,open,high,low,close,volume
2022-01-01,38.908,40.394,38.476,39.644,49612.0
2022-01-02,39.902,42.346,38.518,40.915,38267.0
2022-01-03,41.068,42.89,38.242,41.782,37682.0
2022-01-04,40.228,43.459,38.212,42.05,41403.0
2022-01-05,41.446,44.992,37.262,38.93,57231.0
2022-01-06,38.68,40.918,36.576,40.805,63001.0
2022-01-07,37.835,40.946,36.104,36.104,45600.0
2022-01-08,36.104,36.392,32.13,32.145,22916.0
2022-01-09,32.128,33.008,31.74,33.008,44964.0
2022-01-10,33.136,35.0,30.474,30.474,52248.0
2022-01-11,31.084,33.149,30.418,32.58,72933.0
2022-01-12,33.024,35.924,31.03,35.554,90280.0
2022-01-13,36.016,36.102,32.226,32.276,83562.0
2022-01-14,32.362,33.356,31.111,33.214,70798.0
2022-01-15,31.115,35.945,31.076,33.724,57267.0
2022-01-16,33.812,35.129,33.296,34.014,62399.0
2022-01-17,33.575,33.624,31.37,32.94,89627.0
2022-01-18,32.856,34.014,29.702,30.687,65794.0
2022-01-19,30.806,31.46,28.401,28.765,49883.0
2022-01-20,28.401,31.46,28.395,31.41,35480.0
2022-01-21,28.424,31.41,23.897,24.227,77334.0
2022-01-22,23.913,25.437,22.6,22.6,805.0
2022-01-23,22.6,23.386,22.6,23.386,208.0
2022-01-24,23.269,23.385,21.059,21.059,101.0
2022-01-25,21.059,21.059,21.059,21.059,11.0
2022-01-26,21.059,21.059,21.059,21.059,0.0
2022-01-27,21.059,21.059,21.059,21.059,0.0
2022-01-28,25.0,26.655,25.0,26.655,111.0
2022-01-29,26.522,26.655,26.522,26.522,383.0
2022-01-30,27.02,27.02,27.02,27.02,386.0
2022-01-31,27.02,27.02,27.02,27.02,0.0
2022-02-01,27.9,27.9,27.9,27.9,8.0
2022-02-02,27.9,27.9,27.02,27.02,344.0
2022-02-03,27.282,28.106,27.282,28.106,13.0
2022-02-04,27.02,29.155,23.616,29.155,103.0
2022-02-05,28.65,28.65,27.982,27.982,85.0
2022-02-06,29.965,29.965,29.965,29.965,8.0
2022-02-07,29.815,29.965,29.815,29.965,8.0
2022-02-08,30.115,30.115,30.115,30.115,22.0
2022-02-09,30.115,30.115,30.115,30.115,0.0
2022-02-10,30.26,30.26,30.21,30.21,44.0
2022-02-11,30.21,30.21,30.21,30.21,0.0
2022-02-12,30.21,30.21,30.21,30.21,0.0
2022-02-13,30.21,30.21,30.21,30.21,0.0
2022-02-14,27.251,27.251,23.616,23.616,61.0
2022-02-15,23.616,23.616,23.616,23.616,0.0
2022-02-16,26.992,28.491,25.984,28.321,63838.0
2022-02-17,28.294,28.635,26.5,26.5,18469.0
