Date,open,high,low,close,volume
2022-01-01,24.57,27.45,23.61,25.88,114917.94
2022-01-02,25.11,29.2,24.4,27.84,81864.42
2022-01-03,27.56,29.47,26.04,28.81,49364.02
2022-01-04,29.14,35.85,28.1,34.25,49215.97
2022-01-05,34.16,38.0,31.35,32.79,26957.63
2022-01-06,30.91,32.83,27.81,30.86,46150.89
2022-01-07,29.17,32.97,26.12,30.96,54664.84
2022-01-08,30.62,34.29,29.73,33.41,60569.92
2022-01-09,33.41,37.78,31.57,35.68,54268.43
2022-01-10,36.72,38.48,32.0,34.85,38356.8
2022-01-11,34.5,37.79,32.7,34.76,76639.61
2022-01-12,34.76,36.59,32.28,35.65,84994.1
2022-01-13,35.55,35.84,30.89,31.09,59699.45
2022-01-14,31.61,33.81,29.0,32.83,89255.13
2022-01-15,32.83,34.53,30.69,32.81,74617.58
2022-01-16,32.89,34.58,30.33,31.98,76265.04
2022-01-17,31.62,32.7,29.25,29.65,4545.61
2022-01-18,29.73,29.73,29.65,29.65,41.07
2022-01-19,29.65,29.65,24.32,24.32,278.4
2022-01-20,24.27,24.27,23.61,23.61,50.13
2022-01-21,23.61,23.61,23.61,23.61,0.0
2022-01-22,22.51,22.51,22.27,22.27,609.27
2022-01-23,22.27,22.27,22.27,22.27,0.0
2022-01-24,22.27,22.27,22.27,22.27,0.0
2022-01-25,22.27,22.27,22.27,22.27,0.0
2022-01-26,22.27,22.27,22.27,22.27,0.0
2022-01-27,22.27,22.27,22.27,22.27,0.0
2022-01-28,22.27,22.27,22.27,22.27,0.0
2022-01-29,22.27,22.27,22.27,22.27,0.0
2022-01-30,22.27,22.27,22.27,22.27,0.0
2022-01-31,22.27,22.27,22.27,22.27,0.0
2022-02-01,22.27,22.27,22.27,22.27,0.0
2022-02-02,22.27,22.27,22.27,22.27,0.0
2022-02-03,22.27,22.27,22.27,22.27,0.0
2022-02-04,22.27,22.27,22.27,22.27,0.0
2022-02-05,22.27,22.27,22.27,22.27,0.0
2022-02-06,22.27,22.27,22.27,22.27,0.0
2022-02-07,22.27,22.27,22.27,22.27,0.0
2022-02-08,22.27,22.27,22.27,22.27,0.0
2022-02-09,22.27,22.27,22.27,22.27,0.0
2022-02-10,22.27,22.27,22.27,22.27,0.0
2022-02-11,22.27,22.27,22.27,22.27,0.0
2022-02-12,22.27,22.27,22.27,22.27,0.0
2022-02-13,22.27,22.27,22.27,22.27,0.0
2022-02-14,22.27,22.27,22.27,22.27,0.0
2022-02-15,22.27,22.27,22.27,22.27,0.0
2022-02-16,22.27,22.27,22.27,22.27,0.0
2022-02-17,22.27,22.27,22.27,22.27,0.0
