Date,open,high,low,close,volume
2022-01-01,1.2314,1.2512,1.2156,1.2485,1117577.0
2022-01-02,1.2545,1.2688,1.2133,1.2636,1997371.0
2022-01-03,1.2714,1.2819,1.2096,1.2298,2013619.0
2022-01-04,1.2124,1.23,1.1818,1.1976,1493420.0
2022-01-05,1.2029,1.2573,1.0509,1.1044,1762345.0
2022-01-06,1.1044,1.1334,1.0554,1.121,1813842.0
2022-01-07,1.1023,1.1334,1.028,1.0426,2287603.0
2022-01-08,1.0444,1.082,0.9578,0.9938,1522799.0
2022-01-09,0.9828,1.0426,0.9695,1.0162,2336050.0
2022-01-10,1.007,1.0351,0.9047,0.9163,2113996.0
2022-01-11,0.946,0.9915,0.9298,0.9698,2537938.0
2022-01-12,0.9834,1.0496,0.9757,1.0359,995075.0
2022-01-13,1.0496,1.063,0.966,0.9958,1484601.0
2022-01-14,0.997,1.0936,0.9818,0.9818,1290668.0
2022-01-15,1.0364,1.063,1.0291,1.0532,1924926.0
2022-01-16,1.0517,1.0729,1.0292,1.0584,1157373.0
2022-01-17,1.0596,1.074,1.0288,1.0288,5958.0
2022-01-18,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-19,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-20,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-21,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-22,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-23,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-24,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-25,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-26,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-27,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-28,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-29,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-30,1.0288,1.0288,1.0288,1.0288,0.0
2022-01-31,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-01,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-02,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-03,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-04,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-05,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-06,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-07,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-08,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-09,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-10,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-11,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-12,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-13,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-14,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-15,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-16,1.0288,1.0288,1.0288,1.0288,0.0
2022-02-17,1.0288,1.0288,1.0288,1.0288,0.0
