Date,open,high,low,close,volume
2022-01-01,1.3637,1.4312,1.3395,1.4159,1391348.8
2022-01-02,1.5053,1.5067,1.3595,1.3769,1402332.7
2022-01-03,1.3728,1.4089,1.3439,1.391,1821545.7
2022-01-04,1.3917,1.3982,1.2794,1.2794,1403112.5
2022-01-05,1.2807,1.3729,1.1,1.179,1642376.4
2022-01-06,1.1671,1.2728,1.127,1.1915,2092817.0
2022-01-07,1.1819,1.2009,1.01,1.1172,1753287.3
2022-01-08,1.1186,1.1411,1.01,1.0728,2671068.3
2022-01-09,1.0729,1.1242,1.0282,1.0665,2843012.6
2022-01-10,1.0643,1.1262,0.992,1.1262,1948386.9
2022-01-11,1.1147,1.1594,1.069,1.1289,1389528.1
2022-01-12,1.1449,1.1951,1.1308,1.1826,2590205.8
2022-01-13,1.1905,1.1992,1.1063,1.1089,1278538.8
2022-01-14,1.1117,1.1258,1.077,1.1253,2320121.8
2022-01-15,1.1251,1.1542,1.0673,1.1221,1343603.4
2022-01-16,1.1221,1.1664,1.1157,1.1408,1951910.2
2022-01-17,1.1408,1.1977,1.1122,1.1652,2718230.0
2022-01-18,1.1652,1.1954,0.98,1.0999,998271.1
2022-01-19,1.1067,1.1093,0.9446,1.0551,2500228.4
2022-01-20,1.0551,1.1175,0.98,1.0229,1469317.4
2022-01-21,1.0097,1.0229,0.9034,0.9078,2140116.7
2022-01-22,0.9034,0.9034,0.9034,0.9034,220.7
2022-01-23,0.9034,0.9034,0.9034,0.9034,0.0
2022-01-24,0.9034,0.9034,0.9005,0.9005,4442.5
2022-01-25,0.9005,0.9005,0.8991,0.8991,278.1
2022-01-26,0.8991,0.8991,0.8991,0.8991,0.0
2022-01-27,0.8991,0.8991,0.8991,0.8991,123.7
2022-01-28,0.8991,0.8991,0.8991,0.8991,13.3
2022-01-29,0.8991,0.8991,0.8991,0.8991,0.0
2022-01-30,0.8991,0.8991,0.8661,0.8661,6561.1
2022-01-31,0.8661,0.8661,0.8661,0.8661,0.0
2022-02-01,0.8661,0.8661,0.8661,0.8661,0.0
2022-02-02,0.8661,0.8661,0.8661,0.8661,0.0
2022-02-03,0.9694,1.0,0.832,1.0,13744.8
2022-02-04,1.0229,1.0246,1.01,1.01,3007.1
2022-02-05,1.0246,1.0514,0.94,0.94,8400.8
2022-02-06,0.94,0.94,0.94,0.94,0.0
2022-02-07,1.0514,1.0552,1.0514,1.0552,3180.5
2022-02-08,1.0552,1.0552,0.9547,0.9547,3658.2
2022-02-09,0.9547,0.9547,0.9547,0.9547,6659.1
2022-02-10,0.9547,0.9547,0.9547,0.9547,933.0
2022-02-11,0.9547,0.9547,0.9536,0.9536,10073.3
2022-02-12,0.9536,0.9536,0.9536,0.9536,0.0
2022-02-13,0.9536,0.9536,0.9536,0.9536,0.0
2022-02-14,0.9536,0.9536,0.9536,0.9536,0.0
2022-02-15,0.9536,0.9536,0.9536,0.9536,0.0
2022-02-16,0.9042,0.9173,0.8766,0.9094,1126745.8
2022-02-17,0.9094,0.9097,0.8833,0.8833,550386.1
