Date,open,high,low,close,volume
2022-01-01,0.12196,0.13084,0.12142,0.12831,19488705.0
2022-01-02,0.12639,0.12909,0.12423,0.12524,23005729.0
2022-01-03,0.12665,0.12966,0.11804,0.1231,11941424.0
2022-01-04,0.1231,0.1262,0.11982,0.12258,11986804.0
2022-01-05,0.12241,0.12628,0.10816,0.11106,13032161.0
2022-01-06,0.11088,0.11624,0.10445,0.11038,13200006.0
2022-01-07,0.11038,0.11101,0.10017,0.10347,18759714.0
2022-01-08,0.10308,0.10595,0.09997,0.10337,16907995.0
2022-01-09,0.10077,0.10601,0.09992,0.10328,18455674.0
2022-01-10,0.10328,0.10803,0.096,0.09889,21543661.0
2022-01-11,0.09874,0.10481,0.09785,0.10206,23369305.0
2022-01-12,0.10119,0.10836,0.09904,0.10539,24961498.0
2022-01-13,0.10682,0.11124,0.09988,0.1006,21143632.0
2022-01-14,0.09981,0.10269,0.09727,0.10112,9908546.0
2022-01-15,0.10003,0.118,0.09988,0.11568,16992125.0
2022-01-16,0.11557,0.11808,0.10792,0.11009,13503416.0
2022-01-17,0.11009,0.11772,0.10526,0.10714,13525537.0
2022-01-18,0.10746,0.11867,0.10509,0.11554,15202244.0
2022-01-19,0.11044,0.11944,0.10497,0.10719,19220920.0
2022-01-20,0.10719,0.1119,0.096,0.10001,22948406.0
2022-01-21,0.09998,0.10347,0.08179,0.08396,21934833.0
2022-01-22,0.08396,0.08497,0.07215,0.07215,12509382.0
2022-01-23,0.07491,0.07719,0.07204,0.07204,48410.0
2022-01-24,0.07204,0.07204,0.07204,0.07204,6940.0
2022-01-25,0.07204,0.07204,0.07193,0.07193,646.0
2022-01-26,0.07193,0.07193,0.07193,0.07193,0.0
2022-01-27,0.07193,0.07193,0.07193,0.07193,0.0
2022-01-28,0.07193,0.07193,0.07193,0.07193,0.0
2022-01-29,0.07863,0.07867,0.07863,0.07867,12583.0
2022-01-30,0.07867,0.07867,0.07867,0.07867,0.0
2022-01-31,0.07867,0.07867,0.07867,0.07867,0.0
2022-02-01,0.07867,0.07882,0.07867,0.07882,61168.0
2022-02-02,0.07882,0.07882,0.07193,0.07193,13571.0
2022-02-03,0.07193,0.07193,0.07168,0.07168,53344.0
2022-02-04,0.07168,0.07168,0.07168,0.07168,0.0
2022-02-05,0.07168,0.07168,0.07168,0.07168,0.0
2022-02-06,0.07168,0.07168,0.07168,0.07168,0.0
2022-02-07,0.08742,0.08742,0.08742,0.08742,16329.0
2022-02-08,0.08742,0.11055,0.08742,0.1,197793.0
2022-02-09,0.11397,0.11397,0.1037,0.10532,10076.0
2022-02-10,0.11397,0.11404,0.11397,0.11404,24624.0
2022-02-11,0.11404,0.11404,0.11404,0.11404,0.0
2022-02-12,0.11404,0.11404,0.11404,0.11404,0.0
2022-02-13,0.11404,0.11404,0.11404,0.11404,0.0
2022-02-14,0.0931,0.0931,0.0931,0.0931,5370.0
2022-02-15,0.0931,0.0931,0.0931,0.0931,0.0
2022-02-16,0.09675,0.10023,0.0912,0.09381,15779469.0
2022-02-17,0.09526,0.09539,0.09055,0.09236,8137806.0
