Date,open,high,low,close,volume
2022-01-01,4.1736,4.8,4.1275,4.4748,365537.3
2022-01-02,4.4748,4.5195,4.2606,4.2856,700654.6
2022-01-03,4.2856,4.5198,4.2524,4.5198,393237.5
2022-01-04,4.5198,5.057,4.2426,5.0032,542521.2
2022-01-05,5.0226,5.04,4.144,4.3765,430238.8
2022-01-06,4.3674,4.3674,4.0344,4.209,481941.2
2022-01-07,4.191,4.5226,3.794,4.4608,503503.8
2022-01-08,4.5276,4.8534,4.3144,4.6898,447100.0
2022-01-09,4.6948,4.9158,4.5504,4.5923,537693.5
2022-01-10,4.5838,4.933,4.023,4.2745,561676.7
2022-01-11,4.276,5.0,4.105,4.846,553751.5
2022-01-12,4.8508,5.2388,4.767,4.9633,507375.1
2022-01-13,4.9772,5.2475,4.6538,4.6754,408916.0
2022-01-14,4.6848,5.513,4.6483,5.4382,626482.1
2022-01-15,5.4698,5.5794,5.2634,5.2634,183753.3
2022-01-16,5.2947,5.588,5.2185,5.588,179006.6
2022-01-17,5.5876,5.8264,5.241,5.3291,289294.7
2022-01-18,5.5504,5.7585,4.9229,5.0222,336988.6
2022-01-19,5.0282,5.1945,4.4936,4.5051,306131.0
2022-01-20,4.4885,4.776,4.06,4.0899,571215.3
2022-01-21,4.08,4.579,3.5026,3.7773,402570.0
2022-01-22,3.5026,3.5026,3.495,3.495,449.3
2022-01-23,3.495,3.495,3.495,3.495,0.0
2022-01-24,3.495,3.495,3.495,3.495,0.0
2022-01-25,3.495,3.5125,3.495,3.495,180.1
2022-01-26,3.4948,3.4948,3.4948,3.4948,11.4
2022-01-27,3.4948,3.4948,3.4943,3.4943,572.2
2022-01-28,3.4943,3.4943,3.4943,3.4943,0.0
2022-01-29,3.4943,3.4943,3.4943,3.4943,0.0
2022-01-30,3.4943,3.4943,3.4943,3.4943,0.0
2022-01-31,3.4943,3.4943,3.4943,3.4943,0.0
2022-02-01,3.5118,3.5118,3.0,3.0,1644.3
2022-02-02,3.0,3.0,3.0,3.0,2258.3
2022-02-03,3.0,3.0,3.0,3.0,0.0
2022-02-04,3.0,3.0,3.0,3.0,0.0
2022-02-05,3.619,3.619,3.619,3.619,1299.8
2022-02-06,3.6371,3.6371,3.619,3.619,1481.2
2022-02-07,3.6009,3.6009,3.6009,3.6009,30.4
2022-02-08,3.6189,3.6189,3.6189,3.6189,172.3
2022-02-09,3.78,3.78,3.78,3.78,7.9
2022-02-10,3.7611,3.7611,3.7611,3.7611,9.2
2022-02-11,3.6237,3.6237,3.6237,3.6237,2590.9
2022-02-12,3.6237,3.6237,3.6237,3.6237,0.0
2022-02-13,3.6237,3.6237,3.6237,3.6237,2744.4
2022-02-14,3.6237,3.6237,3.6237,3.6237,3172.9
2022-02-15,3.6237,3.6237,3.6237,3.6237,1240.0
2022-02-16,3.5393,3.7317,3.535,3.6097,457448.3
2022-02-17,3.6185,3.723,3.5515,3.6535,286146.1
