Date,open,high,low,close,volume
2022-01-01,1.359,1.426,1.223,1.343,1332322.0
2022-01-02,1.404,1.501,1.249,1.455,1951813.0
2022-01-03,1.455,1.526,1.319,1.346,1717093.0
2022-01-04,1.428,1.503,1.218,1.401,2044303.0
2022-01-05,1.408,1.466,1.248,1.284,1356700.0
2022-01-06,1.273,1.367,1.189,1.271,1499875.0
2022-01-07,1.341,1.633,1.184,1.542,1663025.0
2022-01-08,1.532,1.635,1.373,1.47,1064402.0
2022-01-09,1.489,1.612,1.35,1.483,1772080.0
2022-01-10,1.391,1.481,1.232,1.303,1342355.0
2022-01-11,1.308,1.469,1.221,1.273,1072418.0
2022-01-12,1.384,1.532,1.263,1.367,992102.0
2022-01-13,1.371,1.506,1.291,1.428,1028810.0
2022-01-14,1.353,1.475,1.307,1.393,1257437.0
2022-01-15,1.399,1.572,1.357,1.486,1229164.0
2022-01-16,1.506,1.607,1.374,1.477,942943.0
2022-01-17,1.501,1.683,1.401,1.546,1349837.0
2022-01-18,1.638,1.696,1.428,1.551,1315792.0
2022-01-19,1.495,1.546,1.365,1.48,669889.0
2022-01-20,1.546,1.699,1.378,1.582,555098.0
2022-01-21,1.533,1.703,1.419,1.463,1330008.0
2022-01-22,1.463,1.613,1.338,1.473,332126.0
2022-01-23,1.489,1.496,1.489,1.496,739.0
2022-01-24,1.221,1.496,1.195,1.496,1529.0
2022-01-25,1.496,1.723,1.496,1.723,14992.0
2022-01-26,1.66,1.743,1.66,1.743,3022.0
2022-01-27,1.743,1.866,1.738,1.866,4585.0
2022-01-28,1.866,1.9,1.866,1.866,1084.0
2022-01-29,1.866,1.866,1.8,1.8,5157.0
2022-01-30,1.8,1.8,1.8,1.8,156.0
2022-01-31,1.684,1.992,1.684,1.8,238.0
2022-02-01,1.8,1.8,1.8,1.8,0.0
2022-02-02,1.8,1.8,1.8,1.8,2104.0
2022-02-03,1.8,1.8,1.8,1.8,2146.0
2022-02-04,1.8,1.8,1.8,1.8,50.0
2022-02-05,1.8,1.8,1.8,1.8,0.0
2022-02-06,2.077,2.077,2.077,2.077,55.0
2022-02-07,2.077,2.077,2.077,2.077,1523.0
2022-02-08,2.077,2.077,2.077,2.077,0.0
2022-02-09,2.077,2.077,2.077,2.077,0.0
2022-02-10,2.077,2.077,2.077,2.077,0.0
2022-02-11,2.077,2.077,2.077,2.077,0.0
2022-02-12,2.077,2.077,2.077,2.077,0.0
2022-02-13,2.077,2.077,2.077,2.077,0.0
2022-02-14,2.077,2.077,2.077,2.077,0.0
2022-02-15,1.814,1.976,1.814,1.976,101.0
2022-02-16,2.17,2.34,2.056,2.249,904737.0
2022-02-17,2.3,2.361,2.186,2.221,136591.0
