Date,open,high,low,close,volume
2022-01-01,278.1,288.56,275.28,287.7,6906.6
2022-01-02,288.66,298.98,282.99,295.28,6784.4
2022-01-03,292.28,303.26,282.3,288.86,6387.8
2022-01-04,289.38,309.66,282.5,295.64,6966.1
2022-01-05,295.56,310.24,255.94,267.8,9514.0
2022-01-06,267.4,272.58,259.35,272.58,9083.6
2022-01-07,272.58,274.18,230.2,250.58,6319.5
2022-01-08,251.52,258.53,230.2,239.7,6193.5
2022-01-09,242.16,252.47,231.62,247.18,4179.9
2022-01-10,247.18,252.56,225.3,242.08,10336.5
2022-01-11,238.54,261.18,238.3,261.18,11573.4
2022-01-12,258.2,279.36,250.69,275.04,8623.8
2022-01-13,272.57,298.0,265.62,266.53,10579.8
2022-01-14,265.53,289.68,263.83,280.18,5542.4
2022-01-15,282.46,290.25,279.54,290.25,8335.1
2022-01-16,290.36,307.2,274.1,278.24,8444.2
2022-01-17,275.16,290.0,255.98,259.68,9164.8
2022-01-18,256.54,271.14,248.41,252.72,9596.1
2022-01-19,253.06,254.25,241.34,243.85,9848.1
2022-01-20,243.82,271.69,239.2,240.34,6858.6
2022-01-21,238.4,243.32,210.62,212.55,7052.6
2022-01-22,213.68,217.81,210.1,210.1,2363.4
2022-01-23,210.1,211.0,210.0,211.0,10.2
2022-01-24,211.0,211.0,211.0,211.0,0.0
2022-01-25,211.0,211.0,211.0,211.0,0.0
2022-01-26,211.0,211.0,211.0,211.0,0.0
2022-01-27,211.0,211.0,211.0,211.0,0.0
2022-01-28,210.0,210.0,209.9,209.9,1.1
2022-01-29,209.9,209.9,209.9,209.9,0.0
2022-01-30,209.9,209.9,209.8,209.8,5.8
2022-01-31,209.8,209.8,209.8,209.8,0.0
2022-02-01,209.8,209.8,209.8,209.8,0.0
2022-02-02,209.8,209.8,209.8,209.8,0.0
2022-02-03,209.8,209.8,209.8,209.8,0.0
2022-02-04,209.8,209.8,209.7,209.7,2.8
2022-02-05,209.7,209.7,209.66,209.66,5.8
2022-02-06,209.66,209.66,209.66,209.66,2.8
2022-02-07,211.0,211.95,209.3,209.3,14.3
2022-02-08,216.72,216.72,201.0,201.0,9.3
2022-02-09,201.0,201.0,201.0,201.0,12.8
2022-02-10,201.0,201.0,201.0,201.0,1.1
2022-02-11,201.0,201.0,201.0,201.0,1.4
2022-02-12,201.0,201.0,201.0,201.0,0.0
2022-02-13,201.0,201.0,201.0,201.0,0.0
2022-02-14,201.0,201.0,201.0,201.0,0.0
2022-02-15,201.0,201.0,201.0,201.0,0.0
2022-02-16,201.0,201.0,167.44,167.44,9031.5
2022-02-17,173.45,173.71,167.09,167.98,259.8
