Date,open,high,low,close,volume
2022-01-01,0.04355,0.04827,0.0421,0.04827,45148370.0
2022-01-02,0.04825,0.05088,0.04517,0.04517,51452300.0
2022-01-03,0.04701,0.04976,0.04459,0.04853,35609460.0
2022-01-04,0.04939,0.05546,0.04585,0.04899,38155599.0
2022-01-05,0.04982,0.05108,0.04434,0.04434,34784984.0
2022-01-06,0.04434,0.04434,0.03998,0.04124,33803718.0
2022-01-07,0.04224,0.04292,0.03699,0.03773,62482036.0
2022-01-08,0.03763,0.03946,0.03454,0.03583,58396296.0
2022-01-09,0.03583,0.03966,0.03508,0.03534,53957746.0
2022-01-10,0.03544,0.03669,0.03168,0.033,72146150.0
2022-01-11,0.03385,0.03511,0.03295,0.03491,66454061.0
2022-01-12,0.03511,0.03789,0.03279,0.0365,80910035.0
2022-01-13,0.03728,0.03829,0.03468,0.03495,51117545.0
2022-01-14,0.03567,0.03829,0.03422,0.03608,68558090.0
2022-01-15,0.03666,0.03761,0.03379,0.03706,61169162.0
2022-01-16,0.03697,0.03763,0.03514,0.0366,64131171.0
2022-01-17,0.03642,0.03746,0.03379,0.03485,47003674.0
2022-01-18,0.03444,0.03546,0.03242,0.03397,44627191.0
2022-01-19,0.03397,0.03461,0.0313,0.03315,60937685.0
2022-01-20,0.03232,0.03429,0.03205,0.03292,43551900.0
2022-01-21,0.03213,0.03213,0.02505,0.0258,59290143.0
2022-01-22,0.02573,0.02609,0.02468,0.02481,19605742.0
2022-01-23,0.02481,0.02481,0.02428,0.02428,967351.0
2022-01-24,0.02428,0.02428,0.02423,0.02423,38109.0
2022-01-25,0.02423,0.02423,0.02423,0.02423,0.0
2022-01-26,0.02423,0.02423,0.02423,0.02423,0.0
2022-01-27,0.02423,0.02423,0.02423,0.02423,0.0
2022-01-28,0.02616,0.02616,0.02423,0.02423,8308.0
2022-01-29,0.02616,0.02672,0.02423,0.02423,67904.0
2022-01-30,0.02423,0.02423,0.02423,0.02423,0.0
2022-01-31,0.02423,0.02423,0.02423,0.02423,0.0
2022-02-01,0.02423,0.02423,0.02423,0.02423,0.0
2022-02-02,0.02423,0.02814,0.02366,0.02814,564582.0
2022-02-03,0.02143,0.02143,0.02133,0.02133,43109.0
2022-02-04,0.02322,0.02522,0.02322,0.02522,86000.0
2022-02-05,0.026,0.026,0.026,0.026,36616.0
2022-02-06,0.026,0.026,0.026,0.026,19790.0
2022-02-07,0.02836,0.02838,0.02836,0.02838,62484.0
2022-02-08,0.02838,0.02993,0.02838,0.02993,329737.0
2022-02-09,0.02869,0.02869,0.02869,0.02869,87762.0
2022-02-10,0.02869,0.02869,0.02869,0.02869,30305.0
2022-02-11,0.02869,0.02869,0.02869,0.02869,87511.0
2022-02-12,0.02869,0.02869,0.02869,0.02869,0.0
2022-02-13,0.02322,0.02322,0.02322,0.02322,109.0
2022-02-14,0.02322,0.02322,0.02322,0.02322,0.0
2022-02-15,0.02322,0.02322,0.02322,0.02322,0.0
2022-02-16,0.02674,0.02776,0.02499,0.0258,75584816.0
2022-02-17,0.02619,0.0278,0.02535,0.02591,22319508.0
