Date,open,high,low,close,volume
2022-01-01,19.776,20.782,19.463,20.782,78905.74
2022-01-02,20.782,22.12,19.55,21.806,123384.29
2022-01-03,21.946,23.485,21.1,23.428,69737.43
2022-01-04,23.806,24.45,22.37,23.54,116928.15
2022-01-05,23.515,27.459,22.381,25.172,103540.86
2022-01-06,25.46,26.09,23.314,25.364,125905.21
2022-01-07,25.364,27.676,22.0,26.034,233972.39
2022-01-08,25.756,27.395,23.875,25.292,95598.95
2022-01-09,25.292,30.0,25.234,27.558,154105.38
2022-01-10,27.322,29.26,25.071,28.042,114966.6
2022-01-11,27.992,29.51,24.64,26.64,103857.57
2022-01-12,26.638,28.32,25.04,26.761,122866.69
2022-01-13,26.778,27.0,24.36,24.786,91876.37
2022-01-14,24.786,25.71,23.86,25.02,87729.1
2022-01-15,25.738,27.859,25.134,25.148,87597.8
2022-01-16,25.15,27.614,23.649,25.538,120662.25
2022-01-17,25.538,25.863,22.452,23.752,127679.85
2022-01-18,23.752,24.385,22.24,22.296,79568.87
2022-01-19,22.9,22.95,20.0,21.5,41111.6
2022-01-20,21.506,24.328,20.094,20.228,143529.5
2022-01-21,20.033,20.572,18.221,18.8,136330.71
2022-01-22,18.8,18.8,13.51,16.043,33920.05
2022-01-23,16.043,16.2,15.6,15.6,1652.54
2022-01-24,15.3,15.376,13.5,13.5,1939.24
2022-01-25,13.5,13.5,13.5,13.5,0.0
2022-01-26,13.5,13.5,13.5,13.5,14.81
2022-01-27,15.54,15.57,13.5,13.5,696.93
2022-01-28,14.982,15.676,13.5,15.598,4507.56
2022-01-29,15.598,16.6,15.0,16.41,10935.95
2022-01-30,16.41,16.6,16.332,16.6,11484.59
2022-01-31,16.517,16.6,16.434,16.6,1528.57
2022-02-01,16.6,17.086,16.6,16.6,18639.93
2022-02-02,16.6,18.64,15.743,15.743,18098.02
2022-02-03,15.743,16.03,14.418,14.418,7373.04
2022-02-04,15.879,16.989,15.879,16.989,3051.13
2022-02-05,18.84,19.65,15.879,19.65,264.88
2022-02-06,19.65,19.68,15.879,15.88,1251.34
2022-02-07,17.57,18.75,17.57,18.75,1478.41
2022-02-08,18.152,18.152,18.152,18.152,785.11
2022-02-09,18.152,18.289,18.152,18.152,278.94
2022-02-10,18.152,18.298,17.96,17.96,387.2
2022-02-11,17.96,17.96,15.879,15.879,3510.05
2022-02-12,15.879,16.2,15.879,16.2,3962.29
2022-02-13,16.197,16.2,15.879,15.879,8414.12
2022-02-14,15.879,15.882,14.413,14.413,16288.32
2022-02-15,14.413,14.413,14.413,14.413,0.0
2022-02-16,17.064,17.44,16.44,17.27,106534.27
2022-02-17,17.27,17.27,16.426,16.583,19949.23
