Date,open,high,low,close,volume
2022-01-01,2.93,3.157,2.833,3.032,752197.3
2022-01-02,3.095,3.208,2.833,3.146,785984.4
2022-01-03,3.21,3.253,3.039,3.15,609020.4
2022-01-04,3.13,3.317,2.946,3.048,764559.7
2022-01-05,3.054,3.268,2.941,2.941,629987.7
2022-01-06,2.941,2.991,2.633,2.725,858808.5
2022-01-07,2.84,2.879,2.516,2.573,534327.7
2022-01-08,2.634,2.706,2.401,2.494,602752.3
2022-01-09,2.429,2.523,2.375,2.4,773816.2
2022-01-10,2.449,2.614,2.265,2.325,1152841.8
2022-01-11,2.325,2.425,2.228,2.328,816886.1
2022-01-12,2.425,2.724,2.328,2.659,749186.5
2022-01-13,2.61,2.759,2.439,2.546,982686.1
2022-01-14,2.546,2.765,2.479,2.609,887477.9
2022-01-15,2.537,2.704,2.47,2.654,743316.6
2022-01-16,2.704,2.797,2.462,2.716,872440.0
2022-01-17,2.647,2.743,2.365,2.522,772525.7
2022-01-18,2.438,2.536,2.329,2.39,723026.9
2022-01-19,2.41,2.499,2.272,2.285,866027.8
2022-01-20,2.296,2.519,2.204,2.252,646665.7
2022-01-21,2.199,2.307,1.873,1.951,1210498.1
2022-01-22,1.932,1.989,1.706,1.716,325398.3
2022-01-23,1.716,1.768,1.656,1.656,3185.3
2022-01-24,1.656,1.656,1.656,1.656,0.0
2022-01-25,1.656,1.656,1.656,1.656,0.0
2022-01-26,1.656,1.656,1.656,1.656,0.0
2022-01-27,1.656,1.656,1.655,1.655,215.2
2022-01-28,1.655,1.655,1.655,1.655,0.0
2022-01-29,1.655,1.655,1.655,1.655,0.0
2022-01-30,1.655,1.655,1.655,1.655,0.0
2022-01-31,1.655,1.655,1.655,1.655,0.0
2022-02-01,1.655,1.655,1.655,1.655,0.0
2022-02-02,1.655,1.655,1.655,1.655,0.0
2022-02-03,1.655,1.655,1.65,1.65,876.1
2022-02-04,1.65,1.65,1.65,1.65,0.0
2022-02-05,1.65,1.65,1.649,1.649,671.7
2022-02-06,1.649,1.649,1.649,1.649,0.0
2022-02-07,1.649,1.649,1.649,1.649,128.1
2022-02-08,1.989,1.989,1.648,1.648,473.8
2022-02-09,1.648,1.648,1.636,1.636,2129.5
2022-02-10,1.636,1.991,1.636,1.991,566.9
2022-02-11,1.636,2.007,1.636,2.007,1436.5
2022-02-12,2.007,2.007,2.007,2.007,0.0
2022-02-13,2.007,2.007,2.007,2.007,0.0
2022-02-14,2.007,2.007,2.007,2.007,0.0
2022-02-15,2.007,2.007,2.007,2.007,0.0
2022-02-16,1.695,1.777,1.523,1.724,1194234.7
2022-02-17,1.619,1.676,1.543,1.596,489021.4
