Date,open,high,low,close,volume
2022-01-01,2.08876,2.11938,2.03968,2.08816,1490140.0
2022-01-02,2.08862,2.11915,1.9485,2.09867,994720.0
2022-01-03,2.06796,2.11923,2.0248,2.04696,1020432.0
2022-01-04,2.04626,2.13286,2.00043,2.0545,1225681.0
2022-01-05,2.05384,2.1407,1.6471,1.80192,1257424.0
2022-01-06,1.8001,2.0646,1.68102,1.8416,863255.0
2022-01-07,1.75918,1.85635,1.654,1.66682,1411211.0
2022-01-08,1.66878,1.7322,1.47404,1.51956,984061.0
2022-01-09,1.56362,1.6277,1.5163,1.57246,1128316.0
2022-01-10,1.57112,1.69625,1.3815,1.4642,1664876.0
2022-01-11,1.465,1.601,1.3884,1.4857,2019085.0
2022-01-12,1.4607,1.69665,1.3825,1.69665,657090.0
2022-01-13,1.69665,1.7333,1.4965,1.4996,1128812.0
2022-01-14,1.4971,1.551,1.464,1.4698,1313545.0
2022-01-15,1.4837,1.555,1.299,1.419,1799521.0
2022-01-16,1.4215,1.4407,1.3007,1.3641,1222289.0
2022-01-17,1.3746,1.3782,1.175,1.2216,2528340.0
2022-01-18,1.233,1.2436,1.0879,1.1538,2378661.0
2022-01-19,1.175,1.31,1.0704,1.2,2171111.0
2022-01-20,1.2,1.2719,1.1586,1.1649,1131459.0
2022-01-21,1.1649,1.1649,0.942,0.9494,2610590.0
2022-01-22,0.942,0.942,0.7792,0.7792,12682.0
2022-01-23,0.7962,0.86,0.7792,0.86,89666.0
2022-01-24,0.7792,0.7831,0.7792,0.7792,18277.0
2022-01-25,0.7792,1.0531,0.7792,0.963,89537.0
2022-01-26,0.963,0.963,0.963,0.963,11098.0
2022-01-27,0.963,0.963,0.963,0.963,26714.0
2022-01-28,0.963,0.963,0.963,0.963,0.0
2022-01-29,0.963,0.963,0.963,0.963,0.0
2022-01-30,0.9582,1.0233,0.9582,1.0182,36089.0
2022-01-31,1.0182,1.0182,1.0182,1.0182,0.0
2022-02-01,1.0182,1.0182,1.0182,1.0182,0.0
2022-02-02,0.9411,0.9411,0.93,0.934,3237.0
2022-02-03,0.934,0.934,0.934,0.934,2140.0
2022-02-04,0.8731,0.8731,0.8731,0.8731,1070.0
2022-02-05,0.9377,0.9377,0.9377,0.9377,946.0
2022-02-06,0.933,0.933,0.933,0.933,90.0
2022-02-07,0.933,0.933,0.933,0.933,0.0
2022-02-08,0.9377,0.9377,0.9377,0.9377,547.0
2022-02-09,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-10,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-11,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-12,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-13,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-14,0.9377,0.9377,0.9377,0.9377,7998.0
2022-02-15,0.9377,0.9377,0.9377,0.9377,0.0
2022-02-16,0.9855,0.9933,0.922,0.9637,2168807.0
2022-02-17,0.9546,0.9858,0.9284,0.9284,578465.0
