Date,open,high,low,close,volume
2022-01-01,146.26,150.95,146.18,150.83,328743.486
2022-01-02,150.79,165.77,135.45,151.21,361438.468
2022-01-03,151.11,151.98,146.14,148.34,350469.973
2022-01-04,148.34,163.57,133.56,146.49,423327.73
2022-01-05,146.57,162.25,129.84,135.13,556613.294
2022-01-06,135.31,143.68,125.0,136.1,635851.782
2022-01-07,136.03,136.45,126.11,133.5,674823.807
2022-01-08,133.5,138.71,125.13,129.42,573762.462
2022-01-09,129.44,132.7,127.2,130.84,428578.366
2022-01-10,130.87,138.87,115.0,126.56,654333.958
2022-01-11,126.53,133.46,123.32,131.57,536984.341
2022-01-12,131.55,154.14,128.0,141.89,770022.319
2022-01-13,141.94,142.26,134.66,136.7,551560.379
2022-01-14,136.66,158.35,124.97,144.67,602151.879
2022-01-15,144.71,160.0,138.19,147.64,529950.328
2022-01-16,147.62,148.96,133.47,146.31,492548.81
2022-01-17,146.39,167.0,132.03,151.17,819123.756
2022-01-18,151.11,154.93,138.65,141.52,669970.614
2022-01-19,141.52,142.97,133.0,136.26,555243.646
2022-01-20,136.24,142.88,128.93,129.86,540407.05
2022-01-21,129.83,142.08,108.86,114.75,972390.092
2022-01-22,114.65,121.21,94.67,108.43,1574231.849
2022-01-23,108.43,114.2,96.65,112.31,871402.524
2022-01-24,112.32,114.2,97.66,109.6,1192897.4
2022-01-25,109.63,112.6,104.72,107.79,749568.345
2022-01-26,107.86,116.51,104.66,106.88,843221.911
2022-01-27,106.97,114.47,102.92,106.85,652277.331
2022-01-28,106.89,110.0,103.83,109.4,740449.841
2022-01-29,109.38,113.0,99.0,110.71,529300.29
2022-01-30,110.68,112.27,100.22,108.59,461633.034
2022-01-31,108.52,111.26,104.26,109.46,620728.942
2022-02-01,109.49,120.01,108.22,115.07,649093.762
2022-02-02,115.06,120.0,100.0,108.31,668142.631
2022-02-03,108.32,110.99,100.0,110.87,629718.143
2022-02-04,110.85,121.4,108.72,121.4,632878.185
2022-02-05,121.36,127.0,114.43,121.72,519779.284
2022-02-06,121.74,128.2,120.65,127.65,535309.685
2022-02-07,127.58,145.97,125.06,137.22,631727.824
2022-02-08,137.19,145.4,125.0,133.51,722945.602
2022-02-09,133.45,141.55,130.0,140.04,594196.246
2022-02-10,140.03,144.13,134.03,134.53,670834.259
2022-02-11,134.5,134.93,120.0,125.74,746530.091
2022-02-12,125.62,135.0,120.12,126.69,655208.939
2022-02-13,126.7,128.85,120.8,125.65,476094.729
2022-02-14,125.63,130.49,116.0,124.56,636288.302
2022-02-15,124.61,134.06,123.96,131.68,552173.747
2022-02-16,131.66,131.74,124.79,127.65,557917.462
2022-02-17,127.73,129.02,124.15,125.09,222208.817
