Date,open,high,low,close,volume
2022-01-01,87.066,91.505,83.758,91.505,29712.0
2022-01-02,91.695,94.987,87.865,89.106,19569.0
2022-01-03,89.73,103.0,88.105,88.873,24439.0
2022-01-04,88.838,91.0,84.0,85.216,16559.0
2022-01-05,82.871,87.088,73.154,74.667,11065.0
2022-01-06,76.864,86.095,73.668,78.372,26232.0
2022-01-07,78.372,78.69,67.415,68.7,29616.0
2022-01-08,68.7,70.808,61.939,64.665,9154.0
2022-01-09,65.8,75.655,65.0,74.492,23932.0
2022-01-10,73.758,75.7,64.935,69.65,23098.0
2022-01-11,69.556,77.3,68.317,73.335,28710.0
2022-01-12,73.418,82.991,70.81,82.004,34514.0
2022-01-13,82.004,86.95,77.357,78.272,24061.0
2022-01-14,77.898,82.968,71.01,81.31,26034.0
2022-01-15,81.628,94.191,80.31,87.401,28858.0
2022-01-16,87.275,93.0,83.33,87.108,25830.0
2022-01-17,86.788,87.262,72.01,77.569,32260.0
2022-01-18,77.569,87.0,73.171,80.77,40762.0
2022-01-19,80.382,87.0,75.868,80.7,14355.0
2022-01-20,81.622,88.759,74.13,77.534,32302.0
2022-01-21,77.534,80.772,61.79,64.816,31037.0
2022-01-22,64.588,69.155,54.01,64.835,17341.0
2022-01-23,64.835,74.36,59.65,59.65,618.0
2022-01-24,68.295,68.295,58.556,63.899,320.0
2022-01-25,63.899,66.2,61.323,66.2,564.0
2022-01-26,61.568,67.0,56.058,60.0,1474.0
2022-01-27,60.0,60.7,54.932,57.865,442.0
2022-01-28,53.908,54.178,46.5,49.776,1441.0
2022-01-29,49.776,52.927,49.317,51.124,2049.0
2022-01-30,49.862,51.124,44.0,44.0,806.0
2022-01-31,44.0,54.414,42.5,50.9,1560.0
2022-02-01,51.391,52.57,50.062,50.198,1027.0
2022-02-02,51.097,53.16,48.35,48.35,152.0
2022-02-03,46.6,48.977,46.124,47.88,318.0
2022-02-04,50.102,52.1,48.699,49.3,247.0
2022-02-05,50.419,60.0,49.3,56.444,1392.0
2022-02-06,56.444,60.0,49.3,49.3,1267.0
2022-02-07,54.223,57.509,54.0,57.509,439.0
2022-02-08,56.144,58.215,50.25,54.56,194.0
2022-02-09,56.5,56.5,50.9,55.804,363.0
2022-02-10,56.083,58.2,51.971,56.504,313.0
2022-02-11,51.143,56.504,50.621,54.55,1491.0
2022-02-12,54.55,54.55,49.329,50.815,906.0
2022-02-13,51.079,55.804,49.0,51.44,564.0
2022-02-14,50.59,53.578,50.59,53.253,1829.0
2022-02-15,53.253,56.695,52.705,55.192,201.0
2022-02-16,55.673,58.38,54.644,56.012,30692.0
2022-02-17,56.03,57.18,55.402,55.86,13221.0
