Date,open,high,low,close,volume
2022-01-01,3.204,3.3519,3.204,3.341,729933.0
2022-01-02,3.3531,3.3832,3.2684,3.3832,693739.0
2022-01-03,3.3288,3.3684,3.1881,3.2418,365672.0
2022-01-04,3.2418,3.3073,3.1371,3.1878,646703.0
2022-01-05,3.1863,3.3075,2.7112,2.9264,765055.0
2022-01-06,2.9194,3.6696,2.684,3.4045,543106.0
2022-01-07,3.408,3.6696,3.0597,3.0602,735895.0
2022-01-08,3.1112,3.1552,2.8374,2.9274,874210.0
2022-01-09,2.9274,3.05,2.6997,2.9417,535726.0
2022-01-10,2.9292,2.9689,2.6775,2.8074,557121.0
2022-01-11,2.8369,2.9447,2.7698,2.9207,716319.0
2022-01-12,2.9472,3.1041,2.8157,3.0903,914607.0
2022-01-13,3.0896,3.105,2.8895,2.9024,876337.0
2022-01-14,2.9024,2.9866,2.8,2.8,550987.0
2022-01-15,2.947,3.063,2.9101,2.9875,704305.0
2022-01-16,3.0028,3.1962,2.8,3.1087,727486.0
2022-01-17,3.1328,3.1378,2.9809,3.0274,190608.0
2022-01-18,3.0101,3.0101,3.0101,3.0101,375.0
2022-01-19,3.0101,3.0101,3.0101,3.0101,0.0
2022-01-20,3.0101,3.0101,3.0101,3.0101,0.0
2022-01-21,3.0101,3.0101,3.0101,3.0101,9.0
2022-01-22,3.0101,3.0101,2.9796,2.9796,2183.0
2022-01-23,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-24,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-25,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-26,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-27,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-28,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-29,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-30,2.9796,2.9796,2.9796,2.9796,0.0
2022-01-31,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-01,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-02,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-03,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-04,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-05,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-06,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-07,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-08,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-09,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-10,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-11,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-12,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-13,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-14,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-15,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-16,2.9796,2.9796,2.9796,2.9796,0.0
2022-02-17,2.9796,2.9796,2.9796,2.9796,0.0
