Date,open,high,low,close,volume
2022-01-01,12.2532,13.445,11.8945,13.233,162274.0
2022-01-02,13.3896,14.309,12.8923,14.0274,185866.0
2022-01-03,14.015,14.0468,12.444,12.7922,232263.0
2022-01-04,12.8398,13.5826,12.1538,12.2808,205275.0
2022-01-05,12.1978,13.587,11.8165,13.587,90424.0
2022-01-06,10.7332,11.0185,10.5428,10.8904,192783.0
2022-01-07,10.2336,10.4484,9.8165,10.09,197812.0
2022-01-08,10.1632,10.5032,9.1313,9.4714,306259.0
2022-01-09,9.121,10.4203,9.1126,9.8376,79793.0
2022-01-10,9.5772,9.749,8.312,8.61,266909.0
2022-01-11,8.61,9.795,8.515,9.31,145780.0
2022-01-12,9.587,10.32,8.818,10.121,285250.0
2022-01-13,10.162,10.419,9.507,9.55,245752.0
2022-01-14,9.47,9.745,9.198,9.484,144958.0
2022-01-15,9.207,9.755,9.198,9.411,187983.0
2022-01-16,9.417,9.666,9.23,9.523,261405.0
2022-01-17,9.514,9.82,8.486,8.811,230211.0
2022-01-18,8.763,8.864,8.087,8.792,333236.0
2022-01-19,8.77,8.951,8.162,8.373,187198.0
2022-01-20,8.377,8.995,7.861,7.933,292313.0
2022-01-21,7.933,7.954,6.33,6.534,336978.0
2022-01-22,6.532,6.625,6.358,6.406,73959.0
2022-01-23,6.441,6.626,6.38,6.38,468.0
2022-01-24,6.38,6.38,6.213,6.213,1567.0
2022-01-25,6.213,6.213,6.196,6.196,513.0
2022-01-26,5.35,5.35,5.35,5.35,523.0
2022-01-27,5.35,5.35,5.35,5.35,0.0
2022-01-28,5.35,5.35,5.35,5.35,0.0
2022-01-29,5.35,5.35,5.35,5.35,0.0
2022-01-30,5.418,8.003,5.418,6.106,1782.0
2022-01-31,6.106,6.106,6.106,6.106,0.0
2022-02-01,8.003,8.02,8.003,8.02,1276.0
2022-02-02,8.02,8.02,6.372,6.434,785.0
2022-02-03,5.625,5.625,5.596,5.6,1169.0
2022-02-04,5.492,5.492,5.492,5.492,900.0
2022-02-05,5.492,8.02,5.492,8.02,343.0
2022-02-06,8.02,8.02,6.883,8.02,961.0
2022-02-07,8.02,8.02,6.85,8.02,390.0
2022-02-08,8.02,8.024,8.02,8.024,2047.0
2022-02-09,8.024,9.087,8.024,9.087,766.0
2022-02-10,9.087,9.087,9.087,9.087,0.0
2022-02-11,6.53,9.087,6.5,9.087,346.0
2022-02-12,9.087,9.087,9.087,9.087,0.0
2022-02-13,9.087,9.087,9.087,9.087,0.0
2022-02-14,9.087,9.087,9.087,9.087,0.0
2022-02-15,5.792,5.792,5.792,5.792,6.0
2022-02-16,6.135,6.327,5.833,6.043,252918.0
2022-02-17,6.108,6.196,5.819,5.981,209213.0
